Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
coc_storedivine,dlg,EntryList/0/Text,0,-1,Greetings! Welcome to the Divine store... what would you like to purchase?,
coc_storedivine,dlg,ReplyList/0/Text,0,-1,I would like to see your wares,
coc_storemagic,dlg,EntryList/0/Text,0,-1,Greetings! Welcome to the Magic store... what would you like to purchase?,
coc_storemagic,dlg,ReplyList/0/Text,0,-1,I would like to see your wares,
coc_storerogue,dlg,EntryList/0/Text,0,-1,Greetings! Welcome to the Rogue store... what would you like to purchase?,
coc_storerogue,dlg,ReplyList/0/Text,0,-1,I would like to see your wares,
coc_storewarrior,dlg,EntryList/0/Text,0,-1,Greetings! Welcome to the Warrior store... what would you like to purchase?,
coc_storewarrior,dlg,ReplyList/0/Text,0,-1,I would like to see your wares,
hq00_bluemark,dlg,EntryList/0/Text,0,-1,This is a blue player marker.,
hq00_fightmaster,dlg,EntryList/0/Text,0,-1,Welcome to the Team Starting Area.,
hq00_fightmaster,dlg,EntryList/1/Text,0,-1,What would you like to change?,
hq00_fightmaster,dlg,EntryList/10/Text,0,-1,The base level restriction is: level <CUSTOM500>,
hq00_fightmaster,dlg,EntryList/11/Text,0,-1,Your class item cost restriction is: <CUSTOM500>gp,
hq00_fightmaster,dlg,EntryList/12/Text,0,-1,The base cost item restriction is: <CUSTOM500>gp,
hq00_fightmaster,dlg,EntryList/13/Text,0,-1,Which team would you like to join?,
hq00_fightmaster,dlg,EntryList/14/Text,0,-1,"You cannot check in, your team is currently locked",
hq00_fightmaster,dlg,EntryList/15/Text,0,-1,"You cannot check in, there is currently a battle in progress",
hq00_fightmaster,dlg,EntryList/16/Text,0,-1,You have been checked in,
hq00_fightmaster,dlg,EntryList/17/Text,0,-1,"You can purchase items from the storekeepers at the end of the hall, you can also check up on your team's stats by speaking with the stats manager at the opposite end of the hall.",
hq00_fightmaster,dlg,EntryList/18/Text,0,-1,Along the sides of this area you'll notice the multicolored flags... these are representative of the number of players on each team.,
