Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
blood,utp,LocName,0,-1,Floor Motif,
coc_locked,utp,LocName,0,-1,Locked Shaft Of Light,
fire,utp,LocName,0,-1,Fire,
flamingbrazier,utp,LocName,0,-1,Flaming Brazier,
itemdiscardconta,utp,LocName,0,-1,Item Discard Container,
m5q1trophyblue,utp,Description,0,14732,This trophy signifies your team's victory against your foes.,
m5q1trophyblue,utp,LocName,0,14536,Trophy,
m5q1trophyred,utp,Description,0,14535,This trophy signifies your team's victory against your foes.,
m5q1trophyred,utp,LocName,0,14536,Trophy,
portal,utp,LocName,0,-1,Portal To Main Area,
rulesenforcerdes,utp,LocName,0,-1,Rules Enforcer Desk,
severedhead,utp,LocName,0,-1,Ex-Champion Severed Head,
skeweredcorpse,utp,LocName,0,-1,Ex-Champion,
standingtorch,utp,LocName,0,-1,Standing Torch,
team0lockswitch,utp,LocName,0,-1,Lock Switch,
team0marker,utp,Description,0,-1,Blue Team Player Marker.,
team0marker,utp,LocName,0,-1,Blue Team Marker,
team1marker,utp,Description,0,-1,Red Team Player Marker.,
team1marker,utp,LocName,0,-1,Red Team Marker,
team2marker,utp,Description,0,-1,Gold Team Player Marker.,
team2marker,utp,LocName,0,-1,Gold Team Marker,
team3marker,utp,Description,0,-1,Purple Team Player Marker.,
team3marker,utp,LocName,0,-1,Purple Team Marker,
