Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
area,git,Door List/3/Description,0,9078,A typical wooden door.,
area,git,Door List/4/Description,0,9078,A typical wooden door.,
area,git,Placeable List/28/LocName,0,5656,Rucksack,
area,git,Placeable List/31/LocName,0,66692,Dead Flowers,
area,git,Placeable List/40/Description,0,84574,Various scraps of paper.,
area,git,Placeable List/40/LocName,0,84561,Documents,
area,git,Placeable List/41/Description,0,84574,Various scraps of paper.,
area,git,Placeable List/41/LocName,0,84561,Documents,
area,git,Placeable List/43/Description,0,84574,Various scraps of paper.,
area,git,Placeable List/43/LocName,0,84561,Papers,
area,git,Placeable List/44/Description,0,84574,Various scraps of paper.,
area,git,Placeable List/44/LocName,0,84561,Playbills,
area,git,Placeable List/46/LocName,0,5800,Journal,
area002,git,Placeable List/79/Description,0,14662,"You look about you, suspicious, but see nothing.",
area002,git,Placeable List/79/LocName,0,5800,Destiny,
area002,git,Placeable List/80/Description,0,14533,A portal glows softly before you. You wonder where it leads.,
area003,git,Creature List/0/FirstName,0,12574,Leftovers,
area003,git,Creature List/1/Equip_ItemList/0/LocalizedName,0,-1,male surgery slave,
area003,git,Creature List/1/FirstName,0,-1,Slave,
area003,git,Creature List/2/Equip_ItemList/0/LocalizedName,0,-1,female surgery slave,
area003,git,Creature List/2/FirstName,0,-1,Slave,
area003,git,Creature List/3/FirstName,0,-1,Slave,
area003,git,Creature List/4/Equip_ItemList/0/LocalizedName,0,-1,female surgery slave 2,
area003,git,Creature List/4/FirstName,0,-1,Slave,
area003,git,Creature List/5/Equip_ItemList/0/LocalizedName,0,-1,female surgery slave,
area003,git,Creature List/5/FirstName,0,-1,Slave,
area003,git,Creature List/6/Description,0,-1,"This woman is the very picture of a seer. Her long dark hair is held in a tangled ponytail. She wears a set of blood-speckled grey robes, as tattered, torn, and frayed as her unfocused gaze. A collection of beads and baubles rests around her neck, making soft clicking sounds when she moves.",
area003,git,Creature List/6/Equip_ItemList/0/LocalizedName,0,-1,Aladara's Armor,
area003,git,Creature List/6/Equip_ItemList/1/DescIdentified,0,-1,A Ring of Sending.,
area003,git,Creature List/6/Equip_ItemList/1/Description,0,-1,A plain-looking silver ring.,
area003,git,Creature List/6/Equip_ItemList/1/LocalizedName,0,-1,Ring of Sending,
area003,git,Creature List/6/FirstName,0,-1,Aladara,
area003,git,Door List/1/LocName,0,5349,Door,
area003,git,Door List/2/LocName,0,5349,Door,
area003,git,Placeable List/12/LocName,0,5737,Slave,
area003,git,Placeable List/23/Description,0,14600,Either he owned little to begin with or this man was stripped of all he had.,
area003,git,Placeable List/23/LocName,0,14601,Bloody Corpse,
area003,git,Placeable List/5/LocName,0,5737,Slave,
