Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
blueprint,ute,LocalizedName,0,-1,Harasi's Soul Trade Apartment,
blueprint001,ute,LocalizedName,0,-1,Rathole NPC's 1,
blueprint002,ute,LocalizedName,0,-1,Rathole NPC's 2,
blueprint003,ute,LocalizedName,0,-1,Teeth NPC Nobels 2,
blueprint004,ute,LocalizedName,0,-1,Corano NPC's 1,
blueprint005,ute,LocalizedName,0,-1,Roosters NPC's1,
blueprint006,ute,LocalizedName,0,-1,NPC Soul Trade1,
day6lieutenantdi,ute,LocalizedName,0,-1,Day 6 Lieutenant Dialog,
guardsoutsideula,ute,LocalizedName,0,-1,Guards Outside Ulans Warehouse,
northmarketnp001,ute,LocalizedName,0,-1,NorthMarket NPCs 2,
northmarketnp002,ute,LocalizedName,0,-1,NorthMarket NPCs 3,
northmarketnpcs1,ute,LocalizedName,0,-1,NorthMarket NPCs 1,
ochrejellyinsmug,ute,LocalizedName,0,-1,Ochre Jelly in Smuggler's Tunnels,
ratholerat,ute,LocalizedName,0,-1,Rat Hole Rat,
ratholeruffianen,ute,LocalizedName,0,-1,Rathole Ruffian Encounter,
ratsencounter,ute,LocalizedName,0,-1,RatsEncounter,
seamarketslavear,ute,LocalizedName,0,-1,SeaMarket Slave Area Commoners1,
stinkbeetles,ute,LocalizedName,0,-1,Stink Beetles,
stinkbeetlesinsm,ute,LocalizedName,0,-1,Stink Beetles in Smuggler's Tunnels,
teethnpcnobels,ute,LocalizedName,0,-1,Teeth NPC Nobels,
ulanwarehouseenc,ute,LocalizedName,0,-1,Ulan Warehouse Encounter,
undercityspiders,ute,LocalizedName,0,-1,Undercity Spiders,
veryeasy001,ute,LocalizedName,0,-1,SeaMarket Merchant Commoners,
veryeasy002,ute,LocalizedName,0,-1,SeaMarket Merchant Commoners2,
veryeasy003,ute,LocalizedName,0,-1,SeaMarket Merchant Citizens North,
warbandnpcs,ute,LocalizedName,0,-1,Warband NPCs,
