StrRef,Text,SoundRef,VolumeVariance,PitchVariance
0,BadStrref,,0,0
1,,,0,0
2,Seagull,,0,0
3,seagull,,0,0
4,Seagulls,,0,0
5,Exterior Muggy,,0,0
6,Pickaxe,,0,0
7,"The pickaxe is more of a tool than a weapon, yet in times of need it is better than nothing and one should not forget that its sharp point is used to crack rocks.",,0,0
8,Rope,,0,0
9,This hempen rope has been carefully coiled to ensure it doesn't get tangled with future use.,,0,0
10,Daggerford - Theme,,0,0
11,Daggerford - Mines,,0,0
12,"Spider, Hive Mother",,0,0
13,Daggerford - Rural,,0,0
14,Daggerford - Theme 2,,0,0
15,Daggerford - Tavern,,0,0
16,"After you establish a stronghold along the Sword Coast, messengers will arrive bringing new quests. Accepting a quest might reveal a new area on the world map.",,0,0
17,"The new world map feature allows you to travel between the many areas in the world. You can quickly return to areas that you have already visited, or if you leave an area from a new direction, you may uncover a hidden adjoining area!",,0,0
18,"Once you have settled into your stronghold, you will have the opportunity to customize it to suit your tastes.",,0,0
19,It pays to be prepared when traveling via the world map. There may be unsavory characters or creatures lying in wait for you...,,0,0
20,"Derval Ironeater, at Derval's Bright Blade in Daggerford, can forge powerful weapons for you if you bring him any artifact pieces that you have discovered.",,0,0
21,"Don't forget to rest at least once every 36 hours, or you will get tired and suffer a penalty during combat.",,0,0
22,"After gaining a new experience level, your henchmen will share more stories about themselves if you ask them.",,0,0
23,"If you decide to rest in the wilderness or in other dangerous areas, your rest may be disturbed by hostile creatures.",,0,0
24,You can sometimes use ropes to access areas that might otherwise be inaccessible.,,0,0
25,"""The outlook is golden!"" - Matagar Bugo, the Baron of Daggerford.",,0,0
26,Beware of any trolls that you encounter! They can only be permanently killed using fire or acid.,,0,0
27,Daggerford EE - Echoes of Bhaal,,0,0
28,Daggerford EE - Black Stone Inn,,0,0
29,Daggerford EE - Chateau Elite Inn,,0,0
30,Daggerford EE - Sword Coast Cliffs,,0,0
31,Daggerford EE - Daggerford Night,,0,0
32,Daggerford EE - Trollbark Forest,,0,0
33,Daggerford EE - Happy Cow Tavern Upstairs,,0,0
34,Daggerford EE - Happy Cow Tavern,,0,0
35,Daggerford EE - Wild Hills,,0,0
36,Daggerford EE - Illefarn Mine Tunnels,,0,0
37,Daggerford EE - Lizardfolk Village,,0,0
38,Daggerford EE - Wild Pastures,,0,0
39,Daggerford EE - Desolate Wilderness,,0,0
40,Astriel,,0,0
41,Bugo,,0,0
42,Dratharion,,0,0
43,Drelia,,0,0
44,Frederick,,0,0
45,Hevesar,,0,0
46,Purfbin,,0,0
47,Raegen,,0,0
48,Talarenne,,0,0
49,Teygan,,0,0
50,Veiti,,0,0
51,Falias,,0,0
52,Derval,,0,0
53,Gorgomorz,,0,0
54,Brattal,,0,0
55,Time to show them what's what!,,0,0
56,"For gold and... uh, GOLD!",,0,0
57,Say hello to my crossbow!,,0,0
58,You'd better have some coin on you after all this trouble!,,0,0
59,A little healing would be nice around now!,,0,0
60,Ahhh! Help!,,0,0
61,"Look! Enemies... with coin, oh yes.",,0,0
62,Time to make our escape!,,0,0
63,I've seen tougher in the gutters of Waterdeep.,,0,0
64,Everyone around the gnome!,,0,0
65,Wait a moment - be back soon.,,0,0
66,Umm - a little help here!,,0,0
67,Urgh! No... the Great... Prize *exhale*,,0,0
68,"Ughh, poison... I can't... see straight...",,0,0
69,My spell failed!,,0,0
70,My weapon does nothing!,,0,0
71,Follow me!,,0,0
72,Ohh... what have we here?,,0,0
73,I think we should stick together,,0,0
74,Gnome coming through!,,0,0
75,This lock needs a more expert touch.,,0,0
76,My nose tells me there's something here...,,0,0
77,Stick to the shadows...,,0,0
78,Right - I can do that.,,0,0
79,Hmph! It seems I can't.,,0,0
80,There you go!,,0,0
81,*Huff* Are you sure *puff* you don't need me to carry *wheeze* MORE?!,,0,0
82,"Yes, my friend?",,0,0
83,Hello.,,0,0
84,Yes.,,0,0
85,No.,,0,0
86,Wait just a moment.,,0,0
87,*Yawn* A cozy bed sounds good about now...,,0,0
88,Why do we stand idle while the Great Prize awaits?!,,0,0
89,I bid you farewell.,,0,0
90,"Oh, well thank you very much.",,0,0
91,By Granda Retsotnert's beard!!,,0,0
92,Oho! Now THIS is good!,,0,0
93,I have something quite important to tell you.,,0,0
94,Now that sounds like something *I* would do!,,0,0
95,"Errr... you have at least thought about this, right?",,0,0
96,I wouldn't do that if I were you...,,0,0
97,To arms!,,0,0
98,You shall find a quick death!,,0,0
99,"Taste steel, villainous wretch!",,0,0
