Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
archer,utc,FirstName,0,-1,Lord's Archer,
archer001,utc,FirstName,0,-1,Lord's Archer,
captainjord,utc,FirstName,0,-1,Captain Jord,
guardsman,utc,FirstName,0,-1,Christer,
lich002,utc,FirstName,0,12629,Morgroth,
lich003,utc,FirstName,0,12630,Morgroth,
lich004,utc,FirstName,0,12629,Morgroth,
lichboss001,utc,FirstName,0,12629,Morgroth,
lordiridor,utc,FirstName,0,-1,Lord Eremor,
mumcleric001,utc,FirstName,0,5644,Morgroth,
mummyboss001,utc,FirstName,0,56570,Morgroth,
skelmage001,utc,FirstName,0,12702,Morgroth,
skelpriest001,utc,FirstName,0,12703,Morgroth,
vampire005,utc,FirstName,0,12797,Morgroth,
