Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
battlecriesgr001,uts,LocName,0,-1,Battle Cries Group,
cryptmoans001,uts,LocName,0,-1,Crypt Moans,
entranceverye001,uts,LocName,0,-1,Entrance Very Evil,
pipegroans001,uts,LocName,0,-1,Pipe Groans,
rockcrumblesl001,uts,LocName,0,-1,Rock Crumbles Large,
waterlaps001,uts,LocName,0,-1,Water Laps,
windgustchasm001,uts,LocName,0,-1,Wind Gust Chasm,
windgustfores001,uts,LocName,0,-1,Wind Gust Forest,
windguststron001,uts,LocName,0,-1,Wind Gust Strong,
woodbeamcreak001,uts,LocName,0,-1,Wood Beam Creaks,
