Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
2dapadding,uti,DescIdentified,0,-1,If you are seeing this an error in the 2da has occurred.,
2dapadding,uti,LocalizedName,0,-1,2DA Padding,
angelrobe,uti,LocalizedName,0,13850,Angel Robe,
antoinesskin,uti,LocalizedName,0,-1,Antoine's Skin,
cs_narr4_robe,uti,LocalizedName,0,13854,cs_narr4_robe,
dungeonobject,uti,LocalizedName,0,-1,Dungeon Object,
gem_it,uti,LocalizedName,0,-1,Resonance Gem,
green_gem_it,uti,LocalizedName,0,-1,Green Gem,
id1_bossplot_ant,uti,DescIdentified,0,-1,"This is the recipe for a curative potion that will temporarily relieve the victim of the effects of a specific poison. 

Lord Antoine Baccha, Vizier de Guise needs this recipe before he can leave Undermountain.",
id1_bossplot_ant,uti,LocalizedName,0,-1,Recipe for Poison Cure,
id1_bossplot_gzb,uti,DescIdentified,0,-1,"Swirling darkness that draws the eye and almost blanks out the mind fills this small orb. Spending more than a few seconds staring into the darkness fills you with a dread and you can certainly understand why a beholder like G'zhorb would be bothered by such a seemingly insignificant thing.

G'zhorb will be anxious to get this back.",
id1_bossplot_gzb,uti,LocalizedName,0,-1,Orb of the Unseeable,
id1_bossplot_ha2,uti,DescIdentified,0,-1,"This is the opened document that you were retrieving for Harat. This is a list of the occupants of the Abyss, including Harat, who is rated as a minor demon of little power and not the God which he claims to be. No wonder he was so anxious to keep this from getting out.",
id1_bossplot_ha2,uti,LocalizedName,0,-1,The Abyssal Census,
id1_bossplot_hag,uti,DescIdentified,0,-1,"Hilgoth was the king of the storm giants, a long time ago. Murdered at his own wedding, his corpse was lost for ages. All that is left of him now is his finger bone, polished to a sheen and still bearing the wedding band that magically clings to the finger. The finger bone makes an excellent staff.

The Widow Hagatha has asked that you find and return this staff to her.",
id1_bossplot_hag,uti,LocalizedName,0,-1,Hilgoth's Finger,
id1_bossplot_har,uti,DescIdentified,0,-1,"This is a packet of papers, sealed with an unrecognizable seal. According to Harat, God of Darkness, this is a contract between him and Halaster. 

You could break the seal, but it might upset Harat.",
id1_bossplot_har,uti,LocalizedName,0,-1,The Abyssal Census,
id1_bossplot_mag,uti,DescIdentified,0,-1,"The Sacarab Amulet of Imaskar is an amulet that Halaster uses to crush the will of Maggris, the Hive Mother. Without it, the creature and her minions would have left Undermountain.

Maggris awaits your return and the return of this item that she may die peacefully in her ancestral home.",
id1_bossplot_mag,uti,LocalizedName,0,-1,Scarab Amulet of Imaskar,
id1_bossplot_mas,uti,DescIdentified,0,-1,"This gem appears to hold the soul of Masterius, the Lich King. The gem itself doesn't appear to have any real use. You can actually see a small figure inside the gem and once, just for fun, you give it a little shake. The small figure does not appear to be amused by this.",
id1_bossplot_mas,uti,LocalizedName,0,-1,Lich King's Soul,
id1_gem_01_01,uti,Description,0,-1,"The pride of Umberlee and hoarded by her minions, Sea Pearls form in the mouths of giant clams in the deepest ocean trenches, surviving even the harshest elements.

Gems of this type are often used as components in magical recipes.

This gem is dark, with no inner light.",
id1_gem_01_01,uti,LocalizedName,0,-1,Dark Sea Pearl,
id1_gem_01_02,uti,Description,0,-1,"The pride of Umberlee and hoarded by her minions, Sea Pearls form in the mouths of giant clams in the deepest ocean trenches, surviving even the harshest elements.

Gems of this type are often used as components in magical recipes.

This gem glows with a dim inner light.",
id1_gem_01_02,uti,LocalizedName,0,-1,Dim Sea Pearl,
id1_gem_01_03,uti,Description,0,-1,"The pride of Umberlee and hoarded by her minions, Sea Pearls form in the mouths of giant clams in the deepest ocean trenches, surviving even the harshest elements.

Gems of this type are often used as components in magical recipes.

This gem is shiny, lit from within.",
id1_gem_01_03,uti,LocalizedName,0,-1,Shiny Sea Pearl,
id1_gem_01_04,uti,Description,0,-1,"The pride of Umberlee and hoarded by her minions, Sea Pearls form in the mouths of giant clams in the deepest ocean trenches, surviving even the harshest elements.

Gems of this type are often used as components in magical recipes.

The inner light of this gem glows around it.",
id1_gem_01_04,uti,LocalizedName,0,-1,Glowing Sea Pearl,
id1_gem_01_05,uti,Description,0,-1,"The pride of Umberlee and hoarded by her minions, Sea Pearls form in the mouths of giant clams in the deepest ocean trenches, surviving even the harshest elements.

Gems of this type are often used as components in magical recipes.

The inner light and power of this gem radiates from it brightly.",
id1_gem_01_05,uti,LocalizedName,0,-1,Radiant Sea Pearl,
id1_gem_02_01,uti,Description,0,-1,"This oddly shaped gem could almost be taken for the scale of some giant beast. Your heart suddenly begins to beat rapidly whenever you touch the gem to your flesh.

Gems of this type are often used as components in magical recipes.

This gem is dark, with no inner light.",
id1_gem_02_01,uti,LocalizedName,0,-1,Dark Gold Scale Gem,
id1_gem_02_02,uti,Description,0,-1,"This oddly shaped gem could almost be taken for the scale of some giant beast. Your heart suddenly begins to beat rapidly whenever you touch the gem to your flesh.

Gems of this type are often used as components in magical recipes.

This gem glows with a dim inner light.",
id1_gem_02_02,uti,LocalizedName,0,-1,Dim Gold Scale Gem,
id1_gem_02_03,uti,Description,0,-1,"This oddly shaped gem could almost be taken for the scale of some giant beast. Your heart suddenly begins to beat rapidly whenever you touch the gem to your flesh.

Gems of this type are often used as components in magical recipes.

This gem is shiny, lit from within.",
id1_gem_02_03,uti,LocalizedName,0,-1,Shiny Gold Scale Gem,
id1_gem_02_04,uti,Description,0,-1,"This oddly shaped gem could almost be taken for the scale of some giant beast. Your heart suddenly begins to beat rapidly whenever you touch the gem to your flesh.

Gems of this type are often used as components in magical recipes.

The inner light of this gem glows around it.",
id1_gem_02_04,uti,LocalizedName,0,-1,Glowing Gold Scale Gem,
id1_gem_02_05,uti,Description,0,-1,"This oddly shaped gem could almost be taken for the scale of some giant beast. Your heart suddenly begins to beat rapidly whenever you touch the gem to your flesh.

Gems of this type are often used as components in magical recipes.

The inner light and power of this gem radiates from it brightly.",
id1_gem_02_05,uti,LocalizedName,0,-1,Radiant Gold Scale Gem,
id1_gem_03_01,uti,Description,0,-1,"When you hold this gem, you could almost swear that your hand almost disappears. Only the stealthiest of creatures would be clad in such armor.

Gems of this type are often used as components in magical recipes.

This gem is dark, with no inner light.",
id1_gem_03_01,uti,LocalizedName,0,-1,Dark Shadow Scale Gem,
id1_gem_03_02,uti,Description,0,-1,"When you hold this gem, you could almost swear that your hand almost disappears. Only the stealthiest of creatures would be clad in such armor.

Gems of this type are often used as components in magical recipes.

This gem glows with a dim inner light.",
id1_gem_03_02,uti,LocalizedName,0,-1,Dim Shadow Scale Gem,
id1_gem_03_03,uti,Description,0,-1,"When you hold this gem, you could almost swear that your hand almost disappears. Only the stealthiest of creatures would be clad in such armor.

Gems of this type are often used as components in magical recipes.

This gem is shiny, lit from within.",
id1_gem_03_03,uti,LocalizedName,0,-1,Shiny Shadow Scale Gem,
id1_gem_03_04,uti,Description,0,-1,"When you hold this gem, you could almost swear that your hand almost disappears. Only the stealthiest of creatures would be clad in such armor.

Gems of this type are often used as components in magical recipes.

The inner light of this gem glows around it.",
id1_gem_03_04,uti,LocalizedName,0,-1,Glowing Shadow Scale Gem,
id1_gem_03_05,uti,Description,0,-1,"When you hold this gem, you could almost swear that your hand almost disappears. Only the stealthiest of creatures would be clad in such armor.

Gems of this type are often used as components in magical recipes.

The inner light and power of this gem radiates from it brightly.",
id1_gem_03_05,uti,LocalizedName,0,-1,Radiant Shadow Scale Gem,
id1_gem_04_01,uti,Description,0,-1,"Rumored to be grown in the Plane of Shadows, Twilight Stars possess an unnatural connection to the negative energies of that realm.

Gems of this type are often used as components in magical recipes.

This gem is dark, with no inner light.",
id1_gem_04_01,uti,LocalizedName,0,-1,Dark Twilight Star,
id1_gem_04_02,uti,Description,0,-1,"Rumored to be grown in the Plane of Shadows, Twilight Stars possess an unnatural connection to the negative energies of that realm.

Gems of this type are often used as components in magical recipes.

This gem glows with a dim inner light.",
id1_gem_04_02,uti,LocalizedName,0,-1,Dim Twilight Star,
id1_gem_04_03,uti,Description,0,-1,"Rumored to be grown in the Plane of Shadows, Twilight Stars possess an unnatural connection to the negative energies of that realm.

Gems of this type are often used as components in magical recipes.

This gem is shiny, lit from within.",
id1_gem_04_03,uti,LocalizedName,0,-1,Shiny Twilight Star,
id1_gem_04_04,uti,Description,0,-1,"Rumored to be grown in the Plane of Shadows, Twilight Stars possess an unnatural connection to the negative energies of that realm.

Gems of this type are often used as components in magical recipes.

The inner light of this gem glows around it.",
