Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
arrow_plc,utp,LocName,0,14629,Arrow,
bluearrow,utp,LocName,0,-1,Blue Arrow,
bossitemmarker,utp,Description,0,14720,A searing shaft of cyan light descends from some unseen place above.,
bossitemmarker,utp,LocName,0,14719,BossItemMarker,
brazier_plc,utp,Description,0,14579,"The brazier gives off a hot glow. As you reach toward it, you can feel beads of sweat forming on the palm of your hand.",
catalogspeaker,utp,Description,0,14662,"You look about you, suspicious, but see nothing.",
catalogspeaker,utp,LocName,0,5800,Catalog,
color_plc_1,utp,LocName,0,5800,Blue Rune,
color_plc_2,utp,LocName,0,5800,Cyan Rune,
color_plc_3,utp,LocName,0,5800,Green Rune,
color_plc_4,utp,LocName,0,5800,Orange Rune,
color_plc_5,utp,LocName,0,5800,Purple Rune,
color_plc_6,utp,LocName,0,5800,Red Rune,
color_plc_7,utp,LocName,0,5800,White Rune,
color_plc_8,utp,LocName,0,5800,Yellow Rune,
cpu,utp,LocName,0,5800,CPU,
crystal_plc,utp,Description,0,84183,From the orb's cold crystal surface a deformed reflection of yourself is staring back at you.,
crystal_plc,utp,LocName,0,83438,Summoning Crystal,
crystalmech,utp,LocName,0,84569,Crystal Mechanism,
globe_plc,utp,LocName,0,84569,Crystal Globe,
greenarrow,utp,LocName,0,-1,Green Arrow,
id1_bactel,utp,LocName,0,-1,Teleporter to Lord Antoine's Den,
id1_bossinv,utp,LocName,0,5800,Boss Inventory,
id1_bosstel,utp,LocName,0,-1,Teleporter to Dungeon Entrance,
id1_con001,utp,LocName,0,-1,Barrel,
id1_con002,utp,LocName,0,-1,Black Barrel,
id1_con003,utp,LocName,0,-1,Black Crate,
id1_con004,utp,LocName,0,-1,Black Crate,
id1_con005,utp,LocName,0,-1,Box,
id1_con006,utp,LocName,0,-1,Box,
id1_con007,utp,LocName,0,-1,Box,
id1_con008,utp,LocName,0,-1,Box,
id1_con009,utp,LocName,0,-1,Chest,
id1_con010,utp,LocName,0,-1,Chest,
id1_con011,utp,LocName,0,-1,Chest,
id1_con012,utp,LocName,0,-1,Chest,
id1_con013,utp,LocName,0,-1,Chest,
id1_con014,utp,LocName,0,-1,Sacks,
id1_corpse_plc,utp,LocName,0,5763,Pile of Corpses,
id1_gzboulder,utp,Description,0,66885,"A large, solid piece of granite juts out from the ground. The stone seems to be supporting a portion of the cavern's ceiling.",
id1_gzbtel,utp,LocName,0,-1,Teleporter to G'Zhorb's Pit,
id1_gzhorb_chasm,utp,LocName,0,5800,Falling Rock,
id1_hagtel,utp,LocName,0,-1,Teleporter to Widow Hagatha's Home,
id1_halasterport,utp,Description,0,14533,A portal glows softly before you. You wonder where it leads.,
id1_haltel,utp,LocName,0,-1,Teleporter to Halaster's Domain,
id1_hartel,utp,LocName,0,-1,Teleporter to Harat's Sanctum,
id1_magtel,utp,LocName,0,-1,Teleporter to Maggris' Hive,
id1_mastel,utp,LocName,0,-1,Teleporter to Masterius' Crypt,
id1_mysticforge,utp,Description,0,-1,"The wise man says, ""When the spirit of the forge is powerful, see the sparks that it gives off. The spirit is pleased and ready to perform.""
The foolish man says, ""This is going to cost me gold, isn't it?""
The wise man says, ""Place the item you wish to enchant into the forge and speak to the spirit of the forge. The spirit of the forge is gracious and may grant your desires.""
The foolish man says, ""I do not need the aid of the spirits.""
The wise man says, ""If the correct recipes are found and the components are yours, the spirit of the forge will create powerful enchantments.""
The foolish man says, ""Maybe I shouldn't have sold all those gems.""",
id1_mysticforge,utp,LocName,0,-1,Mystic Anvil,
