Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
id1_cs_gzh002,uts,LocName,0,67942,G'Zhorb-Rocks2,
id1_cs_gzh1,uts,LocName,0,67942,G'Zhorb-Rocks1,
id1_cs_halaster1,uts,LocName,0,67942,Halaster Laugh 1,
id1_cs_halaster2,uts,LocName,0,67942,Halaster Laugh 2,
id1_cs_halaster3,uts,LocName,0,67942,Halaster Laugh 3,
id1_cs_hgt1,uts,LocName,0,67942,Hagatha-TotemBreak,
id1_cs_hgt2,uts,LocName,0,67942,Hagatha-Spell,
id1_cs_narr1_1,uts,LocName,0,67942,"Narrator, Scene 1, Line 1",
id1_cs_narr1_2,uts,LocName,0,67942,"Narrator, Scene 1, Line 2",
id1_cs_narr1_3,uts,LocName,0,67942,"Narrator, Scene 1, Line 3",
id1_cs_narr1_4,uts,LocName,0,67942,"Narrator, Scene 1, Line 4",
id1_cs_narr1_5,uts,LocName,0,67942,"Narrator, Scene 1, Line 5",
id1_cs_narr1_6,uts,LocName,0,67942,"Narrator, Scene 1, Line 6",
id1_cs_narr2_1,uts,LocName,0,67942,"Narrator, Scene 2, Line 1",
id1_cs_narr2_2,uts,LocName,0,67942,"Narrator, Scene 2, Line 2",
id1_cs_narr2_3,uts,LocName,0,67942,"Narrator, Scene 2, Line 3",
id1_cs_narr2_4,uts,LocName,0,67942,"Narrator, Scene 2, Line 4",
id1_cs_narr3_1,uts,LocName,0,67942,"Narrator, Scene 3, Line 1",
id1_cs_narr3_2,uts,LocName,0,67942,"Narrator, Scene 3, Line 2",
id1_cs_narr3_3,uts,LocName,0,67942,"Narrator, Scene 3, Line 3",
id1_cs_narr4_1,uts,LocName,0,67942,"Narrator, Scene 4, Line 1",
id1_cs_narr4_2,uts,LocName,0,67942,"Narrator, Scene 4, Line 2",
id1_cs_narr4_3,uts,LocName,0,67942,"Narrator, Scene 4, Line 3",
id1_cs_narr4_4,uts,LocName,0,67942,"Narrator, Scene 4, Line 4",
id1_cs_narr4_5,uts,LocName,0,67942,"Narrator, Scene 4, Line 5",
id1_cs_narr4_6,uts,LocName,0,67942,"Narrator, Scene 4, Line 6",
id1_cs_narr5_1,uts,LocName,0,67942,"Narrator, Scene 5, Line 1",
id1_cs_narr5_2,uts,LocName,0,67942,"Narrator, Scene 5, Line 2",
id1_cs_narr5_3,uts,LocName,0,67942,"Narrator, Scene 5, Line 3",
id1_snorewoman,uts,LocName,0,67971,Snores Women,
