Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
alias,utc,Description,0,-1,Alias is the local messenger girl and scout. She knows her way around the keep and around some of the caves as well.,알리아스는 이곳의 전령 소녀이자 정찰병입니다. 성채 주변과 동굴 일부의 지리를 잘 알고 있습니다.
alias,utc,FirstName,0,-1,Alias,알리아스
alias,utc,LastName,0,-1,Blackhand,블랙핸드
asrant,utc,Description,0,-1,This large man's eyes flick warily around the area; sizing everyone up as prospective opponents.,이 거구의 남자는 경계하는 눈으로 주위를 살피며 모든 이를 잠재적 상대로 가늠하고 있습니다.
asrant,utc,FirstName,0,-1,Asrant,아스란트
asrant,utc,LastName,0,-1,the Hunter,사냥꾼
bandit008,utc,Description,0,-1,The rogues living in the keep are unusually arrogant.,성채에 사는 도적들은 유난히 거만합니다.
cara,utc,Description,0,-1,Cara is a young girl of the keep who seems to be quite popular.,카라는 성채의 젊은 여성으로 꽤 인기가 많은 것 같습니다.
cara,utc,FirstName,0,-1,Cara,카라
cara,utc,LastName,0,-1,Pathera,파테라
comfemale001,utc,Description,0,-1,This is a commoner of the keep.,성채의 평민입니다.
comfemale001,utc,FirstName,0,12422,Commoner,평민
comfemale002,utc,Description,0,-1,This is a commoner of the keep.,성채의 평민입니다.
comfemale002,utc,FirstName,0,12422,Commoner,평민
comfemale003,utc,Description,0,-1,This is a commoner of the keep.,성채의 평민입니다.
comfemale003,utc,FirstName,0,12422,Commoner,평민
commale001,utc,Description,0,-1,The commoners in the keep live a life filled with tension. They desperately seek a strong leader to guide them.,성채의 평민들은 긴장 속에 살고 있습니다. 그들을 이끌어줄 강한 지도자를 간절히 원하고 있습니다.
commale001,utc,FirstName,0,12423,Commoner,평민
commale002,utc,Description,0,-1,The commoners in the keep live a life filled with tension. They desperately seek a strong leader to guide them.,성채의 평민들은 긴장 속에 살고 있습니다. 그들을 이끌어줄 강한 지도자를 간절히 원하고 있습니다.
commale002,utc,FirstName,0,12423,Commoner,평민
commale003,utc,Description,0,-1,This is a commoner of the keep.,성채의 평민입니다.
commale003,utc,FirstName,0,12423,Commoner,평민
commale004,utc,Description,0,-1,The commoners in the keep live a life filled with tension. They desperately seek a strong leader to guide them.,성채의 평민들은 긴장 속에 살고 있습니다. 그들을 이끌어줄 강한 지도자를 간절히 원하고 있습니다.
commale004,utc,FirstName,0,12423,Commoner,평민
commale005,utc,Description,0,-1,This is one of the keep's commoners.,성채의 평민 중 한 명입니다.
commale005,utc,FirstName,0,12423,Commoner,평민
creature,utc,Description,0,-1,"""Southpaw"" is the local pawnbroker and the guildmaster for the thieves guild.","""사우스포""는 이 지역의 전당포 주인이자 도적 길드의 길드마스터입니다."
creature,utc,FirstName,0,-1,"""Southpaw""","""사우스포"""
creature,utc,LastName,0,-1,Sebastion Fitch,세바스티온 피치
creature001,utc,FirstName,0,-1,Levio'Sa,레비오사
creature002,utc,Description,0,-1,Glassy is the local smith.,글래시는 이 지역의 대장장이입니다.
