Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
caravan,utm,LocName,0,-1,Caravan,
os_store_fight1,utm,LocName,0,14812,Weapon and Armor Store,
os_store_fight2,utm,LocName,0,14812,Weapon and Armor Store,
os_store_gen002,utm,LocName,0,-1,General Store,
os_store_gen1,utm,LocName,0,-1,General Store,
os_store_mage1,utm,LocName,0,14807,Mage Store,
os_store_mage2,utm,LocName,0,14807,Mage Store,
os_store_thi003,utm,LocName,0,-1,Thief Store,
os_store_thi2,utm,LocName,0,-1,Thief Store,
templestore,utm,LocName,0,-1,Temple Store,
