Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
_generic_booty,uti,LocalizedName,0,-1,_GENERIC_BOOTY,
_survival_items,uti,LocalizedName,0,-1,_SURVIVAL_ITEMS,
_tattoos,uti,LocalizedName,0,-1,_TATTOOS,
_turf_war_loot,uti,LocalizedName,0,-1,_BOSS_LOOT,
_unique_booty,uti,LocalizedName,0,-1,_UNIQUE_BOOTY,
a0_bldfullplate,uti,LocalizedName,0,181,NPC: Bloodsailor Full Plate,
a0_bldhalfplate,uti,LocalizedName,0,12930,NPC: Bloodsailor Half Plate,
a0_bldlcrssbw,uti,DescIdentified,0,-1,You took this crossbow from the corpse of a nefarious Bloodsailor gang leader while in Neverwinter.,
a0_bldlcrssbw,uti,LocalizedName,0,174,Bloodsailor Crossbow,
a0_bldmace,uti,DescIdentified,0,-1,You took this mace from the corpse of a nefarious Bloodsailor gang leader while in Neverwinter.,
a0_bldmace,uti,LocalizedName,0,177,Bloodsailor Mace,
a0_bldmrnstr,uti,DescIdentified,0,-1,This morningstar once belonged to a member of the nefarious Bloodsailor gang in Neverwinter.,
a0_bldmrnstr,uti,LocalizedName,0,1541,Bloodsailor Morningstar,
a0_bldrobe,uti,DescIdentified,0,-1,"As leader of Neverwinter's Bloodsailor gang, Vengaul Bloodsail was the one to choose their colors. Blue for the sea and red for blood on the water. The gold was for filthy lucre, ne'er to be forgotten.",
a0_bldrobe,uti,LocalizedName,0,12909,NPC: Bloodsailor Robe,
a0_bldsheild,uti,DescIdentified,0,-1,You took this shield from the corpse of a nefarious Bloodsailor gang leader while in Neverwinter.,
a0_bldsheild,uti,LocalizedName,0,179,Bloodsailor Shield,
a0_bldshrtswrd,uti,DescIdentified,0,-1,You took this short sword from the corpse of a nefarious Bloodsailor gang leader while in Neverwinter.,
a0_bldshrtswrd,uti,LocalizedName,0,106,Bloodsailor Blade,
a0_bldtsheild,uti,LocalizedName,0,1551,NPC: Bloodsailor Tower Shield,
a0_blkbswrd,uti,DescIdentified,0,-1,You took this bastard sword from the corpse of a nefarious Blackriver Bandit leader while in Neverwinter.,
a0_blkbswrd,uti,LocalizedName,0,168,Blackriver Bastard Sword,
a0_blkclothes,uti,LocalizedName,0,13143,NPC: Blackriver Clothing,
a0_blkdggr,uti,DescIdentified,0,-1,You took this dagger from the corpse of a nefarious Blackriver Bandit leader while in Neverwinter.,
a0_blkdggr,uti,LocalizedName,0,191,Blackriver Dagger,
a0_blklcrssbw,uti,DescIdentified,0,-1,This crossbow once belonged to a nefarious Blackriver Bandit leader in Neverwinter.,
a0_blklcrssbw,uti,LocalizedName,0,174,Blackriver Crossbow,
a0_blklight,uti,LocalizedName,0,12835,NPC: Blackriver Leather Armor,
a0_blkmace,uti,DescIdentified,0,-1,You took this mace from the corpse of a nefarious Blackriver Bandit leader while in Neverwinter.,
a0_blkmace,uti,LocalizedName,0,177,Blackriver Mace,
a0_blksheild,uti,DescIdentified,0,-1,You took this shield from the corpse of a nefarious Blackriver Bandit leader while in Neverwinter.,
a0_blksheild,uti,LocalizedName,0,179,Blackriver Shield,
a0_blktwaxe,uti,DescIdentified,0,-1,You took this axe from the corpse of a nefarious Blackriver Bandit leader while in Neverwinter.,
a0_blktwaxe,uti,LocalizedName,0,169,Blackriver Axe,
a0_rahmansbook,uti,DescIdentified,0,-1,"According to the ornate inscription engraved on the cover in multiple languages, this spellbook belongs to a certain Rahman Madani, Esteemed Magi of the Fourth Circle of the Shifting Sands. The internal contents of the book are unintelligible to you, however, written in some unknown code. For all you know, it might actually be gibberish.",
a0_rahmansbook,uti,LocalizedName,0,-1,Rahman Madani's Spellbook,
a0_rahmanskey,uti,DescIdentified,0,-1,This simple key is to Rahman Madani's quarters aboard the Midnight Rose.,
a0_rahmanskey,uti,LocalizedName,0,-1,Rahman's Cabin Key,
