Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
a0_shp_allendry,utm,LocName,0,14812,A0: Allendry (General),
a0_shp_dela,utm,LocName,0,14810,A0: Dela (Black Market),
a0_shp_doisin,utm,LocName,0,14812,A0: Doisin (General),
a0_shp_honey,utm,LocName,0,14810,A0: Honeypea (Black Market),
a1_shp_edgrimm,utm,LocName,0,14807,A1: Edgrimm (General / Magic),
a1_shp_trogs,utm,LocName,0,14807,A1: Troglodytes (General / Crude),
a2_shp_magic,utm,LocName,0,14807,A2: Stall 2 (Magic),
a2_shp_maps,utm,LocName,0,14807,A2: Stall 3 (Maps),
a2_shp_nwgang,utm,LocName,0,14807,A2: Vengaul/Honeypea (General),
a2_shp_smith,utm,LocName,0,14807,A2: Prugdush (Blacksmith),
a2_shp_tavern,utm,LocName,0,14807,A2: Grogbeard (Tavern),
a2_shp_temple,utm,LocName,0,14807,A2: Karys (Temple),
a2_shp_thief,utm,LocName,0,14807,A2: Stall 1 (Black Market),
a3_shp_dragon,utm,LocName,0,14807,A3: Dragon (General),
a3_shp_gullym,utm,LocName,0,14807,A3: Old Tom (Dead / Undead),
teststore,utm,LocName,0,-1,TestStore,
