Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
a0_mysterystat,utp,Description,0,14535,You don't quite recognize the creature depicted by this barnacle-encrusted statue but it's clearly aquatic in nature. The stone is old and deeply weathered.,
a0_mysterystat,utp,LocName,0,14536,Mysterious Statue,
a0_poly,utp,Description,0,-1,Poly is a parrot of indeterminate gender. You study the old bird out of the corner of your eye but to no avail. You suspect that Poly is supposed to be a woman's name but it's hard to be sure. Bloody parrots...,
a0_poly,utp,LocName,0,-1,Poly the Parrot,
a0_potsc_cutches,utp,LocName,0,-1,a0_potsc_cutchest,
a1_chsttnls,utp,Description,0,-1,"Salvaged from the wreck of an unknown ship, Utnal's treasure chest is slightly damaged and the lock is beginning to rust.",
a1_chsttnls,utp,LocName,0,-1,Utnal's Trove,
a1_convobj,utp,Description,0,14662,"You look about you, suspicious, but see nothing.","당신은 뭔가 의심스러운 듯이 보이지만, 아무것도 보지 못합니다."
a1_convobj,utp,LocName,0,5800,Darkness surrounds you...,
a1_cutplc1a,utp,Description,0,14548,The smell of mothballs has long since seeped into the wood of this armoire.,좀약 냄새가 이 장식장의 나무에 스며든 지 오래입니다.
a1_cutplc1a,utp,LocName,0,14549,a1_cutplc1a,
a1_cutplc1b,utp,Description,0,14548,The smell of mothballs has long since seeped into the wood of this armoire.,좀약 냄새가 이 장식장의 나무에 스며든 지 오래입니다.
a1_cutplc1b,utp,LocName,0,14549,a1_cutplc1b,
a1_cutplc2a,utp,Description,0,14548,The smell of mothballs has long since seeped into the wood of this armoire.,좀약 냄새가 이 장식장의 나무에 스며든 지 오래입니다.
a1_cutplc2a,utp,LocName,0,14549,a1_cutplc2a,
a1_cutplc2b,utp,Description,0,14548,The smell of mothballs has long since seeped into the wood of this armoire.,좀약 냄새가 이 장식장의 나무에 스며든 지 오래입니다.
a1_cutplc2b,utp,LocName,0,14549,a1_cutplc2b,
a1_cutraft,utp,Description,0,14548,The smell of mothballs has long since seeped into the wood of this armoire.,좀약 냄새가 이 장식장의 나무에 스며든 지 오래입니다.
a1_cutraft,utp,LocName,0,14549,a1_cutraft,
a1_driftwood,utp,Description,0,-1,Seaweed still clings to the salt-bleached wood.,
a1_driftwood,utp,LocName,0,-1,Driftwood,
a1_driftwood001,utp,Description,0,-1,This well-weathered driftwood washed in with the recent tide.,
a1_driftwood001,utp,LocName,0,-1,Driftwood,
a1_driftwood002,utp,Description,0,-1,This well-weathered driftwood washed in with the recent tide.,
a1_driftwood002,utp,LocName,0,-1,Driftwood,
a1_driftwood003,utp,Description,0,-1,This well-weathered driftwood washed in with the recent tide.,
a1_driftwood003,utp,LocName,0,-1,Driftwood,
a1_driftwood004,utp,Description,0,-1,This well-weathered driftwood washed in with the recent tide.,
a1_driftwood004,utp,LocName,0,-1,Driftwood,
a1_firelrg,utp,Description,0,14624,"The fire crackles and burns, consuming everything within its scorching heat.",불이 맹렬한 열기로 모든 것을 먹어 치우며 탁탁 소리와 함께 타오릅니다.
a1_firelrg,utp,LocName,0,14625,Large Flame,
a1_firemed,utp,Description,0,14624,"The fire crackles and burns, consuming everything within its scorching heat.",불이 맹렬한 열기로 모든 것을 먹어 치우며 탁탁 소리와 함께 타오릅니다.
a1_firemed,utp,LocName,0,14625,Medium Flame,
