Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
a3_umbrlchant,uts,LocName,0,67812,Umberlant Chant,
as_mg_telepin1,uts,LocName,0,67904,Gangplank Teleport In,
as_mg_telepout1,uts,LocName,0,67904,Gangplank Teleport Out,
as_na_splash1,uts,LocName,0,68022,Gangplank Splash,
pp1_allendry001,uts,LocName,0,-1,pp1_allendry001,
pp1_allendry002,uts,LocName,0,-1,pp1_allendry002,
pp1_allendry003,uts,LocName,0,-1,pp1_allendry003,
pp1_allendry004,uts,LocName,0,-1,pp1_allendry004,
pp1_allendry005,uts,LocName,0,-1,pp1_allendry005,
pp1_allendry006,uts,LocName,0,-1,pp1_allendry006,
pp1_allendry007,uts,LocName,0,-1,pp1_allendry007,
pp1_allendry008,uts,LocName,0,-1,pp1_allendry008,
pp1_allendry009,uts,LocName,0,-1,pp1_allendry009,
pp1_allendry010,uts,LocName,0,-1,pp1_allendry010,
pp1_allendry011,uts,LocName,0,-1,pp1_allendry011,
pp1_allendry012,uts,LocName,0,-1,pp1_allendry012,
pp1_allendry013,uts,LocName,0,-1,pp1_allendry013,
pp1_allendry014,uts,LocName,0,-1,pp1_allendry014,
pp1_allendry015,uts,LocName,0,-1,pp1_allendry015,
pp1_allendry016,uts,LocName,0,-1,pp1_allendry016,
pp1_allendry017,uts,LocName,0,-1,pp1_allendry017,
pp1_allendry018,uts,LocName,0,-1,pp1_allendry018,
pp1_allendry019,uts,LocName,0,-1,pp1_allendry019,
pp1_allendry020,uts,LocName,0,-1,pp1_allendry020,
pp1_allendry021,uts,LocName,0,-1,pp1_allendry021,
pp1_allendry022,uts,LocName,0,-1,pp1_allendry022,
pp1_allendry023,uts,LocName,0,-1,pp1_allendry023,
pp1_allendry024,uts,LocName,0,-1,pp1_allendry024,
pp1_allendry025,uts,LocName,0,-1,pp1_allendry025,
pp1_allendry026,uts,LocName,0,-1,pp1_allendry026,
pp1_allendry027,uts,LocName,0,-1,pp1_allendry027,
pp1_allendry028,uts,LocName,0,-1,pp1_allendry028,
pp1_allendry029,uts,LocName,0,-1,pp1_allendry029,
pp1_allendry030,uts,LocName,0,-1,pp1_allendry030,
pp1_allendry031,uts,LocName,0,-1,pp1_allendry031,
pp1_allendry032,uts,LocName,0,-1,pp1_allendry032,
pp1_allendry033,uts,LocName,0,-1,pp1_allendry033,
pp1_allendry034,uts,LocName,0,-1,pp1_allendry034,
pp1_allendry035,uts,LocName,0,-1,pp1_allendry035,
pp1_allendry036,uts,LocName,0,-1,pp1_allendry036,
pp1_allendry037,uts,LocName,0,-1,pp1_allendry037,
pp1_allendry038,uts,LocName,0,-1,pp1_allendry038,
pp1_allendry039,uts,LocName,0,-1,pp1_allendry039,
pp1_allendry040,uts,LocName,0,-1,pp1_allendry040,
pp1_allendry041,uts,LocName,0,-1,pp1_allendry041,
pp1_allendry042,uts,LocName,0,-1,pp1_allendry042,
pp1_allendry043,uts,LocName,0,-1,pp1_allendry043,
pp1_allendry044,uts,LocName,0,-1,pp1_allendry044,
pp1_allendry045,uts,LocName,0,-1,pp1_allendry045,
pp1_allendry046,uts,LocName,0,-1,pp1_allendry046,
pp1_allendry047,uts,LocName,0,-1,pp1_allendry047,
pp1_allendry048,uts,LocName,0,-1,pp1_allendry048,
pp1_allendry049,uts,LocName,0,-1,pp1_allendry049,
pp1_allendry050,uts,LocName,0,-1,pp1_allendry050,
pp1_allendry051,uts,LocName,0,-1,pp1_allendry051,
pp1_allendry052,uts,LocName,0,-1,pp1_allendry052,
pp1_allendry053,uts,LocName,0,-1,pp1_allendry053,
pp1_allendry054,uts,LocName,0,-1,pp1_allendry054,
pp1_allendry055,uts,LocName,0,-1,pp1_allendry055,
pp1_allendry056,uts,LocName,0,-1,pp1_allendry056,
pp1_allendry057,uts,LocName,0,-1,pp1_allendry057,
pp1_allendry058,uts,LocName,0,-1,pp1_allendry058,
pp1_allendry059,uts,LocName,0,-1,pp1_allendry059,
pp1_allendry060,uts,LocName,0,-1,pp1_allendry060,
pp1_allendry061,uts,LocName,0,-1,pp1_allendry061,
pp1_allendry062,uts,LocName,0,-1,pp1_allendry062,
snd_beastroar,uts,LocName,0,-1,snd_beastroar,
xpm_chisel,uts,LocName,0,-1,xpm_chisel,
xpm_claybreak,uts,LocName,0,-1,xpm_claybreak,
xpm_electric,uts,LocName,0,-1,xpm_electric,
xpm_hammer,uts,LocName,0,-1,xpm_hammer,
xpm_minepick1,uts,LocName,0,-1,xpm_minepick1,
xpm_minepick2,uts,LocName,0,-1,xpm_minepick2,
xpm_pain01,uts,LocName,0,-1,xpm_pain01,
xpm_pain02,uts,LocName,0,-1,xpm_pain02,
xpm_pain03,uts,LocName,0,-1,xpm_pain03,
xpm_pain04,uts,LocName,0,-1,xpm_pain04,
xpm_pain05,uts,LocName,0,-1,xpm_pain05,
xpm_pain06,uts,LocName,0,-1,xpm_pain06,
xpm_pain07,uts,LocName,0,-1,xpm_pain07,
xpm_pain08,uts,LocName,0,-1,xpm_pain08,
xpm_pain09,uts,LocName,0,-1,xpm_pain09,
xpm_ropepully,uts,LocName,0,-1,xpm_ropepully,
xpm_sawing1,uts,LocName,0,-1,xpm_sawing1,
xpm_sawing2,uts,LocName,0,-1,xpm_sawing2,
xpm_sawing3,uts,LocName,0,-1,xpm_sawing3,
xpm_whistle1,uts,LocName,0,-1,xpm_whistle1,
xpm_whistle2,uts,LocName,0,-1,xpm_whistle2,
