Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
area001,git,Creature List/0/Description,0,-1,"As quiet as he is loyal, this brooding young ranger bears unknown burdens upon his shoulders. The Emperor's eyes and ears within the shadows, he misses little and divulges less.",
area001,git,Creature List/0/Equip_ItemList/0/DescIdentified,0,-1,"This armor bears the emblem of the Stormcrow family, influential lords of the Northern Reaches.",
area001,git,Creature List/0/Equip_ItemList/0/LocalizedName,0,-1,Stormcrow Studded Leather,
area001,git,Creature List/0/FirstName,0,-1,Lyen,
area001,git,Creature List/0/ItemList/0/LocalizedName,0,-1,Longsword,
area001,git,Creature List/0/ItemList/1/LocalizedName,0,-1,Short Sword,
area001,git,Creature List/0/ItemList/2/LocalizedName,0,-1,Longbow,
area001,git,Creature List/0/ItemList/3/LocalizedName,0,-1,Arrow,
area001,git,Creature List/0/ItemList/4/LocalizedName,0,-1,Arrow,
area001,git,Creature List/0/ItemList/5/LocalizedName,0,-1,Arrow,
area001,git,Creature List/0/ItemList/6/LocalizedName,0,-1,Arrow,
area001,git,Creature List/0/LastName,0,-1,Silverblade,
area001,git,Creature List/1/Description,0,-1,"The last of the Dy'nesh line, this raven-haired elven beauty bears her family's ability to speak with the dead. It is a gift bestowed upon them by the goddess Akhana but jealously reviled by the priesthood. Now she serves the Emperor, finding safety in his shadow.",
area001,git,Creature List/1/Equip_ItemList/0/DescIdentified,0,-1,"This suit of armor has been crafted by the superior armorsmiths of the Sharakhan Empire, being both far more durable in combat, and less cumbersome for its wearer.",
area001,git,Creature List/1/Equip_ItemList/0/LocalizedName,0,-1,Imperial Chain Shirt,
area001,git,Creature List/1/FirstName,0,-1,Kara,
area001,git,Creature List/1/ItemList/0/LocalizedName,0,-1,Arrow,
area001,git,Creature List/1/ItemList/1/LocalizedName,0,-1,Arrow,
area001,git,Creature List/1/ItemList/2/LocalizedName,0,-1,Arrow,
area001,git,Creature List/1/ItemList/3/LocalizedName,0,-1,Arrow,
area001,git,Creature List/1/ItemList/4/LocalizedName,0,-1,Longbow,
area001,git,Creature List/1/ItemList/5/DescIdentified,0,-1,"Masterwork weapons are crafted to be perfectly balanced and weighted, allowing for a far greater control and accuracy in battle.",
area001,git,Creature List/1/ItemList/5/LocalizedName,0,-1,Masterwork Longsword,
area001,git,Creature List/1/ItemList/6/LocalizedName,0,-1,Small Shield,
area001,git,Creature List/1/LastName,0,-1,Dy'nesh,
area001,git,Creature List/2/Description,0,-1,"Stern in countenance and stout of heart, this former slave now serves as the Emperor's secret commander in the field. Part warrior, part ambassador, and part agent of vengeance, he protects the Empire from itself.",
area001,git,Creature List/2/Equip_ItemList/0/DescIdentified,0,-1,"This suit of armor has been crafted by the superior armorsmiths of the Sharakhan Empire, being both far more durable in combat, and less cumbersome for its wearer.",
area001,git,Creature List/2/Equip_ItemList/0/LocalizedName,0,-1,Imperial Full Plate,
area001,git,Creature List/2/FirstName,0,-1,Markius,
area001,git,Creature List/2/ItemList/0/LocalizedName,0,-1,Greatsword,
area001,git,Creature List/2/ItemList/1/LocalizedName,0,-1,Heavy Crossbow,
area001,git,Creature List/2/ItemList/2/LocalizedName,0,-1,Bolt,
area001,git,Creature List/2/ItemList/3/LocalizedName,0,-1,Bolt,
area001,git,Creature List/2/ItemList/4/LocalizedName,0,-1,Bolt,
area001,git,Creature List/2/ItemList/5/LocalizedName,0,-1,Bolt,
area001,git,Creature List/2/LastName,0,-1,Albright,
area001,git,Creature List/3/Description,0,-1,"Stern in countenance and stout of heart, this former slave now serves as the Emperor's secret commander in the field. Part warrior, part ambassador, and part agent of vengeance, he protects the Empire from itself.",
area001,git,Creature List/3/Equip_ItemList/0/DescIdentified,0,-1,"This suit of armor has been crafted by the superior armorsmiths of the Sharakhan Empire, being both far more durable in combat, and less cumbersome for its wearer.",
area001,git,Creature List/3/Equip_ItemList/0/LocalizedName,0,-1,Imperial Full Plate,
area001,git,Creature List/3/FirstName,0,-1,Markius,
area001,git,Creature List/3/ItemList/0/LocalizedName,0,-1,Greatsword,
area001,git,Creature List/3/ItemList/1/LocalizedName,0,-1,Heavy Crossbow,
area001,git,Creature List/3/ItemList/2/LocalizedName,0,-1,Bolt,
area001,git,Creature List/3/ItemList/3/LocalizedName,0,-1,Bolt,
area001,git,Creature List/3/ItemList/4/LocalizedName,0,-1,Bolt,
area001,git,Creature List/3/ItemList/5/LocalizedName,0,-1,Bolt,
area001,git,Creature List/3/LastName,0,-1,Albright,
area001,git,Creature List/4/Description,0,-1,"Leaving behind a string of gambling debts at every port of call, it is a wonder that this compulsive little halfling has time to serve the Emperor at all. But trust is won across a table's winnings and many a secret gleaned. Perhaps he's a better gambler than he lets on.",
area001,git,Creature List/4/Equip_ItemList/0/DescIdentified,0,-1,"This suit of armor has been crafted by the superior armorsmiths of the Sharakhan Empire, being both far more durable in combat, and less cumbersome for its wearer.",
area001,git,Creature List/4/Equip_ItemList/0/LocalizedName,0,-1,Imperial Leather Armor,
area001,git,Creature List/4/FirstName,0,-1,Tarin,
area001,git,Creature List/4/ItemList/0/LocalizedName,0,-1,Arrow,
area001,git,Creature List/4/ItemList/1/LocalizedName,0,-1,Arrow,
area001,git,Creature List/4/ItemList/2/LocalizedName,0,-1,Arrow,
area001,git,Creature List/4/ItemList/3/LocalizedName,0,-1,Arrow,
area001,git,Creature List/4/ItemList/4/LocalizedName,0,-1,Short Sword,
area001,git,Creature List/4/ItemList/5/LocalizedName,0,-1,Shortbow,
area001,git,Creature List/4/LastName,0,-1,Lightfingers,
area001,git,Creature List/5/FirstName,0,-1,Shadow Spirit,
area001,git,StoreList/0/LocName,0,-1,Brukus's Inventory,
area001,git,StoreList/1/LocName,0,-1,Kara's Inventory,
area001,git,StoreList/2/LocName,0,-1,Tarin's Inventory,
area001,git,StoreList/3/LocName,0,-1,Lyen's Inventory,
area001,git,StoreList/4/LocName,0,-1,Markius's Inventory,
area001,git,WaypointList/0/LocalizedName,0,14817,Waypoint,웨이포인트
area_beg_city,git,Creature List/0/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/0/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/1/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/1/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/10/Equip_ItemList/0/LocalizedName,0,-1,Imperial Uniform,
area_beg_city,git,Creature List/10/FirstName,0,-1,Janthos,
area_beg_city,git,Creature List/10/ItemList/0/DescIdentified,0,-1,"All citizens of the Sharakhan Empire are asked to choose a Crest upon their graduation. The three Crests represent the three paths by which they serve the Emperor: that of the Guardian, that of the Enforcer, and that of the Redeemer.",
area_beg_city,git,Creature List/10/ItemList/0/LocalizedName,0,-1,Crest of the Guardian,
area_beg_city,git,Creature List/10/LastName,0,-1,the Inventor,
area_beg_city,git,Creature List/11/FirstName,0,-1,Construct XVII,
area_beg_city,git,Creature List/11/LastName,0,-1,", Imperial Information Construct",
area_beg_city,git,Creature List/12/FirstName,0,-1,Imperial Construct,
area_beg_city,git,Creature List/13/FirstName,0,-1,Imperial Construct,
area_beg_city,git,Creature List/14/FirstName,0,-1,Imperial Construct,
area_beg_city,git,Creature List/15/FirstName,0,-1,Imperial Construct,
area_beg_city,git,Creature List/16/Equip_ItemList/0/LocalizedName,0,-1,Imperial Helmet,
area_beg_city,git,Creature List/16/Equip_ItemList/1/LocalizedName,0,-1,Imperial Banded Mail,
area_beg_city,git,Creature List/16/Equip_ItemList/2/LocalizedName,0,-1,Halberd,
area_beg_city,git,Creature List/16/FirstName,0,-1,Ghaarak Imperial Guard,
area_beg_city,git,Creature List/17/Equip_ItemList/0/LocalizedName,0,-1,Imperial Helmet,
area_beg_city,git,Creature List/17/Equip_ItemList/1/LocalizedName,0,-1,Imperial Banded Mail,
area_beg_city,git,Creature List/17/Equip_ItemList/2/LocalizedName,0,-1,Halberd,
area_beg_city,git,Creature List/17/FirstName,0,-1,Ghaarak Imperial Guard,
area_beg_city,git,Creature List/18/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/18/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/19/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/19/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/2/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/2/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/20/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/20/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/21/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/21/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/22/Equip_ItemList/0/LocalizedName,0,-1,Imperial Uniform,
area_beg_city,git,Creature List/22/FirstName,0,-1,Alia,
area_beg_city,git,Creature List/22/ItemList/0/DescIdentified,0,-1,"All citizens of the Sharakhan Empire are asked to choose a Crest upon their graduation. The three Crests represent the three paths by which they serve the Emperor: that of the Guardian, that of the Enforcer, and that of the Redeemer.",
area_beg_city,git,Creature List/22/ItemList/0/LocalizedName,0,-1,Crest of the Redeemer,
area_beg_city,git,Creature List/23/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/23/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/24/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/24/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/3/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/3/FirstName,0,-1,Imperial Citizen,
area_beg_city,git,Creature List/4/Equip_ItemList/0/LocalizedName,0,-1,Imperial Helmet,
area_beg_city,git,Creature List/4/Equip_ItemList/1/LocalizedName,0,-1,Imperial Banded Mail,
area_beg_city,git,Creature List/4/Equip_ItemList/2/LocalizedName,0,-1,Halberd,
area_beg_city,git,Creature List/4/FirstName,0,-1,Ghaarak Imperial Guard,
area_beg_city,git,Creature List/5/Equip_ItemList/0/LocalizedName,0,-1,Imperial Helmet,
area_beg_city,git,Creature List/5/Equip_ItemList/1/LocalizedName,0,-1,Imperial Banded Mail,
area_beg_city,git,Creature List/5/Equip_ItemList/2/LocalizedName,0,-1,Halberd,
area_beg_city,git,Creature List/5/FirstName,0,-1,Ghaarak Imperial Guard,
area_beg_city,git,Creature List/6/Equip_ItemList/0/LocalizedName,0,-1,Imperial Helmet,
area_beg_city,git,Creature List/6/Equip_ItemList/1/LocalizedName,0,-1,Imperial Banded Mail,
area_beg_city,git,Creature List/6/Equip_ItemList/2/LocalizedName,0,-1,Halberd,
area_beg_city,git,Creature List/6/FirstName,0,-1,Ghaarak Imperial Guard,
area_beg_city,git,Creature List/7/Equip_ItemList/0/LocalizedName,0,-1,Imperial Helmet,
area_beg_city,git,Creature List/7/Equip_ItemList/1/LocalizedName,0,-1,Imperial Banded Mail,
area_beg_city,git,Creature List/7/Equip_ItemList/2/LocalizedName,0,-1,Halberd,
area_beg_city,git,Creature List/7/FirstName,0,-1,Ghaarak Imperial Guard,
area_beg_city,git,Creature List/8/Equip_ItemList/0/LocalizedName,0,-1,Imperial Helmet,
area_beg_city,git,Creature List/8/Equip_ItemList/1/LocalizedName,0,-1,Imperial Banded Mail,
area_beg_city,git,Creature List/8/Equip_ItemList/2/LocalizedName,0,-1,Halberd,
area_beg_city,git,Creature List/8/FirstName,0,-1,Ghaarak Imperial Guard,
area_beg_city,git,Creature List/9/Equip_ItemList/0/LocalizedName,0,-1,Standard Imperial Clothing,
area_beg_city,git,Creature List/9/FirstName,0,-1,Imperial Servant Gilles,
area_beg_city,git,Door List/0/LocName,0,5349,Door,문
area_beg_city,git,Door List/1/LocName,0,5349,Door,문
area_beg_city,git,Door List/2/LocName,0,5349,Door,문
area_beg_city,git,Door List/3/LocName,0,5349,Door,문
area_beg_city,git,Placeable List/10/Description,0,14642,The torch paints its environs in warmer hues. You find yourself grateful for its glow. ,횃불이 주변을 따뜻하게 칠하고 있습니다. 당신은 그 불빛에 감사하는 자신을 발견합니다.
area_beg_city,git,Placeable List/10/LocName,0,14643,Torch Bracket,횃불 걸이
area_beg_city,git,Placeable List/11/Description,0,14642,The torch paints its environs in warmer hues. You find yourself grateful for its glow. ,횃불이 주변을 따뜻하게 칠하고 있습니다. 당신은 그 불빛에 감사하는 자신을 발견합니다.
area_beg_city,git,Placeable List/11/LocName,0,14643,Torch Bracket,횃불 걸이
area_beg_city,git,Placeable List/12/Description,0,14642,The torch paints its environs in warmer hues. You find yourself grateful for its glow. ,횃불이 주변을 따뜻하게 칠하고 있습니다. 당신은 그 불빛에 감사하는 자신을 발견합니다.
area_beg_city,git,Placeable List/12/LocName,0,14643,Torch Bracket,횃불 걸이
area_beg_city,git,Placeable List/13/Description,0,14642,The torch paints its environs in warmer hues. You find yourself grateful for its glow. ,횃불이 주변을 따뜻하게 칠하고 있습니다. 당신은 그 불빛에 감사하는 자신을 발견합니다.
area_beg_city,git,Placeable List/13/LocName,0,14643,Torch Bracket,횃불 걸이
area_beg_city,git,Placeable List/14/Description,0,14642,The torch paints its environs in warmer hues. You find yourself grateful for its glow. ,횃불이 주변을 따뜻하게 칠하고 있습니다. 당신은 그 불빛에 감사하는 자신을 발견합니다.
