Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
ac_yakirghost,utc,FirstName,0,-1,Spirit of Yakir the Black,
basicbarbarian,utc,FirstName,0,-1,Basic Barbarian,
basicbard,utc,FirstName,0,-1,Basic Bard,
basiccleric,utc,FirstName,0,-1,Basic Cleric,
basicdruid,utc,FirstName,0,-1,Basic Druid,
basicdwarf,utc,FirstName,0,-1,Basic Dwarf,
basicelf,utc,FirstName,0,-1,Basic Elf,
basicfighter,utc,FirstName,0,-1,Basic Fighter,
basicgnome,utc,FirstName,0,-1,Basic Gnome,
basichalfelf,utc,FirstName,0,-1,Basic Half-Elf,
basichalfling,utc,FirstName,0,-1,Basic Halfling,
basichalforc,utc,FirstName,0,-1,Basic Half-Orc,
basichuman,utc,FirstName,0,-1,Basic Human,
basicpaladin,utc,FirstName,0,-1,Basic Paladin,
basicranger,utc,FirstName,0,-1,Basic Ranger,
basicranger001,utc,FirstName,0,-1,Basic Ranger,
basicrogue,utc,FirstName,0,-1,Basic Rogue,
basicsorceror,utc,FirstName,0,-1,Basic Sorceror,
basicwizard,utc,FirstName,0,-1,Basic Wizard,
coric01,utc,FirstName,0,-1,Coric,
ct_comm_ak_disc,utc,FirstName,0,-1,Disciple of Akhana,
ct_comm_ak_foll,utc,FirstName,0,-1,Disciple of Akhana,
ct_comm_av_sold,utc,FirstName,0,-1,Greyhawke Soldier,
ct_comm_bh_s0sp,utc,FirstName,0,-1,Bloodhawk,
ct_comm_bh_s2cm,utc,FirstName,0,-1,Bloodhawk Commander,
ct_comm_bh_slav,utc,FirstName,0,-1,Slave,
ct_comm_bh_st001,utc,FirstName,0,-1,Bloodhawk,
ct_comm_bh_stg0,utc,FirstName,0,-1,CT_COMM_BH_STG0,
ct_comm_bh_stg2,utc,FirstName,0,-1,Bloodhawk,
ct_comm_cf_dm_1,utc,Description,0,12454,"Summoned by the Crimson Prophet, it appears this demon wants nothing more than to rip you to shreds...",
ct_comm_cf_dm_1,utc,FirstName,0,12455,Summoned Demon,
ct_comm_cf_fol01,utc,FirstName,0,-1,Crimson Follower,
ct_comm_cf_fol02,utc,FirstName,0,-1,Crimson Follower,
ct_comm_cf_fol03,utc,FirstName,0,-1,Crimson Follower,
ct_comm_cf_fol04,utc,FirstName,0,-1,Crimson Follower,
ct_comm_cf_fol05,utc,FirstName,0,-1,Crimson Follower,
ct_comm_cf_foll,utc,FirstName,0,-1,Crimson Follower,
ct_comm_cf_foll1,utc,FirstName,0,-1,Crimson Follower,
ct_comm_cf_fosp1,utc,FirstName,0,-1,Crimson Follower,
ct_comm_ch_assa,utc,FirstName,0,-1,Assassin,
ct_comm_cp_crsr,utc,FirstName,0,-1,Crimson Sorcerer,
ct_comm_evil_so1,utc,FirstName,0,-1,Evil Soldier,
ct_comm_evil_so2,utc,FirstName,0,-1,Evil Soldier,
ct_comm_evil_so3,utc,FirstName,0,-1,Evil Soldier,
ct_comm_evil_so4,utc,FirstName,0,-1,Evil Soldier,
ct_comm_evil_so5,utc,FirstName,0,-1,Evil Soldier,
ct_comm_evil_so6,utc,FirstName,0,-1,Evil Soldier,
ct_comm_gc_cons,utc,FirstName,0,-1,Imperial Construct,
ct_comm_hs_cons,utc,FirstName,0,-1,Battle Construct,
ct_comm_hs_dark,utc,FirstName,0,-1,Fallen One,
ct_comm_hs_dasp,utc,FirstName,0,-1,Fallen One,
ct_comm_im_prka,utc,FirstName,0,-1,Ghaarak Imperial Guard,
ct_comm_nt_ghcm,utc,FirstName,0,-1,Ghaarak Commoner,
ct_comm_nt_ghtg,utc,FirstName,0,-1,Thug,
ct_comm_nt_glow,utc,Description,0,12813,"Strange magical beings, Glowstones are utilized by the sorcerers of the Sharakhan Empire to give illumination in dark areas.",
ct_comm_nt_glow,utc,FirstName,0,12814,Glowstone,
ct_comm_nt_mrbm,utc,FirstName,0,-1,Black Market Merchant,
ct_comm_nt_mrga,utc,FirstName,0,-1,Gambling Merchant,
ct_comm_nt_mrgm,utc,FirstName,0,-1,Gem Merchant,
ct_comm_nt_mrme,utc,FirstName,0,-1,Meal Merchant,
ct_comm_nt_mrpo,utc,FirstName,0,-1,Potions Merchant,
ct_comm_nt_mrwp,utc,FirstName,0,-1,Weapons Merchant,
ct_comm_nt_swwr,utc,FirstName,0,-1,Sewer Flood Crew Member,
ct_comm_nt_wait,utc,FirstName,0,-1,Waitress,
ct_comm_pers_1a,utc,FirstName,0,12393,Commoner,
ct_comm_pers_1b,utc,FirstName,0,12393,Commoner,
ct_comm_pers_1c,utc,FirstName,0,12393,Commoner,
ct_comm_ph_man0,utc,FirstName,0,-1,Nightcrawler Rogue,
ct_comm_rc_guar,utc,FirstName,0,-1,Ravenclaw Guard,
ct_comm_sc_ar_3,utc,FirstName,0,-1,Stormcrow Archer,
ct_comm_sc_cm_3,utc,FirstName,0,-1,Stormcrow Commander,
ct_comm_sc_sr_3,utc,FirstName,0,-1,Stormcrow Sorcerer,
ct_comm_sc_st_3,utc,FirstName,0,-1,Stormcrow Soldier,
ct_comm_sg_zb_1,utc,Description,0,12826,"Corpses reanimated through necromancy, Zombies are mindless undead that shamble about, trying to satiate the dull ache of hunger in their decaying gut.","걍령술로 되살아난 시체인, 좀비는 마음이 없는 언데드로 어기적거리며 썩어가는 내장에서 느껴지는 배고픔을 달래려고 애씁니다."
ct_comm_sg_zb_1,utc,FirstName,0,12827,Zombie,좀비
ct_comm_sh_1,utc,FirstName,0,-1,Imperial Guard,
ct_comm_sh_2,utc,FirstName,0,-1,Imperial Guard,
ct_comm_sh_3,utc,FirstName,0,-1,Imperial Guard,
ct_comm_sh_4,utc,FirstName,0,-1,Imperial Guard,
ct_comm_sh_cit_1,utc,FirstName,0,-1,Imperial Citizen,
ct_comm_sh_cit_2,utc,FirstName,0,-1,Imperial Citizen,
ct_comm_sh_cit_3,utc,FirstName,0,-1,Imperial Citizen,
ct_comm_sh_cit_4,utc,FirstName,0,-1,Imperial Citizen,
ct_comm_sh_citi,utc,FirstName,0,-1,Imperial Citizen,
ct_comm_sh_dkwr,utc,FirstName,0,-1,Dwarven Dock Worker,
ct_comm_sh_gdrc,utc,FirstName,0,-1,Imperial Soldier,
ct_comm_sh_ghgd,utc,FirstName,0,-1,Ghaarak Imperial Guard,
ct_comm_sh_guar,utc,FirstName,0,-1,Sharakhan Imperial Guard,
ct_comm_sh_prie,utc,FirstName,0,-1,Sharakhan Priest,
ct_comm_sh_stg01,utc,FirstName,0,-1,Imperial Guard,
ct_comm_sh_stg02,utc,FirstName,0,-1,Imperial Guard,
ct_comm_sh_stg1,utc,FirstName,0,-1,Imperial Guard,
ct_comm_sh_stud,utc,FirstName,0,-1,Student,
ct_crimcler_mons,utc,FirstName,0,-1,Crimson Cleric,
ct_crimfoll_mons,utc,FirstName,0,-1,Crimson Follower,
ct_crimsorc_mons,utc,FirstName,0,-1,Crimson Sorcerer,
ct_dead_ox,utc,Description,0,12677,These heavy draft animals are prized possessions that not all farmers can afford. Oxen are well suited to pulling plows and milling grain.,모든 농부들이 이 육중한 가축을 살 수 있는 것은 아닙니다. 황소는 쟁기를 끌거나 곡물을 제분하는데 아주 적합합니다.
ct_dead_ox,utc,FirstName,0,12678,Ox,소
ct_ghos_jr_zimh,utc,FirstName,0,-1,Spirit of Zimhallen,
ct_ghos_th_char,utc,FirstName,0,-1,Spirit of Charene Thakaros,
ct_harkon_01,utc,FirstName,0,-1,Harkon,
ct_harkon_02,utc,FirstName,0,-1,Harkon,
ct_harkon_03,utc,FirstName,0,-1,Harkon,
ct_harkon_04,utc,FirstName,0,-1,Harkon,
ct_harkon_05,utc,FirstName,0,-1,Harkon,
ct_harkon_06,utc,FirstName,0,-1,Harkon,
ct_nw_femalekid1,utc,FirstName,0,12525,Thella,
ct_nw_femalekid1,utc,LastName,0,-1,Hy'ril,
ct_nw_noblfemale,utc,FirstName,0,12659,Lady Althalea,
ct_nw_noblfemale,utc,LastName,0,-1,Hy'ril,
ct_nw_noblmale,utc,FirstName,0,12660,Lord Nalthan,
ct_nw_noblmale,utc,LastName,0,-1,Hy'ril,
ct_nw_oldman1,utc,FirstName,0,12670,Old Man,노인
ct_nw_oldman2,utc,FirstName,0,12670,Old Man,노인
ct_nw_oldwoman1,utc,FirstName,0,12672,Old Woman,노파
ct_nw_oldwoman2,utc,FirstName,0,12672,Old Woman,노파
ct_op_hench_bruk,utc,FirstName,0,-1,Brukus,
ct_op_hench_bruk,utc,LastName,0,-1,Bloodhammer,
ct_op_hench_kara,utc,Description,0,-1,"The last of the Dy'nesh line, this raven-haired elven beauty bears her family's ability to speak with the dead. It is a gift bestowed upon them by the goddess Akhana but jealously reviled by the priesthood. Now she serves the Emperor, finding safety in his shadow.",
ct_op_hench_kara,utc,FirstName,0,-1,Kara,
ct_op_hench_kara,utc,LastName,0,-1,Dy'nesh,
ct_op_hench_lyen,utc,Description,0,-1,"As quiet as he is loyal, this brooding young ranger bears unknown burdens upon his shoulders. The Emperor's eyes and ears within the shadows, he misses little and divulges less.",
ct_op_hench_lyen,utc,FirstName,0,-1,Lyen,
ct_op_hench_lyen,utc,LastName,0,-1,Silverblade,
ct_op_hench_mark,utc,Description,0,-1,"Stern in countenance and stout of heart, this former slave now serves as the Emperor's secret commander in the field. Part warrior, part ambassador, and part agent of vengeance, he protects the Empire from itself.",
ct_op_hench_mark,utc,FirstName,0,-1,Markius,
ct_op_hench_mark,utc,LastName,0,-1,Albright,
ct_op_hench_tari,utc,Description,0,-1,"Leaving behind a string of gambling debts at every port of call, it is a wonder that this compulsive little halfling has time to serve the Emperor at all. But trust is won across a table's winnings and many a secret gleaned. Perhaps he's a better gambler than he lets on.",
ct_op_hench_tari,utc,FirstName,0,-1,Tarin,
ct_op_hench_tari,utc,LastName,0,-1,Lightfingers,
ct_stat_hc_bruk,utc,FirstName,0,-1,Statue of Brukus Bloodhammer,
ct_stat_hc_kara,utc,FirstName,0,-1,Statue of Kara Dy'nesh,
ct_stat_hc_lyen,utc,FirstName,0,-1,Statue of Lyen Silverblade,
ct_stat_hc_mark,utc,FirstName,0,-1,Statue of Markius Albright,
ct_stat_hc_tari,utc,FirstName,0,-1,Statue of Tarin Lightfingers,
ct_stat_nt_gari,utc,FirstName,0,-1,Statue of King Garian the Wise,
ct_stat_nt_lahk,utc,FirstName,0,-1,Statue of King Lahkal II,
ct_stat_nt_rakh,utc,FirstName,0,-1,Statue of Emperor Rakha,
ct_uniq_ak_ghas,utc,FirstName,0,-1,Ghasaran,
ct_uniq_av_kest,utc,FirstName,0,-1,Kestarin,
ct_uniq_av_kest,utc,LastName,0,-1,Greyhawke,
ct_uniq_bh_jhor,utc,FirstName,0,-1,Jhordak,
ct_uniq_cf_dm_1,utc,FirstName,0,-1,Demon Lord,
ct_uniq_cp_vika,utc,FirstName,0,-1,Vikas,
ct_uniq_cr_saka,utc,FirstName,0,-1,Sakara,
ct_uniq_gc_con1,utc,FirstName,0,-1,Construct XVII,
ct_uniq_gc_con1,utc,LastName,0,-1,", Imperial Information Construct",
ct_uniq_gw_defe,utc,FirstName,0,-1,The Defender,
ct_uniq_gw_heal,utc,FirstName,0,-1,The Healer,
ct_uniq_gw_sava,utc,FirstName,0,-1,The Savage,
ct_uniq_hs_gold,utc,FirstName,0,-1,The Golden Warrior,
ct_uniq_ks_krsp,utc,FirstName,0,-1,Summoned Spirit,
ct_uniq_mr_gari,utc,FirstName,0,-1,Garin,
ct_uniq_nt_chak,utc,FirstName,0,-1,Chakrhil,
ct_uniq_nt_crim,utc,FirstName,0,-1,The Crimson Prophet,
ct_uniq_nt_crim1,utc,FirstName,0,-1,The Crimson Prophet,
ct_uniq_nt_dl_0,utc,FirstName,0,-1,King Khagrim the Damned,
ct_uniq_nt_dl_01,utc,FirstName,0,-1,King Khagrim the Damned,
ct_uniq_nt_dl_02,utc,FirstName,0,-1,King Khagrim the Damned,
ct_uniq_nt_drby,utc,FirstName,0,12525,Boy,
ct_uniq_nt_drgr,utc,FirstName,0,12525,Girl,소녀
ct_uniq_nt_drsp,utc,FirstName,0,-1,Spirit,
ct_uniq_nt_egba,utc,FirstName,0,-1,Egbar,
ct_uniq_nt_etsp,utc,FirstName,0,-1,The Eternal Spirit,
ct_uniq_nt_ghan,utc,FirstName,0,-1,Ghan,
