Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
crimsongroup,ute,LocalizedName,0,-1,Crimson Group ,
crimsonsorcerer,ute,LocalizedName,0,-1,Crimson Sorcerer,
enc_fall_ones,ute,LocalizedName,0,-1,Fallen Ones Encounter,
enc_fall_ones001,ute,LocalizedName,0,-1,"Fallen Ones Encounter (WITS TEST, ACTIVE)",
enc_fall_ones002,ute,LocalizedName,0,-1,"Fallen Ones Encounter (WITS TEST, INACTIVE)",
et_reset_temp,ute,LocalizedName,0,-1,ET_RESET_TEMP,
stage1dockgat001,ute,LocalizedName,0,-1,Stage 1 CF Spawns,
stage1dockgatese,ute,LocalizedName,0,-1,Stage 1 Dock Gates Encounter,
stage1imperia001,ute,LocalizedName,0,-1,Stage 1 - Crimson Follower (3),
stage1imperia002,ute,LocalizedName,0,-1,Stage 1 - Crimson Follower (6),
stage1imperialgu,ute,LocalizedName,0,-1,Stage 1 - Imperial Guard (2),
