Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
beginningstore,utm,LocName,0,-1,Beginning Store,
mt_hench_brukus,utm,LocName,0,-1,Brukus's Inventory,
mt_hench_kara,utm,LocName,0,-1,Kara's Inventory,
mt_hench_tari001,utm,LocName,0,-1,Markius's Inventory,
mt_hench_tari002,utm,LocName,0,-1,Lyen's Inventory,
mt_hench_tarin,utm,LocName,0,-1,Tarin's Inventory,
mt_store,utm,LocName,0,-1,MT_STORE,
mt_store001,utm,LocName,0,-1,STANDARD WEAPON & ARMOR STORE,
mt_store002,utm,LocName,0,-1,STANDARD_GENERAL_STORE,
mt_store003,utm,LocName,0,-1,STANDARD POTION STORE,
mt_store004,utm,LocName,0,-1,STANDARD BLACK MARKET STORE,
mt_store005,utm,LocName,0,-1,STANDARD MEAL STORE,
mt_store006,utm,LocName,0,-1,IMPERIAL STORE,
