Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
altrevil001,utp,Description,0,14540,"A small altar rests before you. Age-old bloodstains have seeped into the stone, mingling with scorchmarks left from a long-extinguished fire.",
altrevil001,utp,LocName,0,14541,Stone of Seeing,
bookpiles001,utp,Description,0,14574,"The books lay piled atop each other with little in the way of rhyme or reason, as if someone was interrupted while in the process of returning them to their place.",
bookpiles001,utp,LocName,0,5698,Book Piles,
bookshelf001,utp,Description,0,14575,"A dizzying array of written works, each catalogued according to some fashion you cannot fathom. A number of them appear to be written in foreign tongues altogether.",
bookshelf001,utp,LocName,0,14576,Bookshelf,
box002,utp,Description,0,14577,"Loosely nailed, this wooden crate appears intended for temporary storage.",
box002,utp,LocName,0,14578,Static Crate - Very Small,
box003,utp,Description,0,14577,"Loosely nailed, this wooden crate appears intended for temporary storage.",
box003,utp,LocName,0,14578,Static Crate - Small,
box004,utp,Description,0,14577,"Loosely nailed, this wooden crate appears intended for temporary storage.",
box004,utp,LocName,0,14578,Static Crate - Medium,
box005,utp,Description,0,14577,"Loosely nailed, this wooden crate appears intended for temporary storage.",
box005,utp,LocName,0,14578,Static Crate - Large,
chair001,utp,Description,0,14593,It is a simple chair but the grace of its lines speaks to the quality of its craftmanship.,
chair001,utp,LocName,0,5822,Chair,
chair002,utp,Description,0,14593,It is a simple chair but the grace of its lines speaks to the quality of its craftmanship.,
chair002,utp,LocName,0,5822,NPC Chair (Plot),
chest002,utp,Description,0,14594,"Bound in iron and with a heavy lock, this heavy chest was obviously meant to protect something of value.",
chest002,utp,LocName,0,5348,Chest,
desk001,utp,Description,0,14607,A small drawer extends beneath the gleaming tabletop. It probably doubles as a desk when there's the need.,
desk001,utp,LocName,0,5655,Desk,
invisobj001,utp,LocName,0,5800,Hammer Target,
pillar004,utp,Description,0,14686,You can see the shapes of shellfish trapped within the limestone.,
pillar004,utp,LocName,0,14684,Building Pillar,
plac_bksh_hist,utp,Description,0,14575,"A dizzying array of written works, each catalogued according to some fashion you cannot fathom. A number of them appear to be written in foreign tongues altogether.",
plac_bksh_hist,utp,LocName,0,14576,Bookshelf with Books on History,
plac_body_loot,utp,Description,0,14669,The heavy sack dances with the sound of coins.,
plac_body_loot,utp,LocName,0,5656,Loot,
plac_chest_1_itm,utp,Description,0,14594,"Bound in iron and with a heavy lock, this heavy chest was obviously meant to protect something of value.",
plac_chest_1_itm,utp,LocName,0,5348,Chest,
plac_cont_ped001,utp,Description,0,14681,"The low pedestal gleams an alabaster white, shadows playing across its fluted column.",
plac_cont_ped001,utp,LocName,0,5718,Market Gate Pedestal,
plac_cont_pedest,utp,Description,0,14681,"The low pedestal gleams an alabaster white, shadows playing across its fluted column.",
plac_cont_pedest,utp,LocName,0,5718,Control Room Pedestal,
plac_dynt_tr_brk,utp,Description,0,14642,The torch paints its environs in warmer hues. You find yourself grateful for its glow. ,
plac_dynt_tr_brk,utp,LocName,0,14643,Torch Bracket,
plac_effect_frbl,utp,LocName,0,-1,Effect Fireball,
plac_faction,utp,LocName,0,-1,Faction Object - NEUTRAL,
plac_ghaa_cont_s,utp,Description,0,14543,"Sitting atop this altar is the Control Stone of Ghaarak, a powerful orb of magical energies crafted by the Imperial sorcerers of the city.  This stone is used to activate and deactivate the magical wards guarding the Imperial District gates, in times of emergency, and is also used to control the constructs which aid in day to day Imperial labor.",
plac_ghaa_cont_s,utp,LocName,0,14541,The Control Stone,
plac_invisible,utp,LocName,0,-1,Invisible Placeable,
