Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
admiralmeldonder,utc,Description,0,-1,"This young, imposing wizard has long, flowing hair that has turned prematurely white.",
admiralmeldonder,utc,FirstName,0,-1,Admiral Meldonder,
admiralmeldonder,utc,LastName,0,-1,Nurian,
adventurer,utc,FirstName,0,-1,Adventurer,
adventurer,utc,LastName,0,-1,Fighter,
adventurer001,utc,FirstName,0,-1,Adventurer,
adventurer001,utc,LastName,0,-1,Monk,
adventurer002,utc,FirstName,0,-1,Adventurer,
adventurer002,utc,LastName,0,-1,Rogue,
adventurer003,utc,FirstName,0,-1,Adventurer,
adventurer003,utc,LastName,0,-1,Wizard,
adventurer004,utc,FirstName,0,-1,Adventurer,
adventurer004,utc,LastName,0,-1,Cleric,
adventurer005,utc,FirstName,0,-1,Adventurer,
adventurer005,utc,LastName,0,-1,Druid,
aereltheinnkeepe,utc,Description,0,-1,Aerel is a grim wolf of man who surveys his inn with an eagle eye.,
aereltheinnkeepe,utc,FirstName,0,-1,Aerel the Innkeeper,
alamarayne,utc,Description,0,-1,This half-elf is a rare beauty with a laugh like liquid moonlight.,
alamarayne,utc,FirstName,0,-1,Alamarayne,
alamarayne,utc,LastName,0,-1,Moonray,
alazander,utc,Description,0,-1,There is something oddly familiar about this mage. You can't quite put your finger on it.,
alazander,utc,FirstName,0,-1,Alazander,
amaril,utc,Description,0,-1,"Amaril Sweetwater is a half-elf of wood elf stock, a former adventuress and reputedly a tough businesswoman.",
amaril,utc,FirstName,0,-1,Amaril,
amaril,utc,LastName,0,-1,Sweetwater,
ambassador,utc,FirstName,0,-1,Ambassador Reyvan,
amberlyn,utc,Description,0,-1,"Amberlyn could well have been beautiful once, but the advancing years, together with the permanent frown on her face, have taken their toll.",
amberlyn,utc,FirstName,0,-1,Amberlyn,
ambushorderpries,utc,Description,0,-1,"Whatever god these priests worship, he is powerful enough to grant them full access to a host of cleric spells. Once he's finished attempting to incapacitate enemies from a distance, the typical Order priest will close in attack with his spiked mace. Defensively, they carry huge tower shields and wear full plate amor under their robes.",
ambushorderpries,utc,FirstName,0,-1,Order Priest,
ambushorderwarri,utc,Description,0,-1,"The typical Order warrior appears to be a veteran fighter, using a sword and shield style combat style and wearing half-plate armor beneath his ominous black robe. They fight with far more skill than would would expect from a typical cultist.",
ambushorderwarri,utc,FirstName,0,-1,Order Warrior,
ambushorderwizar,utc,Description,0,-1,"The most dangerous of those that make up the Order, these wizards are clothed in dark robes like the rest of the group. They possess a deadly arsenal of destructive spells and seem to be a par with the most experienced Purple Cloaks of Mulmaster and War Wizards of Cormyr in terms of power.",
ambushorderwizar,utc,FirstName,0,-1,Order Wizard,
ancientcavebear,utc,FirstName,0,56563,Ancient Cave Bear,
angrym,utc,Description,0,-1,Angrym is a ranger and reputedly a fine judge of horseflesh. ,
angrym,utc,FirstName,0,-1,Angrym,
announcer,utc,Description,0,-1,"The Hillsfar Arena announcer is an aging, dapper man with a cruel smile and a taste for depravity - unsurprising in one who is part of the Innovator of Pain's personal staff.",
announcer,utc,FirstName,0,-1,Announcer,
artemisentreri,utc,Description,0,-1,"This small, slender man is perfectly toned and carries not an ounce of fat. His thick, raven-black hair and controlled stubble would lead many to believe him handsome, were it not for those dead gray eyes: windows into his empty soul. This man is a killer of unsurpassed skill.",
artemisentreri,utc,FirstName,0,-1,Artemis Entreri,
asamoth,utc,FirstName,0,12597,Asamoth,
astar,utc,Description,0,-1,"Tall and muscular, with steely gray hair and blue eyes to match, Astar is every inch the formidable fighter. He's in perfect physical shape despite his forty-odd years.",
astar,utc,FirstName,0,-1,Astar,
astar,utc,LastName,0,-1,Graysteel,
avagard,utc,Description,0,-1,"The legendary pirate king Avagard must be nearing his seventieth year, but he remains in excellent physical condition and is a commanding presence. Though, there is something odd about his eyes...",
avagard,utc,FirstName,0,-1,Avagard,
baerimel,utc,Description,0,-1,"Baerimel is the younger of the two sisters. She has obviously been mistreated, though to what extent, you cannot be certain.",
baerimel,utc,FirstName,0,-1,Baerimel,
baerimel,utc,LastName,0,-1,Dunnath,
bale,utc,Description,0,-1,"For all of his sword-waving and boastful proclamations, there is a terrified look in this young man's eyes.",
bale,utc,FirstName,0,-1,Bale,
bale,utc,LastName,0,-1,Khodolis,
banedead,utc,Description,0,-1,"Created from the fanatical worshippers of the god Bane, these hateful undead possess surprising cunning and often work together to take down their prey.",
banedead,utc,FirstName,0,-1,Banedead,
baneguard,utc,Description,0,-1,"These animated skeletons are created by powerful priests of Bane and used as undead guardians. Intelligent and malevolent, they use magic in addition to melee attacks.",
baneguard,utc,FirstName,0,-1,Baneguard,
bartender,utc,Description,0,-1,This ruddy-faced man is laughing and joking with the tavern patrons. His clothes are covered in ale stains.,
bartender,utc,FirstName,0,-1,Bartender,
beholder002,utc,FirstName,0,3058,Beholder,
beholder003,utc,FirstName,0,3058,Gorlax the Many Eyed,
beirmoura,utc,Description,0,-1,"Beirmoura is the famed Bright Sword of Thentia, a sentient weapon created over a thousand years ago to combat the wizards of Netheril.",
beirmoura,utc,FirstName,0,-1,Beirmoura,
bennart,utc,Description,0,-1,"Lashan's father is a man in his early fifties, whose recent imprisonment has left him looking a good deal older. His body is covered with bruises and the cloth tunic he once wore is now little more than rags.",
bennart,utc,FirstName,0,-1,Bennart,
bennart,utc,LastName,0,-1,Waters,
bennartdead,utc,Description,0,-1,"Lashan's father is a man in his early fifties, whose recent imprisonment has left him looking a good deal older. His body is covered with bruises and the cloth tunic he once wore is now little more than rags.",
bennartdead,utc,FirstName,0,-1,Bennart,
bennartdead,utc,LastName,0,-1,Waters,
berktheinnkeep,utc,Description,0,-1,This lazy half-orc has intractable body odor.,
berktheinnkeep,utc,FirstName,0,-1,Berk the Innkeep,
blizzard,utc,Description,0,-1,"An angry young woman, Blizzard's arsenal of cold-related spells are the source of her nickname. She seems reluctant to speak about her life before the Arena.",
blizzard,utc,FirstName,0,-1,Blizzard,
branonoakheart,utc,Description,0,-1,"This solid-looking man appears to be in his late thirties. His long, drab robes cover his powerful frame, and the plain oaken staff he carries looks strong enough to crack skulls if the need arises. Despite that, he is obviously a man of peace rather than violence.",
branonoakheart,utc,FirstName,0,-1,Branon Oakheart,
burakbeast1,utc,FirstName,0,12447,Burak's Beast,
burakbeast2,utc,FirstName,0,111372,Burak's Beast,
burakbeast3,utc,FirstName,0,2976,Burak's Beast,
burakbeast4,utc,FirstName,0,111368,Burak's Beast,
burakthemongrel,utc,Description,0,-1,This wicked-looking half-orc wears his evil grin proudly.,
burakthemongrel,utc,FirstName,0,-1,Burak the Mongrel,
buriedzhent,utc,Description,0,-1,"The typical Zhentarim fighter is a skilled warrior, cruel yet disciplined.",
buriedzhent,utc,FirstName,0,-1,Buried Zhent,
burnbones,utc,Description,0,-1,"The early days of the Banedeath did not go well for Cyric, and many of his fledgling clerics were slaughtered at the hands of powerful Banites. Cyric soon after empowered select members of his clerical faithful with a portion of his power - so much power, in fact - that these clerics' mortal forms dissolved into nothing more than mere bones and the fiery power of the Dark Sun. ",
burnbones,utc,FirstName,0,-1,Burnbones,
captainhaliator,utc,Description,0,-1,"The captain of the Red Plume force stationed at Yûlash is a hard, cruel-looking man of middling years. Haliator has a reputation for turning a blind eye to looting and extortion, providing it's the Red Plumes doing it.",
captainhaliator,utc,FirstName,0,-1,Captain Haliator,
captainkettia,utc,Description,0,-1,"A tall, commanding woman, Kettia is an exotic beauty despite the scars covering her face. The crew of the Grim Voyager obey her orders without a moment's hesitation.",
captainkettia,utc,FirstName,0,-1,Captain Kettia,
captainkettia,utc,LastName,0,-1,Freeborn,
captainmalakar,utc,Description,0,-1,"This forty-something warrior appears to be a captain in the Zhentarim forces. She has a haunted look in her eyes, gazing around with a nervousness you wouldn't expect from a seasoned warrior.",
captainmalakar,utc,FirstName,0,-1,Captain Malakar,
captainzamakus,utc,Description,0,-1,"Captain Zamakus is a commanding warrior, and deadly serious about ensuring the smooth passage of the Thayan visit.",
captainzamakus,utc,FirstName,0,-1,Captain Zamakus,
cavebear,utc,FirstName,0,12386,Cave Bear,
challseus,utc,Description,0,-1,Roses are carved the length of the quarterstaff held by this weathered old priest.,
challseus,utc,FirstName,0,-1,Challseus,
chandlar,utc,Description,0,-1,The head priest of the Hall of the Unicorn is an aging half-elf of noble bearing and great wisdom. His widow's peak frames a face that is starting to show heavy laughter-lines.,
chandlar,utc,FirstName,0,-1,Chandlar,
chandlar,utc,LastName,0,-1,Hummerspoon,
charon,utc,Description,0,-1,Priests of the Dark Lord Bane are feared throughout the Moonsea for their cruelty and love of strife.,
charon,utc,FirstName,0,-1,Charon,
chesslyn,utc,Description,0,-1,"This tall, taciturn warrior guards the temple from would-be thieves. Though her manner is no-nonsense, there is a softness to her eyes and voice that hint she is more compassionate than she lets on.",
chesslyn,utc,FirstName,0,-1,Chesslyn,
chesslyn,utc,LastName,0,-1,Onaubra,
codepoetz,utc,Description,0,-1,This bard strums his harp with mechanical precision.,
codepoetz,utc,FirstName,0,-1,Codepoetz,
cook,utc,Description,0,-1,This old woman yells orders at her maids as she valiantly attempts to keep the patrons of the overcrowded inn well fed.,
cook,utc,FirstName,0,-1,Cook,
cow002,utc,FirstName,0,12428,Cow,
cr_tm_grazkahn,utc,FirstName,0,56574,Grazkahn,
cr_tm_sylargang0,utc,Description,0,-1,"This shady, hooded figure is clearly bad news.",
cr_tm_sylargang0,utc,FirstName,0,12367,Sylar's Gang,
craster,utc,Description,0,-1,"This huge bear of a man looks as wild and primeval as the surrounding forest. His weathered skin and large, knotted muscles tell of his many years spent in the wild, and his enormous greataxe looks as though it has seen a considerable amount of use.",
craster,utc,FirstName,0,-1,Craster,
craster,utc,LastName,0,-1,Rees,
crazedoldman,utc,Description,0,-1,"This old man looks crazed. His filthy clothes haven't been washed in many days, and his grimy face stares with an expression of pure, illogical hatred. ",
crazedoldman,utc,FirstName,0,-1,Crazed Old Man,
creature,utc,Description,0,-1,"A typical citizen of Elventree. While many of the inhabitants of the small settlement are Harpers, rangers, or druids, a greater number are simple craftsmen, artists, or merchants.",
creature,utc,FirstName,0,-1,"Elf, Male",
creature001,utc,Description,0,-1,"This forlorn-looking woman wears tattered clothes, her filthy hair framing a malnourished face.",
creature001,utc,FirstName,0,-1,Mard's Wife,
creature002,utc,Description,0,-1,"A typical citizen of Elventree. While many of the inhabitants of the small settlement are Harpers, rangers, or druids, a greater number are simple craftsmenm, artists, or merchants.",
creature002,utc,FirstName,0,-1,"Elf, Male",
creature003,utc,Description,0,-1,"This venerable wizard dresses in an eccentric blend of reds, yellows, and oranges. His power is palpable, however: as one of Thentia's foremost archmages, he is largely responsible for keeping the Zhentarim and others at bay.",
creature003,utc,FirstName,0,-1,"Flammuldinath ""Firefingers""",
creature003,utc,LastName,0,-1,Thuldoum,
creature004,utc,Description,0,-1,"Orcs are aggressive humanoids that raid, pillage, and battle other creatures. They have a hatred of elves and dwarves that goes back many generations.",
creature004,utc,FirstName,0,-1,Kur-Tharsu Archer,
creature005,utc,Description,0,-1,"Orcus is a massive, bloated demon prince - bloated on bile and contempt. He is arguably the most vile being in the multiverse, and certainly one of the most powerful.",
creature005,utc,FirstName,0,-1,"Orcus, Demon Prince of the Undead",
creature006,utc,Description,0,-1,"Orcs are aggressive humanoids that raid, pillage, and battle other creatures. They have a hatred of elves and dwarves that goes back many generations.",
creature006,utc,FirstName,0,-1,Kur-Tharsu Jailer,
creature007,utc,Description,0,-1,"The ogre-blooded Quah-Nomag is perhaps the most influential and powerful priest of Orcus alive today. Not only is Quah-Nomag despicable in every way, he was also instrumental in returning Orcus back to the living.",
creature007,utc,FirstName,0,-1,Quah-Nomag the Skull-King,
creature008,utc,Description,0,-1,"Wearers of Purple are members of the Cult of the Dragon who embrace the creation and veneration of the Sacred Ones, the great dracoliches of the Realms. Each Cult cell is led by one or more Wearers of Purple.",
creature008,utc,FirstName,0,-1,"Dalgar, Blood of Iyrauroth",
crenshyl,utc,Description,0,-1,"Wearers of Purple are members of the Cult of the Dragon who embrace the creation and veneration of the Sacred Ones, the great dracoliches of the Realms. Each Cult cell is led by one or more Wearers of Purple.",
crenshyl,utc,FirstName,0,-1,Crenshyl ,
crenshyl,utc,LastName,0,-1,Khodoil,
cyrilthebarkeep,utc,Description,0,-1,"A tall, thin with a boisterous laugh, Cyril runs the Oxpit Tavern.",
cyrilthebarkeep,utc,FirstName,0,-1,Cyril the Barkeep,
cyrvisnea,utc,Description,0,12663,"Ogres are ugly, greedy creatures who live by raiding and scavenging. They associate freely with Giants and Trolls, banding together to prey on the weak.",
