Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
blueprint,utm,LocName,0,-1,Laris's Curios,
branonoakheart,utm,LocName,0,14808,Branon Oakheart (Merchanrt),
firefingersmerch,utm,LocName,0,14807,Firefingers (Merchant),
genericinntav,utm,LocName,0,14806,Generic Inn/Tavern,
halloftheunicorn,utm,LocName,0,14811,Hall of the Unicorn,
muraghmercant,utm,LocName,0,-1,The Purple Portals,
ogsonthetrader,utm,LocName,0,14813,Ogson the Trader,
shieldtradingcom,utm,LocName,0,14813,Shield Trading Company,
stillwatersmerch,utm,LocName,0,14806,Still Waters Inn,
storemagic005,utm,LocName,0,14807,Zeltoon Saan (Merchant),
templeofchauntea,utm,LocName,0,14811,Temple of Chauntea,
thegoldcave,utm,LocName,0,14813,The Gold Cave,
thegrange,utm,LocName,0,-1,The Grange,
thesentinelmerch,utm,LocName,0,14807,The Sentinel (Merchant),
tityssemporium,utm,LocName,0,14813,Titys's Emporium,
ulblynmerchant,utm,LocName,0,-1,Ulblyn (Merchant),
vaultofswords,utm,LocName,0,14811,Vault of Swords,
zormerchant,utm,LocName,0,-1,Zor (Merchant),
