Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
altarofblessings,utp,LocName,0,-1,Altar of Blessings,
blueprint,utp,LocName,0,-1,Bron's Journal,
blueprint001,utp,LocName,0,-1,Priest of Imater's Invisible Seat,
cloningtube,utp,Description,0,-1,This man-sized tube is filled with a horrid green liquid. Inside that liquid floats what looks like a human embryo -- one of Wak Rathar's many attempts at cloning himself in order to avoid death's clutches.,
cloningtube,utp,LocName,0,-1,Cloning Tube,
hf_map_enc_ctl,utp,Description,0,-1,Place this object in the world map random encounter areas. It will deliver XP to the player when all spawns are defeated.,
hf_map_enc_ctl,utp,LocName,0,-1,hf_map_enc_ctl,
hf_map_reloot_1,utp,Description,0,-1,This small pile of white bones is all that remains of a human who died here long ago.,
hf_map_reloot_1,utp,LocName,0,-1,Bones,
hf_map_reloot_2,utp,Description,0,-1,A few small cloth sacks lie in a sad heap on the ground.,
hf_map_reloot_2,utp,LocName,0,-1,Sacks,
hf_map_reloot_3,utp,Description,0,-1,This small leather sack is tied at the top with a thin leather cord.,
hf_map_reloot_3,utp,LocName,0,-1,Loot Bag,
hf_map_reloot_4,utp,Description,0,-1,This thick canvas bag might contain something of value.,
hf_map_reloot_4,utp,LocName,0,-1,Loot Bag,
hf_map_reloot_5,utp,Description,0,-1,One of the thin leather straps on this old backpack is torn.,
hf_map_reloot_5,utp,LocName,0,-1,Backpack,
hf_map_reloot_6,utp,Description,0,-1,This small wooden chest is bound with heavy straps of rusted iron.,
hf_map_reloot_6,utp,LocName,0,-1,Chest,
hf_map_reloot_7,utp,Description,0,-1,This thick wooden chest features a sturdy lock.,
hf_map_reloot_7,utp,LocName,0,-1,Chest,
hf_map_reloot_8,utp,Description,0,-1,The top of this small wooden chest is coated with a thin layer of dirt and soot.,
hf_map_reloot_8,utp,LocName,0,-1,Chest,
invisobj001,utp,LocName,0,5800,Arrowslit Archer,
ir_armour1,utp,LocName,0,-1,Breastplate,
ir_armour2,utp,LocName,0,-1,Leather Jerkin,
ir_gem1,utp,LocName,0,-1,Gem -  Diamond,
ir_gem2,utp,LocName,0,-1,Gem -  Emerald,
ir_gem3,utp,LocName,0,-1,Gem -  Ruby,
ir_gem4,utp,LocName,0,-1,Gem -  Sapphire,
ir_pole,utp,LocName,0,-1,Standing Spear,
ir_scroll,utp,LocName,0,-1,Scroll,
ladder,utp,LocName,0,-1,Ladder,
pedestal,utp,LocName,0,-1,Pedestal,
pl_secret_berry,utp,LocName,0,-1,Berry Bush,
pl_secret_book,utp,LocName,0,-1,Bookcase,
pl_secret_crevic,utp,LocName,0,-1,Crevice,
pl_secret_drain,utp,LocName,0,-1,Floor Drain,
pl_secret_dung,utp,LocName,0,-1,Dung Pile,
pl_secret_genie,utp,Description,0,-1,This small bottle glows with a mysterious power.,
pl_secret_genie,utp,LocName,0,-1,Glowing Bottle,
pl_secret_grave,utp,LocName,0,-1,Shallow Grave,
pl_secret_hunter,utp,LocName,0,-1,Hunter's Trap,
pl_secret_lita,utp,LocName,0,-1,Sewer Grate,
pl_secret_ranger,utp,LocName,0,-1,Ranger Cache,
pl_secret_ruby,utp,LocName,0,-1,Statue,
pl_secret_rwboat,utp,Description,0,14662,This small wooden boat looks like it might float.,
pl_secret_rwboat,utp,LocName,0,5800,Rowboat,
pl_secret_shrine,utp,LocName,0,-1,Shrine,
pl_secret_snow,utp,LocName,0,-1,Snow Drift,
pl_secret_tile,utp,LocName,0,-1,Loose Floor Tile,
pl_secret_wolf,utp,LocName,0,-1,Pile of Leaves,
portaltoelventre,utp,LocName,0,-1,Portal To Elventree,
portaltofirstflo,utp,LocName,0,-1,Portal to First Floor,
portaltohillsfar,utp,LocName,0,-1,Portal To Hillsfar,
portaltosecondfl,utp,LocName,0,-1,Portal to Second Floor,
runepillar,utp,Description,0,-1,"This carved stone pillar has images of dark deeds and tyranny carved all around its base: men in shackles being beaten by robed priests, cowering peasants bowing before sinister wizard-emperors, and grieving wives watching as their husbands are sent to the headsman's axe. In the center at the top of the pillar is an empty groove in the shape of a circle. It looks like something fits in there.",
runepillar,utp,LocName,0,-1,Rune Pillar,
sarcophagus,utp,Description,0,-1,"This ancient stone sarcophagus is covered in dust and cobwebs. Alongside an inscription written in some archaic tongue is the old symbol of Bane, the black hand. The occupant was likely an important member of Bane's church in life... however long ago that was.",
sarcophagus,utp,LocName,0,-1,Sarcophagus,
