Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
afterdeath,dlg,EntryList/0/Text,0,-1,"<FirstName>? Oh good, you're alive. I'm not sure this place is safe though, but it was the best I could find.",
afterdeath2,dlg,EntryList/0/Text,0,-1,For a moment I thought you wouldn't recover. I hope you're strong enough to continue?,
announcements,dlg,EntryList/0/Text,0,-1,Sir Gilbert Hawklin is pleased to announce a tourney will take place in Thunderstone to seek the greatest knights in the land. The tourney will be held in the fields on the east side of town.,
announcements,dlg,EntryList/1/Text,0,-1,"Lord Marvin Huntcrown has publicly announced that he is to give up hunting, and is looking to sell his hounds to the highest bidder. Anyone interested in the finest pedigree boar or deerhounds, should request an appointment with Lord Marvin via his butler.",
announcements,dlg,EntryList/2/Text,0,-1,All citizens of Thunderstone are asked to be especially courteous to Sembian visitors. Repeated allegations of spying have generated an official complaint from the Sembian Envoy in Wheloon. Unfounded allegations are also a waste of the Crown's time.,
announcements,dlg,EntryList/3/Text,0,-1,The Crown is pleased to announce the recent knighting of <CUSTOM1021> <FullName>. The application for the knighthood of Alanis Broadhouse was rejected due to the recent brawl in the Furniture's Fate.,
announcements,dlg,EntryList/4/Text,0,-1,Alanis Broadhouse and <FullName> have recently been recommended as new knights to the Princess Regent in Suzail. Objections should be raised through the normal official channels if any believe these two are not worthy of knighthood.,
announcements,dlg,EntryList/5/Text,0,-1,"Jenny Drabb has requested that should anyone see her cat, please report it to the Crown Office. Additionally, Sir Gilbert Hawklin is pleased to announce he has taken on a new squire, <FullName>.",
announcements,dlg,EntryList/6/Text,0,-1,Sir Gilbert Hawklin is pleased to announce a tourney will take place in Thunderstone to seek the greatest knights in the land. The tourney will be held in the fields on the east side of town.,
archer,dlg,EntryList/0/Text,0,-1,I'm up next. Don't distract me!,
archer,dlg,EntryList/1/Text,0,-1,They'll be time for talk once I've won the archery competition.,
archer,dlg,EntryList/2/Text,0,-1,"Hush now, I'm watching the competition!",
archery_ref,dlg,EntryList/0/Text,0,-1,Hello there. Are ya interested in entering the archery competition? Any man or woman with bow or crossbow may enter.,
archery_ref,dlg,EntryList/1/Text,0,-1,Well come back when you are then. We'll be waitin'.,
archery_ref,dlg,EntryList/10/Text,0,-1,"I don't see enough arrows in your quiver there mate. 18 ya need, unless ya plan to go out of the competition before the end!",
archery_ref,dlg,EntryList/11/Text,0,-1,Well get ya bow or crossbow out then. Ya can't enter without one!,
archery_ref,dlg,EntryList/12/Text,0,-1,"Welcome! Welcome! <CUSTOM1021> <FullName> <CUSTOM1053> it is, isn't it? Are ya lookin' to enter the competition?",
archery_ref,dlg,EntryList/13/Text,0,-1,"I'm sorry mate, we only allow each competitor to enter the competition three times, else you rich folks'd keep entering and that wouldn't be fair on the others!",
archery_ref,dlg,EntryList/14/Text,0,-1,"Nice try <FullName>.  Ya should try again, see if ya can get a prize!",
archery_ref,dlg,EntryList/15/Text,0,-1,"Well <Mister/Missus>, you're a fine shot ain't ya? Ya certainly deserve a prize ...",
archery_ref,dlg,EntryList/16/Text,0,-1,"Here ya go then. We reward our best archers with something they'll find useful. Enjoy them, but don't waste 'em on a straw target, will ya!",
archery_ref,dlg,EntryList/2/Text,0,-1,"Simply put, ya beat three opponents, and you'll be rewarded with some magic bolts or arrows. It costs just 10 golden lions to enter, but your last opponent will be a master, as he is chosen especially to stop us giving out too many prizes today. Interested, or ya want more detail?",
archery_ref,dlg,EntryList/3/Text,0,-1,"Really? If ya don't know how to score in a competition, I can't see ya getting very far, but here goes ... Each round ya get six arrows. Ya score more than your opponent, then ya get through to the next round. Simple enough eh?",
archery_ref,dlg,EntryList/4/Text,0,-1,"Ya keep ya score for the next round, so ya may be ahead or behind ya next opponent. Anyway, we use standard scoring: 1 point for white, 3 for black, 5 for blue, 7 for red, and of course a full 9 for gold. How does that sound? Are you in?",
archery_ref,dlg,EntryList/5/Text,0,-1,"Well, Thunderstone rules is that the challenger wins in the event of a tie. Can't say fairer than that, can ya? Anyway, do I count you in?",
archery_ref,dlg,EntryList/6/Text,0,-1,Excellent! Let me just call over your opponent ...,
archery_ref,dlg,EntryList/7/Text,0,-1,A bit short of cash there are ya? Well I'm sure ya just left it somewhere right? Best if ya go find it. 10 golden lions is the entry fee.,
archery_ref,dlg,EntryList/8/Text,0,-1,Your kidding me aren't ya mate? Ya can't enter on horseback!,
archery_ref,dlg,EntryList/9/Text,0,-1,"I don't see enough quarrels in your quiver there mate. 18 ya need, unless ya plan to go out of the competition before the end!",
archery_ref,dlg,ReplyList/0/Text,0,-1,Not right now.,
