Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
are_raidcutscene,git,Creature List/0/Description,0,-1,"Your father's body, stripped, charred and decapitated...you can hardly bear to look.",
are_raidcutscene,git,Creature List/0/FirstName,0,-1,Your Father,
are_raidcutscene,git,Creature List/1/Description,0,-1,"The body of Maria Cormas, Godfroy's mother. She lies with a great slash down her back, obviously struck from behind.",
are_raidcutscene,git,Creature List/1/FirstName,0,-1,Maria Cormas,
are_raidcutscene,git,Creature List/10/Description,0,3101,This dead hobgoblin has been stripped.,
are_raidcutscene,git,Creature List/10/FirstName,0,3100,Hobgoblin Soldier 3,
are_raidcutscene,git,Creature List/11/Description,0,-1,A local of Thunderstone.,
are_raidcutscene,git,Creature List/11/FirstName,0,-1,Bardas Frem,
are_raidcutscene,git,Creature List/12/Description,0,-1,A local of Thunderstone.,
are_raidcutscene,git,Creature List/12/FirstName,0,-1,Dalan Cormas,
are_raidcutscene,git,Creature List/13/Description,0,12677,"These heavy draft animals are considered prized possessions by those farmers that can afford them.  Oxen are well suited to pulling plows and milling grain.  Unfortunately, this one looks as if it's farming days will soon be at an end.",
are_raidcutscene,git,Creature List/14/Description,0,-1,"You have not known Godfroy Cormas long, but he has fast become one of your friends on the new tenant farms in Hullack Forest. Godfroy and his family moved to Hullack Forest together with your father & Jonas, after their farmland in the King's Forest became blighted by ghazneths during the war. 

Godfroy  seems to you to be forgiving in nature, always looking to help others, perhaps as a result of his father's short period as a layman priest of Lathander.
",
are_raidcutscene,git,Creature List/14/FirstName,0,-1,Godfroy,
are_raidcutscene,git,Creature List/14/LastName,0,-1,Cormas,
are_raidcutscene,git,Creature List/15/Description,0,3101,This dead hobgoblin has been stripped.,
are_raidcutscene,git,Creature List/15/FirstName,0,3100,Hobgoblin Soldier 4,
are_raidcutscene,git,Creature List/16/Description,0,3101,This dead hobgoblin has been stripped.,
are_raidcutscene,git,Creature List/16/FirstName,0,3100,Hobgoblin Soldier 5,
are_raidcutscene,git,Creature List/17/Description,0,3101,This dead hobgoblin has been stripped.,
are_raidcutscene,git,Creature List/17/Equip_ItemList/0/DescIdentified,0,-1,A metal helmet.,
are_raidcutscene,git,Creature List/17/Equip_ItemList/0/LocalizedName,0,90531,Metal Helmet,
are_raidcutscene,git,Creature List/17/Equip_ItemList/3/LocalizedName,0,-1,Hobgoblin Cloak,
are_raidcutscene,git,Creature List/17/FirstName,0,3100,Hobgoblin Soldier 6,
are_raidcutscene,git,Creature List/18/Description,0,12415,A dead chicken.,
are_raidcutscene,git,Creature List/19/Description,0,12415,A dead chicken.,
are_raidcutscene,git,Creature List/2/Description,0,-1,"The body of Lena, your brother's wife. Like Jonas, Lena was a canny fighter and her body has been stripped of its arms.",
are_raidcutscene,git,Creature List/2/FirstName,0,-1,Lena,
are_raidcutscene,git,Creature List/20/Description,0,12415,A dead chicken.,
are_raidcutscene,git,Creature List/21/Description,0,12415,A dead chicken.,
are_raidcutscene,git,Creature List/3/Description,0,12427,A dead cow.,
are_raidcutscene,git,Creature List/3/FirstName,0,12428,Cow,
are_raidcutscene,git,Creature List/4/Description,0,12427,Your father's dog.,
are_raidcutscene,git,Creature List/4/FirstName,0,12428,Dog,
are_raidcutscene,git,Creature List/5/Description,0,12427,A dead cow.,
are_raidcutscene,git,Creature List/5/FirstName,0,12428,Cow,
are_raidcutscene,git,Creature List/6/Description,0,12427,A dead cow.,
are_raidcutscene,git,Creature List/6/FirstName,0,12428,Cow,
are_raidcutscene,git,Creature List/7/Description,0,12427,A dead cow.,
are_raidcutscene,git,Creature List/7/FirstName,0,12428,Cow,
are_raidcutscene,git,Creature List/8/Description,0,3101,This dead hobgoblin has been stripped.,
are_raidcutscene,git,Creature List/8/FirstName,0,3100,Hobgoblin Soldier 1,
are_raidcutscene,git,Creature List/9/Description,0,3101,This dead hobgoblin has been stripped.,
are_raidcutscene,git,Creature List/9/FirstName,0,3100,Hobgoblin Soldier 2,
are_raidcutscene,git,Door List/1/Description,0,9078,"Fashioned from rough-hewn wood, this simple door swings on ill-fitting hinges.",
are_raidcutscene,git,Door List/1/LocName,0,5349,Door,
are_raidcutscene,git,Placeable List/1/LocName,0,-1,Bush,
are_raidcutscene,git,Placeable List/10/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/11/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/12/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/13/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/14/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/15/Description,0,66885,"A tree, ready to be chopped.",
are_raidcutscene,git,Placeable List/15/LocName,0,52998,Fallen Tree,
are_raidcutscene,git,Placeable List/16/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/17/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/19/LocName,0,-1,TNO Birch A Sm,
are_raidcutscene,git,Placeable List/20/LocName,0,-1,TNO Birch A Sm,
are_raidcutscene,git,Placeable List/21/LocName,0,-1,TNO Birch A Sm,
are_raidcutscene,git,Placeable List/22/LocName,0,-1,TNO Tree 0 Sm,
are_raidcutscene,git,Placeable List/23/LocName,0,-1,TNO Tree 4 Md,
are_raidcutscene,git,Placeable List/24/LocName,0,-1,TNO Birch A Sm,
are_raidcutscene,git,Placeable List/25/LocName,0,-1,TNO Birch A Sm,
are_raidcutscene,git,Placeable List/26/LocName,0,-1,TNO Birch A Sm,
are_raidcutscene,git,Placeable List/27/LocName,0,-1,TNO Birch A Sm,
are_raidcutscene,git,Placeable List/5/LocName,0,14611,TNO Wagon,
are_raidcutscene,git,Placeable List/7/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/8/LocName,0,52998,Tree Stump,
are_raidcutscene,git,Placeable List/9/LocName,0,52998,Tree Stump,
are_raidcutscene,git,SoundList/0/LocName,0,67830,Ambient Dusk & Dawn,
are_raidcutscene,git,TriggerList/0/LocalizedName,0,14759,Intro Cutscene Trigger: Hobgoblin Raid Act 3,
are_raidcutscene,git,TriggerList/1/LocalizedName,0,14759,Intro Cutscene Trigger: Hobgoblin Raid Act 2,
are_raidcutscene,git,TriggerList/2/LocalizedName,0,14759,Intro Cutscene Trigger: Hobgoblin Raid Act 4,
are_raidcutscene,git,TriggerList/3/LocalizedName,0,14759,StartingCutscene,
are_raidcutscene,git,TriggerList/4/LocalizedName,0,14759,Intro Cutscene Trigger: Hobgoblin Raid Act 1,
are_raidcutscene,git,TriggerList/5/LocalizedName,0,14759,Intro Cutscene Trigger: Hobgoblin Raid Act 3,
are_raidcutscene,git,TriggerList/6/LocalizedName,0,14760,BackupToFarms,
are_raidcutscene,git,TriggerList/7/LocalizedName,0,14759,Safety Trigger Patch 1,
are_raidcutscene,git,WaypointList/19/MapNote,0,-1,To your farm.,
area,git,Creature List/0/Description,0,-1,"Eleanor Fullston, the missing daughter of a woman that you met in the Furniture's Fate.",
area,git,Creature List/0/Equip_ItemList/0/LocalizedName,0,-1,Dress,
area,git,Creature List/0/FirstName,0,-1,Eleanor,
area,git,Creature List/0/LastName,0,-1,Fullston,
area,git,Creature List/1/Description,0,-1,"Latim Bey, a Sembian Merchant.",
area,git,Creature List/1/Equip_ItemList/0/DescIdentified,0,-1,This leather has been darkened with a black dye.,
area,git,Creature List/1/Equip_ItemList/0/LocalizedName,0,12835,Blackened Leather Armor,
area,git,Creature List/1/Equip_ItemList/1/DescIdentified,0,13454,Such rings as these are commonplace as magic items go. Often they are among the first items that skilled jewelers make when they start experimenting with the design of magical jewelry. ,
area,git,Creature List/1/Equip_ItemList/1/Description,0,-1,A simple gold band adorned with an inexpensive gem.,
area,git,Creature List/1/Equip_ItemList/1/LocalizedName,0,13453,Lesser Ring of Protection,
area,git,Creature List/1/FirstName,0,-1,Latim,
area,git,Creature List/1/LastName,0,-1,Bey,
area,git,Door List/0/Description,0,-1,A standard door.,
area,git,Door List/0/LocName,0,5349,Door,
area,git,TriggerList/0/LocalizedName,0,14759,Trigger Latim,
area002,git,Creature List/0/Description,0,-1,"Londro Hardhelm, a dwarf working in the smithy of 'Matron' Palmer. Londro bewails the day he came to Morfen.",
area002,git,Creature List/0/Equip_ItemList/0/LocalizedName,0,12835,Leather Armour,
area002,git,Creature List/0/FirstName,0,-1,Londro,
area002,git,Creature List/0/LastName,0,-1,Hardhelm,
area002,git,Creature List/1/Description,0,-1,"Eladora Palmer, more usually referred to as the 'Matron', has been a smith in the hamlet of Morfen for many years. During the war with the Devil Dragon and since, she has been known to hunt goblins in Hullack Forest.",
area002,git,Creature List/1/Equip_ItemList/0/LocalizedName,0,12835,Matron's Clothes,
area002,git,Creature List/1/FirstName,0,-1,'Matron',
area002,git,Creature List/1/LastName,0,-1,Palmer,
area002,git,Creature List/2/Description,0,-1,"Brondar, a retired War Wizard now living in Morfen.",
area002,git,Creature List/2/Equip_ItemList/0/DescIdentified,0,-1,"These robes bestow upon the wearer the ability to resist cold, as well as some minor spellcasting.",
area002,git,Creature List/2/Equip_ItemList/0/Description,0,-1,A fine set of garments.,
area002,git,Creature List/2/Equip_ItemList/0/LocalizedName,0,-1,Shock Robe,
area002,git,Creature List/2/Equip_ItemList/2/DescIdentified,0,13460,"The Life Protector, a ring that slowly heals the wearer. These rings are well known even in fable and the distinctive coloring makes them easily recognizable, though by no means common.",
area002,git,Creature List/2/Equip_ItemList/2/LocalizedName,0,13459,Life Protector,
area002,git,Creature List/2/Equip_ItemList/3/DescIdentified,0,13454,Supreme Rings of Protection are among some of the most powerful protective jewelry that a person is likely to come across in their lifetime.,
area002,git,Creature List/2/Equip_ItemList/3/Description,0,-1,"A simple band of gold, with a single precious stone held in place solitaire style.",
area002,git,Creature List/2/Equip_ItemList/3/LocalizedName,0,13453,Supreme Ring of Protection,
area002,git,Creature List/2/FirstName,0,-1,Brondar,
area002,git,Door List/0/Description,0,9078,"Fashioned from rough-hewn wood, this simple door swings on ill-fitting hinges.",
area002,git,Door List/1/Description,0,-1,A basic wooden door without ornamentation.,
area002,git,Door List/1/LocName,0,5349,Door,
area002,git,Door List/2/Description,0,-1,A basic wooden door without ornamentation.,
area002,git,Door List/2/LocName,0,5349,Door,
area002,git,Door List/3/Description,0,-1,"A solid hardwood door with a steel frame, and coated with a heavy varnish.",
area002,git,Door List/3/LocName,0,-1,Solid Door,
area002,git,Door List/4/LocName,0,-1,Sturdy Door,
area002,git,Door List/5/Description,0,-1,A basic wooden door without ornamentation.,
area002,git,Door List/5/LocName,0,5349,Door,
area002,git,Door List/6/Description,0,-1,A basic wooden door without ornamentation.,
area002,git,Door List/7/Description,0,-1,A wooden door. ,
area002,git,Door List/7/LocName,0,5349,Door,
area002,git,Placeable List/12/LocName,0,-1,TNO Bench,
area002,git,Placeable List/13/LocName,0,-1,TNO Bench,
area002,git,StoreList/0/LocName,0,-1,Wizard Store,
area002,git,StoreList/0/StoreList/0/ItemList/5/DescIdentified,0,-1,"These robes bestow upon the wearer the ability to resist acid, as well as some minor spellcasting.",
area002,git,StoreList/0/StoreList/0/ItemList/5/Description,0,-1,A fine set of garments.,
area002,git,StoreList/0/StoreList/0/ItemList/5/LocalizedName,0,-1,Acid Robe,
area002,git,StoreList/0/StoreList/0/ItemList/6/DescIdentified,0,-1,"These robes bestow upon the wearer the ability to resist fire, as well as some minor spellcasting.",
area002,git,StoreList/0/StoreList/0/ItemList/6/Description,0,-1,A fine set of garments.,
area002,git,StoreList/0/StoreList/0/ItemList/6/LocalizedName,0,-1,Fire Robe,
area002,git,StoreList/0/StoreList/0/ItemList/7/DescIdentified,0,-1,"These robes bestow upon the wearer the ability to resist cold, as well as some minor spellcasting.",
area002,git,StoreList/0/StoreList/0/ItemList/7/Description,0,-1,A fine set of garments.,
area002,git,StoreList/0/StoreList/0/ItemList/7/LocalizedName,0,-1,Ice Robe,
area002,git,StoreList/0/StoreList/0/ItemList/8/DescIdentified,0,-1,"These robes bestow upon the wearer the ability to resist shock, either electrical or sound, as well as some minor spellcasting.",
area002,git,StoreList/0/StoreList/0/ItemList/8/Description,0,-1,A fine set of garments.,
area002,git,StoreList/0/StoreList/0/ItemList/8/LocalizedName,0,-1,Shock Robe,
area002,git,StoreList/0/StoreList/3/ItemList/1/DescIdentified,0,13454,Such rings as these are commonplace as magic items go. Often they are among the first items that skilled jewelers make when they start experimenting with the design of magical jewelry. ,
area002,git,StoreList/0/StoreList/3/ItemList/1/Description,0,-1,A simple gold band adorned with an inexpensive gem.,
area002,git,StoreList/0/StoreList/3/ItemList/1/LocalizedName,0,13453,Lesser Ring of Protection,
area002,git,StoreList/0/StoreList/3/ItemList/2/DescIdentified,0,-1,These simple wands give light upon a magic command.,
area002,git,StoreList/0/StoreList/3/ItemList/2/Description,0,-1,A simple wand.,
area002,git,StoreList/0/StoreList/3/ItemList/2/LocalizedName,0,-1,Wand of Light,
area002,git,StoreList/0/StoreList/4/ItemList/0/DescIdentified,0,-1,"An empty bottle with a stopper.

<c ÿÿ>Note: Bottles are filled by placing them in a container which has a liquid in it. If drunk from they are consumed.<cÿÿÿ>",
area002,git,StoreList/0/StoreList/4/ItemList/0/LocalizedName,0,13665,Empty Bottle,
area002,git,StoreList/1/LocName,0,-1,Smith Store,
area002,git,StoreList/1/StoreList/0/ItemList/10/LocalizedName,0,12842,Breastplate,
area002,git,StoreList/1/StoreList/0/ItemList/11/LocalizedName,0,184,Chainmail,
area002,git,StoreList/1/StoreList/0/ItemList/12/DescIdentified,0,-1,Finely crafted chainmail that weighs much less than it would appear.,
area002,git,StoreList/1/StoreList/0/ItemList/12/LocalizedName,0,-1,Fine Chainmail,
area002,git,StoreList/1/StoreList/0/ItemList/13/LocalizedName,0,12840,Hide Armor,
area002,git,StoreList/1/StoreList/0/ItemList/14/DescIdentified,0,-1,A short mail hauberk and leather trews.,
area002,git,StoreList/1/StoreList/0/ItemList/14/LocalizedName,0,-1,Leather & Chain Hauberk,
