Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
adris,utc,Description,0,-1,Adris Colebriar has been the leading dealer in the Six Coffers Trading Coster in Thunderstone for many years.,
adris,utc,FirstName,0,-1,Adris Colebriar,
agent,utc,Description,0,-1,"Head of a group of agents posing as Sembian merchants, but in reality spies.",
agent,utc,FirstName,0,-1,Agent,
alice,utc,Description,0,-1,"Alice Broadhand. Only loosely affiliated to the Six Coffers, she is known as a local entrepreneur.",
alice,utc,FirstName,0,-1,Alice Broadhand,
ambusher,utc,FirstName,0,-1,Ambusher,
ambusher001,utc,FirstName,0,-1,Thief,
ambusher002,utc,FirstName,0,-1,Thief,
ambusher003,utc,FirstName,0,-1,Ambusher,
ambusher004,utc,Description,0,-1,A bandit of some sort.,
ambusher004,utc,FirstName,0,-1,Ambusher,
arch_referee,utc,FirstName,0,-1,Referee (change name as desired),
archeropp01,utc,Description,0,-1,"Dress him up as you wish, Ben. This archer will only be in cutscenes and will be deleted when round one of archery contest is over. Note: don't remove his bow with infinite arrows.",
archeropp01,utc,FirstName,0,-1,Archer_Easy [ change the name ],
archeropp02,utc,Description,0,-1,"Dress him up as you wish, Ben. This archer will only be in cutscenes and will be deleted when round one of archery contest is over. Note: don't remove his bow with infinite arrows.",
archeropp02,utc,FirstName,0,-1,Archer_Medium [ change the name ],
archeropp03,utc,Description,0,-1,"Dress him up as you wish, Ben. This archer will only be in cutscenes and will be deleted when round three of archery contest is over. Note: don't remove his bow with infinite arrows.",
archeropp03,utc,FirstName,0,-1,Archer_Hard [ change the name ],
artillerist,utc,Description,0,3101,A half-orc artillerist.,
artillerist,utc,FirstName,0,3100,Artillerist,
artsleep,utc,Description,0,3101,A half-orc artillerist.,
artsleep,utc,FirstName,0,3100,Artillerist,
bandit,utc,Description,0,-1,"Since the war, bandits have become commonplace along the roads of Cormyr, especially in the King's and Hullack Forests.",
bandit,utc,FirstName,0,-1,Bandit,
bandit001,utc,Description,0,-1,"Since the war, bandits have become commonplace along the roads of Cormyr, especially in the King's and Hullack Forests.",
bandit001,utc,FirstName,0,-1,Bandit,
bandit002,utc,Description,0,-1,"Since the war, bandits have become commonplace along the roads of Cormyr, especially in the King's and Hullack Forests.",
