Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
1helmet,uti,DescIdentified,0,-1,A finely crafted helmet imbued with a touch of magic.,
1helmet,uti,Description,0,-1,A fine helmet.,
1helmet,uti,LocalizedName,0,12850,+1 Helmet,
abyssalgloves,uti,DescIdentified,0,-1,"It's not certain whether the fur of these gloves is naturally green, or has been dyed, but whatever it's origin, it is most certainly supernatural and linked in some way to the Undead. While the inside of the gloves is completely safe, touching the outside with anything except extreme caution, causes an intense numbness. On occasion, strong blows with these gloves will release a charge that deals extreme damage to the recipient of the blow.",
abyssalgloves,uti,Description,0,-1,"A pair of gloves, made of green fur. It's not certain whether the fur is naturally green, or has been dyed.",
abyssalgloves,uti,LocalizedName,0,-1,Abyssal Gloves,
acidrobe,uti,DescIdentified,0,-1,"These robes bestow upon the wearer the ability to resist acid, as well as some minor spellcasting.",
acidrobe,uti,Description,0,-1,A fine set of garments.,
acidrobe,uti,LocalizedName,0,-1,Acid Robe,
acidstone,uti,DescIdentified,0,-1,"These strange stones are magic and can be rubbed along a weapon to enhance it's properties. They are particularly coveted by those with crafting skills.

<c ÿÿ>Use: Cast on yourself. The item in your right hand will receive the effect. This item does not work on ranged weapons.<cÿÿÿ>",
acidstone,uti,Description,0,-1,A stone that throbs in the hand.,
acidstone,uti,LocalizedName,0,-1,Acid Stone,
adventurersbad,uti,DescIdentified,0,58570,"This badge, issued by a representative of the Crown, should be worn at all times to denote your legal status as an adventurer. However, if checked, you must also posess a valid Adventurer's Charter.",
adventurersbad,uti,LocalizedName,0,13498,Adventurer's Badge,
adventurerschart,uti,DescIdentified,0,-1,"An Adventurer's Charter with the names of you and your companions on it. This Charter allows you to bear arms and adventure for one year. It used to be obligatory to make sure the names on the Charter match the individuals in a party, but in these difficult times, only the party leader's name is included.",
adventurerschart,uti,LocalizedName,0,-1,Adventurer's Charter,
agentsnote,uti,DescIdentified,0,-1,"This tattered note catches your eye:

""The Master wants you to find any secret ways into Hawklin's castle. If your mission is discovered, you are to find and silence any who know you, then return to Polter's Fort.""

<c ÿÿ>Note: You should pick this note up, but do not need to keep it afterwards.<cÿÿÿ>",
agentsnote,uti,LocalizedName,0,-1,Agent's Note,
amberwand,uti,LocalizedName,0,-1,Amber Wand,
amuletofextraabi,uti,DescIdentified,0,-1,These simple amulets are designed for those with little regard for the law.,
amuletofextraabi,uti,Description,0,-1,An iron colored amulet.,
amuletofextraabi,uti,LocalizedName,0,-1,Amulet of Extra Abilities,
animalfigure,uti,DescIdentified,0,-1,This animal figure can be used to increase strength on two occasions.,
animalfigure,uti,LocalizedName,0,13665,Animal Figure,
archersbracer,uti,DescIdentified,0,-1,An archer never knows when he will find himself in a duel with someone more skilled. These bracers help even the odds.,
archersbracer,uti,Description,0,-1,A armlet with inscriptions around the bands.,
archersbracer,uti,LocalizedName,0,-1,Archer's Bracer,
archersjerkin,uti,DescIdentified,0,-1,"These deceptively plain leather jerkins all came from a single tanner, who used  the blood of eagles in the tanning process. Her fame at making leather jerkins spread, boosted by a secret guild of archers who made their fortunes from winning archery competitions.",
archersjerkin,uti,Description,0,-1,A plain leather jerkin.,
archersjerkin,uti,LocalizedName,0,12835,Archer's Jerkin,
armletofguidance,uti,DescIdentified,0,-1,These armlets were used in the training of monks and acolytes to help them manipulate skills they would later attain for themselves. Many were stolen by those destined never to succeed as monks in their own right.,
armletofguidance,uti,Description,0,-1,A armlet with inscriptions around the bands.,
armletofguidance,uti,LocalizedName,0,-1,Armlet of Guidance,
armoroffrost,uti,DescIdentified,0,-1,"This finely crafted, light mail coat has a pale blue sheen. When the wearer presses their hand against the central ring on the chest, a dagger of ice flies forth. Over time, the mail will recharge as it takes energy from the blows that land on it.

<c ÿÿ>If you use all the charges on the item, it will crumble into dust.<cÿÿÿ>",
armoroffrost,uti,Description,0,-1,"This finely crafted, light mail coat has a pale blue sheen.",
armoroffrost,uti,LocalizedName,0,12842,Armor of Frost,
artillersitarmo,uti,DescIdentified,0,-1,Artillerist armour.,
artillersitarmo,uti,LocalizedName,0,12835,Artillerist Armour,
assaulthorn,uti,DescIdentified,0,62369,"Blowing this horn will order all your troops to try and attack the enemy, committing your reserves.",
assaulthorn,uti,LocalizedName,0,62367,Assault Horn,
attercob,uti,DescIdentified,0,-1,"Attercob, the Spider's Bane.",
attercob,uti,Description,0,-1,A sling inscribed with webbed designs.,
attercob,uti,LocalizedName,0,-1,Attercob,
bagofbeans,uti,DescIdentified,0,62361,"A bag of beans is filled with 5-20 beans. Each of these beans, if carefully removed from the bag, has a weird and wonderful power (or sometimes not so wonderful). Only five beans can be taken from the bag on any given day.",
bagofbeans,uti,Description,0,62360,A bag filled with beans.,
bagofbeans,uti,LocalizedName,0,62359,Bag of Beans,
bagofbones,uti,DescIdentified,0,-1,"This bag of finger bones can be thrown at an enemy, whereupon it will burst open. The bones inside will magically enlarge and assemble themselves into undead skeletons, thereupon attacking their target. The skeletons are incapable of following any command, but will continue to assault the foes of their summoner.",
bagofbones,uti,Description,0,-1,A bag of finger bones or some such.,
bagofbones,uti,LocalizedName,0,-1,Bag of Bones,
bagofsnuff,uti,DescIdentified,0,58560,"A bag of snuff, particularly fashionable at present with the nobility of Cormyr. Taking a sniff causes a fit of sneezing that takes a few seconds to wear off. Adventurers don't find this invention particularly useful.",
bagofsnuff,uti,LocalizedName,0,13488,Bag of Snuff,
bagofwind,uti,DescIdentified,0,90539,"A bag of wind. When opened, a strong gust of wind billows forth, knocking enemies from their feet.",
bagofwind,uti,Description,0,-1,"A loose bag tied off with a string. If anything, it seems to be full of air.",
bagofwind,uti,LocalizedName,0,90538,Bag of Wind,
bandedmail1,uti,LocalizedName,0,12843,Banded Mail,
bandedmailv,uti,DescIdentified,0,-1,"Piecemeal or complete armors of this type offer protection that is equal to banded or splint mail. Some, like this one, have minor enchantments on them, though no maker's mark is upon them.",
bandedmailv,uti,LocalizedName,0,12843,Fine Banded Mail,
bane,uti,DescIdentified,0,-1,"Bane is a black-hafted axe, set with two gold bands. Crafted for the servants of evil, this fearsome axe brings doom upon its victims.",
bane,uti,Description,0,-1,"A black-hafted axe, set with two gold bands.",
bane,uti,LocalizedName,0,-1,Bane,
barbariancloak,uti,DescIdentified,0,66552,These cloaks have earned the nickname 'Barbarian Cloak' because of their peculiar ability to allow the wearer to use brawn at the expense of brains.,
barbariancloak,uti,Description,0,-1,A simple cloak.,
barbariancloak,uti,LocalizedName,0,66551,Barbarian Cloak,
barrelofoil,uti,DescIdentified,0,-1,A barrel of oil. It takes very little intelligence to work out that with a tinderbox you could set this alight...then run for it!,
barrelofoil,uti,LocalizedName,0,-1,Barrel of Oil,
barrowmap,uti,DescIdentified,0,-1,"This map was given to you by the dragon Wyvernvapor. It should help you locate the Wyvern Crown. Unfortunately, the combination of archaic language and unrecognizable landmarks means you cannot work out which barrow holds the Crown. You will need to show this map to Lord Hawklin.",
barrowmap,uti,LocalizedName,0,-1,Barrow Map,
beldinsbelt,uti,DescIdentified,0,-1,"Whenever he was denied something that he desired, Beldin would grasp the buckle of this belt and intimidate his poor victim into submission. After a while, tired of his tactics, merchants began making such belts for themselves. It was not long before blades were drawn and Beldin himself was sent to the grave.",
beldinsbelt,uti,Description,0,-1,A belt of leather.,
beldinsbelt,uti,LocalizedName,0,-1,Beldin's Belt,
beltofabsorbti,uti,DescIdentified,0,-1,"A woven belt with a brass buckle, this belt's true value lies in its ability to deaden blows.",
beltofabsorbti,uti,Description,0,-1,A woven belt with a brass buckle.,
beltofabsorbti,uti,LocalizedName,0,-1,Belt of Absorption,
beltoflight,uti,DescIdentified,0,-1,This leather belt emits light when worn.,
beltoflight,uti,Description,0,-1,A belt of pale leather.,
beltoflight,uti,LocalizedName,0,-1,Belt of Light,
