Resource,ResType,FieldPath,LangID,StrRef,TextEng,Text
module,jrl,Categories/0/EntryList/0/Text,0,-1,"Wounded in battle, you awoke to find Ahmed, your Prince, impaled before you. With his dying breath, he implored you to ""Tell the King that she is dead."" So began your journey in the Witch's Wake.",
module,jrl,Categories/0/Name,0,-1,A Message for the King,
module,jrl,Categories/1/EntryList/0/Text,0,-1,"The BioWare Community Live Team presents:
 
'Neverwinter Nights: Witch's Wake' v0.0
 
Designed & Implemented by:
  Rob Bartel
 
BioWare Community Live Team:
  Diarmid Clarke - Senior External Producer
 
  Rob Bartel - Lead Designer
  Keith Hayward - Technical Designer
 
  Robin Mayne - Web Producer
  Jeff Marvin - Web Developer
  Johnn Four - Web Content Developer
 
  Todd Grenier - Senior Artist
  Colin Walmsley - Artist
 
  Craig Priddle - Director of Marketing
  Tom Ohle - Public Relations Lead
 
  Jay Watamaniuk - Community Manager
  Jason Barlow - Client Care Specialist
 
  Craig Miller - Senior Systems Administrator
  Duleepa Wijayawardhana - Systems Developer
  Dave McGruther - Systems Administrator
 
  Derek French - Technical Producer
  Craig Welburn - Game Programmer
  Owen Borstad - Tools Programmer
 
Additional BioWare Assistance:
  Ray Muzyka - Joint-CEO
  Greg Zeschuk - Joint-CEO
 
  Jonathan Epp - Quality Assurance Lead
  Bruce Venne - Quality Assurance
 
  Richard Iwaniuk - Director of Finance
  Robert Kallir - Business Advisor
 
  Shauna Perry - Audio Producer
 
Additional Audio:
  Caroline Livingstone - Voice Director
 
  April Banigan - Narrator
 
  David John - Music
 
Voices Recorded at
  Blackman Productions, Inc.

Atari:
  John Hight - Executive Producer 
 
  Dorian Richard - Producer 
  Chuck Nunez - QA Manager
  Jason Cordero - Supervisor
  Kendrick Chan - Lead Tester
  Jeff Loney - Assistant Lead Tester

  Vince McDonnell - Tester
  Robert Garcia - Tester
  Kimo Pamintuan - Tester
 
Special Thanks to
  Rich Redman
  Ed Stark
  Peter Archer
  Ellen Guilfoyle",
module,jrl,Categories/1/Name,0,-1,Credits,
module,jrl,Categories/10/EntryList/0/Text,0,-1,"The Witch's Wake series supports a wide variety of custom subraces. To designate your character as one of these subraces, restart the module and type the subrace name into your character's subrace field during character creation. Note that the bonuses and penalties outlined below are applied on top of any existing racial modifiers. Also, any skill bonuses require you to gain one point in that skill before the bonus ranks are made available. Some of the Half-Elven subraces for the Witch's Wake series are as follows:

HALF-ELF: TAINTED
   Considered sullen and devious by some, resourceful and far-thinking by others, few seem to agree on the nature and origins of the Tainted. Given the aura of red light that seems to follow them, some argue that they must be devilspawn or agents of Stygia. More rational voices, however, insist that they must be lingering vestiges from the time of the firstmen, much like their elemental brethren, the Touched.
   Favored Class: Wizard
   Properties:
      +1 Str
      -2 Con
      +2 Int
      -2 Cha
      +2 AC vs Good
      25% Immune: Negative Energy
      25% Vulnerable: Positive Energy
      10% Vulnerable: Cold
      Light: Dim (Red)

HALF-ELF: WATER-TOUCHED
   Mysterious, enduring, and mercurial, it is said the Water-Touched are distant descendents of the firstmen, born only among those of human ancestry. Such births are rare, often skipping many generations, but they are always seen as signs of great import. Some societies treat the Touched with holy reverence while others consider them beasts to be hunted and feared. Whatever the case, they are almost always set apart from the rest of their kith and kin.
   Favored Class: Paladin
   Properties:
      -2 Dex
      +2 Con
      -2 Int
      +2 Cha
      +2 AC vs Chaos
      10% Immune: Acid
      10% Immune: Fire
      25% Vulnerable: Cold",
module,jrl,Categories/10/Name,0,-1,Subraces: Half-Elves (3),
module,jrl,Categories/11/EntryList/0/Text,0,-1,"The Witch's Wake series supports a wide variety of custom subraces. To designate your character as one of these subraces, restart the module and type the subrace name into your character's subrace field during character creation. Note that the bonuses and penalties outlined below are applied on top of any existing racial modifiers. Also, any skill bonuses require you to gain one point in that skill before the bonus ranks are made available. The Halfling subraces for the Witch's Wake series are as follows:

HALFLING: FERAL
   Wild and savage, these forest-dwelling Halflings are fiercely territorial, harassing passing travelers and the Sylvan Elves alike (although steps are being taken towards a uneasy truce with the latter). Though no match for their Imperial brethren in the open field, Feral Halflings have successfully managed to hem in the Empire's western expansion despite numerous campaigns to break them. 
   Favored Class: Druid
   Properties:
      +2 Dex
      -2 Int
      +2 Wis
      -2 Cha
      +2 AC vs Law
      +1 AC vs Neutral
      -1 Natural AC
      10% Immune: Cold
      10% Immune: Fire
      10% Vulnerable: Slashing
      Tracking
      +4 Animal Empathy

HALFLING: IMPERIAL
   Halflings' small stature often belies the vastness of their precious Empire and the scope of their ambition. Every Imperial Halfling is trained in the arts of war from childhood and countless crusades against as many enemies have hardened them into a hard and unforgiving people. Disciplined and well-led, they make valued allies and intractable foes. 
   Favored Class: Fighter
   Properties:
      +4 Str
      -4 Dex
      +2 Con
      -2 Int
      -2 Wis
      +2 AC vs Chaos
      +1 AC vs Neutral
      -1 Deflection AC
      Martial Weapon Proficiency
      10% Immune: Bludgeoning
      10% Immune: Piercing
      10% Immune: Slashing
      25% Vulnerable: Magical Damage",
module,jrl,Categories/11/Name,0,-1,Subraces: Halflings,
module,jrl,Categories/12/EntryList/0/Text,0,-1,"The Witch's Wake series supports a wide variety of custom subraces. To designate your character as one of these subraces, restart the module and type the subrace name into your character's subrace field during character creation. Note that the bonuses and penalties outlined below are applied on top of any existing racial modifiers. Also, any skill bonuses require you to gain one point in that skill before the bonus ranks are made available. Some of the Half-Orc subraces for the Witch's Wake series are as follows:

HALF-ORC: EARTH-TOUCHED
   Stalwart, loyal, and wise, it is said the Earth-Touched are distant descendents of the firstmen, born only among those of human ancestry. Such births are rare, often skipping many generations, but they are always seen as signs of great import. Some societies treat the Touched with holy reverence while others consider them beasts to be hunted and feared. Whatever the case, they are almost always set apart from the rest of their kith and kin.
   Favored Class: Cleric
   Properties:
      +2 Str
      -2 Dex
      +2 Wis
      -2 Cha
      +2 AC vs Chaos
      10% Immune: Cold
      10% Immune: Electricity
      25% Vulnerable: Sonic

HALF-ORC: FIRE-TOUCHED
   Quick, cunning, and arrogant, it is said the Fire-Touched are distant descendents of the firstmen, born only among those of human ancestry. Such births are rare, often skipping many generations, but they are always seen as signs of great import. Some societies treat the Touched with holy reverence while others consider them beasts to be hunted and feared. Whatever the case, they are almost always set apart from the rest of their kith and kin.
   Favored Class: Monk
   Properties:
      +2 Dex
      -2 Con
      +2 Int
      -2 Cha
      +2 AC vs Law
      10% Immune: Fire
      10% Immune: Electrical
      25% Vulnerable: Cold

HALF-ORC: PEREGRINE
   Surrounded by a nimbus of light wherever they go, Peregrines are often considered to be somehow either Angelic in origin or Angelic by nature. All the same, the jails of the land are often full of them, each one imprisoned for some crime of treason or passion or despair. It is said they love too fully, too impulsively, rarely able to see the wider consequences of their actions.
   Favored Class: Cleric
   Properties:
      -2 Con
      -2 Int
      +2 Wis
      +2 Cha
      +2 AC vs Evil
      25% Immune: Positive Energy
      25% Vulnerable: Negative Energy
      10% Vulnerable: Fire
      Light: Dim (White)",
module,jrl,Categories/12/Name,0,-1,Subraces: Half-Orcs (1),
