StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
32839,Dialog,AARCHE,Greetings my <lord/lady>. I was just getting packed up in the hopes of leaving soon. How may I assist you?,"안녕하십니까, 모험가님. 곧 떠날 수 있기를 바라며 짐을 싸던 참이었습니다. 무엇을 도와드릴까요?",M2Q2AARCHE,,,,vs_nshopkm3_050,0,0
32840,Dialog,AARCHE,Hello. I was just packing up in the hopes of leaving soon. What can I do for you?,안녕하세요. 곧 떠나려고 짐을 싸던 중이었습니다. 무엇을 도와드릴까요?,M2Q2AARCHE,,,,vs_nshopkm3_051,0,0
32841,Dialog,AARCHE,"What do you want? I was just packing up in the hopes of leaving soon, so don't waste my time.",무슨 일이십니까? 곧 떠날 준비 중입니다. 부디 제 시간을 낭비하게 하지는 말아주세요.,M2Q2AARCHE,,,,vs_nshopkm3_052,0,0
32842,Dialog,AARCHE,Farewell. I hope we can all leave here soon.,안녕히 가세요. 우리 모두가 곧 여기서 떠날 수 있길 바랍니다.,M2Q2AARCHE,,,,,0,0
32843,Dialog,AARCHE,All right. Farewell.,알겠습니다. 안녕히 가세요.,M2Q2AARCHE,,,,,0,0
32844,Dialog,AARCHE,Don't bother me anymore.,이제 그만 귀찮게 해주세요.,M2Q2AARCHE,,,,,0,0
32845,Dialog,AARCHE,I will do my best to be helpful.,최대한 도움이 되도록 하겠습니다.,M2Q2AARCHE,,,,,0,0
32846,Dialog,AARCHE,I guess. What do you want to know?,글쎄요. 무엇을 알고 싶으신가요?,M2Q2AARCHE,,,,,0,0
32847,Dialog,AARCHE,"Well, we were on an archeological expedition with Jax, but since the trolls attacked we have mostly cowered around here.","음, 우리는 잭스와 함께 고고학 조사에 나섰습니다. 하지만 트롤에게 습격당한 뒤로는 대부분 이 근처에서 숨죽여 지내고 있죠.",M2Q2AARCHE,,,,,0,0
32848,Dialog,AARCHE,I guess you could say Jax is. But then again he isn't.,잭스라고 할 수도 있겠죠. 하지만 꼭 그렇다고 하기도 어렵습니다.,M2Q2AARCHE,,,,,0,0
32849,Dialog,AARCHE,"Sorry, I just mean that ever since we were attacked by the trolls, nobody really listens to anybody.","죄송해요. 제 말은, 트롤에게 습격당한 이후로는 서로 누구 말도 제대로 듣지 않는다는 뜻입니다.",M2Q2AARCHE,,,,,0,0
32850,Dialog,AARCHE,"I am an archeologist, working with Jax. At least I was until the expedition was halted by the trolls.",저는 잭스와 함께 일하던 고고학자입니다. 적어도 트롤 때문에 탐사가 중단되기 전까지는 그랬죠.,M2Q2AARCHE,,,,,0,0
32851,Dialog,AARCHE,"We were exploring the cave systems in this region, when a large group of trolls jumped us. Several of my closest friends died in those caves. I just want to go back to Waterdeep.","우리는 이 지역의 동굴을 탐사하던 중이었고, 그때 트롤 무리의 습격을 받았습니다. 많은 동료들이 그 동굴에서 죽었어요. 저는 그냥 워터딥으로 돌아가고 싶습니다.",M2Q2AARCHE,,,,,0,0
