StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
39291,Dialog,AARIN,"Hail, friend. You were instrumental in ridding Neverwinter of the Wailing Death, I understand. Allow me to congratulate you on a job well done.","만나서 반갑습니다, 친구여. 네버윈터에서 큰 공을 세우셨다고 들었습니다. 멋진 일을 해내셨군요-축하드립니다.",M2Q6A02AARIN,m2q1aarin001,,,vs_ngendm_227,0,0
39292,Dialog,AARIN,"You have shown yourself to be possessed of remarkable courage and resourcefulness. That is fortuitous, for both these qualities will be needed if you are to complete your mission.",당신은 놀라운 용기와 자질을 보여 주셨습니다. 그 자질은 당신이 임무를 완수하는 데 반드시 필요할 것입니다.,M2Q6A02AARIN,,,,vs_ngendm_228,0,0
39293,Dialog,AARIN,"But that is not how we should begin. I am known as Aarin Gend, and I have served our Lord Nasher for some time. Hopefully I may be of similar use to you now.",그렇게 시작하는 건 옳지 않겠군요. 저는 아린 겐드라고 합니다. 한동안 네버윈터를 위해 물밑에서 일해 왔지요. 지금도 당신께 비슷한 도움을 드릴 수 있기를 바랍니다.,M2Q6A02AARIN,,,,vs_ngendm_229,0,0
39294,Dialog,AARIN,"You have not spoken to Aribeth, then? Perhaps it would be better if you did so, and then returned to me, for I have much that I need to tell you of.","아직 아리베스와 이야기를 나누지 않으셨습니까? 먼저 그녀를 찾아가시지요. 저는 당신께 전해야 할 말이 많으니, 그 뒤에 다시 돌아오십시오.",M2Q6A02AARIN,,,,vs_ngendm_292,0,0
39295,Dialog,AARIN,"Indeed. I know who you are. There are many who whisper your name right now, and it is my business to listen to them all.",물론입니다. 당신이 누군지 알고 있습니다. 지금 이곳저곳에서 사람들이 당신의 이름을 속삭이고 있으니까요. 그런 소문을 모으는 게 제 일입니다.,M2Q6A02AARIN,,,,vs_ngendm_291,0,0
39296,Dialog,AARIN,"My place lies in the shadows. I have many eyes and ears throughout the northern lands, and it is my place to inform Lord Nasher where the vipers lay in wait.",저는 그림자 속에서 움직입니다. 네버윈터 곳곳에 제 눈과 귀가 퍼져 있지요. 독사들이 어디 숨어 있는지 나셰르 영주님께 알리는 것이 제 역할입니다.,M2Q6A02AARIN,,,,vs_ngendm_230,0,0
39297,Dialog,AARIN,"If only I had foreseen the actions of this cult, I could have prevented the disaster. But these men move skillfully, out of my sight and hearing.",이 사교의 움직임을 미리 꿰뚫어 보았다면 네버윈터의 많은 고통을 막을 수 있었을 겁니다. 하지만 그들은 제 시야와 청각을 교묘히 피해 지나갔지요.,M2Q6A02AARIN,,,,vs_ngendm_231,0,0
39298,Dialog,AARIN,"Instead of recriminating myself for my failure, I must do what I can to repair the damage... and that is to offer what information I have to you so that you may find where this new nest of vipers hides.",자책만 하고 있을 수는 없습니다. 제가 알아낸 모든 것을 당신께 전하겠습니다. 새로 둥지를 튼 독사들이 어디 숨었는지 찾을 수 있도록요.,M2Q6A02AARIN,,,,vs_ngendm_232,0,0
39299,Dialog,AARIN,"You have spoken to the paladin, then? Excellent. It is for her to pass on the commands of Lord Nasher and not I.",성기사와 이미 이야기를 나누셨군요? 훌륭합니다. 나셰르 영주님의 명령을 전하는 역할은 제게 아니라 그녀에게 맡겨져 있습니다.,M2Q6A02AARIN,,,,vs_ngendm_293,0,0
39300,Dialog,AARIN,"I have much to pass onto you, friend... but first you should speak to our lady Aribeth. Once you have done so, return to me.","드릴 말씀이 많습니다, 친구여. 하지만 먼저 아리베스 경과 상의하십시오. 그다음에 다시 제게 오세요.",M2Q6A02AARIN,,,,vs_ngendm_290,0,0
39301,Dialog,AARIN,So impatient to get on with business? You are obviously a <man/woman> of action and are a courageous warrior. Only one such person is needed to change the world.,서둘러 일을 시작하고 싶으신 모양이군요. 분명 행동파이시고... 용감한 전사이십니다. 세상을 바꾸는 데 필요한 건 그런 사람 단 한 명뿐일 때도 있지요.,M2Q6A02AARIN,,,,vs_ngendm_294,0,0
39302,Dialog,AARIN,"Aribeth has informed you of where you must search, yes? She has told you of how you may root out these fiends?",아리베스가 수색해야 할 곳을 알려 주었지요? 그들을 어떻게 뿌리뽑을지 또한 들으셨습니까?,M2Q6A02AARIN,,,,vs_ngendm_233,0,0
39303,Dialog,AARIN,"Many of Lord Nasher's forces make haste to restore order to the city we have left. Neverwinter's chaos is obvious, and there are many predators in the hungry north.","나셰르 영주님의 군대 다수가 도시의 질서를 되찾으려 서두르고 있습니다. 혼란은 명백하고, 북녘의 굶주린 대지는 약탈자들로 들끓고 있지요.",M2Q6A02AARIN,,,,vs_ngendm_287,0,0
39304,Dialog,AARIN,"It falls to us, then... to you... to track down the location of the cult which was responsible for starting this disease in the first place.","그러니 결국 임무는 우리-아니, 당신에게 떨어졌습니다. 애초에 이 역병을 퍼뜨린 사교의 근거지를 추적해 찾아내는 일 말입니다.",M2Q6A02AARIN,,,,vs_ngendm_288,0,0
39305,Dialog,AARIN,"We know precious little of them. We do not know who they are, where they are based, why they began the plague... or what other devilry they have yet planned for us.","그들에 대해 아는 바는 극히 적습니다. 누구인지, 왜 이 끔찍한 역병을 퍼뜨렸는지, 또 어떤 사악한 책략을 더 꾸미고 있는지조차 말입니다.",M2Q6A02AARIN,,,,vs_ngendm_289,0,0
39306,Dialog,AARIN,"Unearthing the cult will not be a simple task. What few whispers I have collected, however, have allowed me to narrow your search to this region.",사교를 뿌리 뽑는 일은 결코 쉽지 않습니다. 다만 이 근방으로 수색 범위를 좁힐 만한 속삭임 몇 가지는 포착했습니다.,M2Q6A02AARIN,,,,vs_ngendm_234,0,0
39307,Dialog,AARIN,"It is vital that the cult's exact location be found, and that we are certain any leads we discover are not attempts at deception. Aribeth will not be satisfied until we find at least two separate leads that point to the same locale... that is your task.",사교의 정확한 위치를 반드시 밝혀야 하고 우리가 발견한 단서가 속임수가 아닌지 확인해야 합니다. 아리베스 경은 같은 지역을 가리키는 최소 두 개의 확실한 단서를 찾기 전까진 만족하지 않을 겁니다... 그것을 추적하는 일이 당신의 임무입니다.,M2Q6A02AARIN,,,,vs_ngendm_235,0,0
39308,Dialog,AARIN,I do know of one possible lead for you. There has been strange news regarding a series of caves that lie north of Port Llast. Investigation may reveal the cult to be hidden there.,당신을 위한 단서 하나는 알고 있습니다. 라스트 항구 일대에서 수상한 움직임이 있었습니다. 조사해 보면 사교가 그곳에 숨어 있다는 사실이 드러날지도 모릅니다.,M2Q6A02AARIN,,,,vs_ngendm_236,0,0
39309,Dialog,AARIN,"I suggest, however, that looking into the caves first would still be your wisest choice.",그래도 먼저 동굴을 살피는 것이 여전히 가장 현명한 선택이라고 제안하겠습니다.,M2Q6A02AARIN,m2q6a0aarin07,,,vs_ngendm_237,0,0
39310,Dialog,AARIN,"Impatient for the kill, are we? Just be wary, friend. Running forward too fast is a good way to find a cliff.","서둘러 베어 넘기고 싶은가요? 경계하십시오, 친구여. 너무 앞서 달리다 보면 낭떠러지를 만나기 마련입니다.",M2Q6A02AARIN,,,,vs_ngendm_286,0,0
39311,Dialog,AARIN,"Have you more questions, friend? I shall aid you all I can.","더 물을 것이 있습니까, 친구여? 할 수 있는 한 모두 돕겠습니다.",M2Q6A02AARIN,m2q1aarin001,,,vs_ngendm_300,0,0
