StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
39758,Dialog,ABETH,"It is good to see you here in Port Llast, my friend. If we are to have any luck in tracking down this strange cult behind the plague, it will be with your aid I am sure.","라스트 항구에서 이렇게 다시 뵙게 되어 반갑습니다, 친구여. 도시를 괴롭힌 그 기이한 사교를 무너뜨리려면... 당신의 도움이 반드시 필요합니다.",M2Q6A02ABETH,m2q1aribeth001,,,vs_naribetf_292,0,0
39759,Dialog,ABETH,"I do not know how much you have been told about Lord Nasher's orders. I shall help you understand whatever I can, certainly.",나셰르 영주님의 명령에 대해 얼마나 들으셨는지 모르겠군요. 제가 알고 있는 한에서라면 무엇이든 설명해 드리겠습니다.,M2Q6A02ABETH,,,,vs_naribetf_293,0,0
39760,Dialog,ABETH,"Perhaps allow me to explain exactly what Lord Nasher wishes of us. Yes, perhaps that would make our path more plain.",아마도 나셰르 영주님의 뜻을 제가 정확히 풀어 설명드리는 편이 좋겠군요. 그 편이 우리가 가야 할 길을 분명히 해 줄 겁니다.,M2Q6A02ABETH,,,,vs_naribetf_473,0,0
39761,Dialog,ABETH,"You know, of course, that Desther and... and Fenthick... were associated with some manner of religious cult that was behind the Wailing Death in the city.","물론 아시겠지만, 데스터와... 그리고 펜딕... 그들은 도시에서 '울부짖는 역병'을 퍼뜨린 종교 사교의 일원이었습니다.",M2Q6A02ABETH,,,,vs_naribetf_294,0,0
39762,Dialog,ABETH,"We know so little about this cult... and it would be foolish in the extreme to suppose that simply because their activities in Neverwinter have been stopped, that they have been defeated.",우리는 그 사교에 대해 아는 것이 너무 적습니다... 네버윈터의 전염이 진정되었다고 해서 그들이 패배했다고 보는 것은 어리석지요.,M2Q6A02ABETH,,,,vs_naribetf_295,0,0
39763,Dialog,ABETH,"Lord Nasher commands that we track down the headquarters of this cult, and discover their plans... and stop them, before another atrocity is committed.","나셰르 영주님의 명은 하나-그들의 본거지를 추적해 찾아내고, 계획을 밝혀내며... 또 다른 참사가 벌어지기 전에 그들을 막으라는 것입니다.",M2Q6A02ABETH,m2q6a0abeth03,,,vs_naribetf_296,0,0
39764,Dialog,ABETH,"Aarin Gend, Lord Nasher's spymaster, is here in Port Llast to help us do this... and has brought reports of many strange activities throughout the northern lands.",아린 겐드-나셰르 영주님의 첩보장이-지금 라스트 항구에 와 있습니다. 북부 전역에서 목격된 수상한 움직임에 대한 보고가 쏟아지고 있지요.,M2Q6A02ABETH,,,,vs_naribetf_297,0,0
39765,Dialog,ABETH,"It is possible that agents of the cult may be behind some of these activities. If so, we may be able to find them and discover where their base is located. Your aid in this, <FirstName>, will prove invaluable.","그들 가운데 일부는 아마 그 사교의 손길일지도 모릅니다. <FirstName>, 이 일에서 당신의 도움이 무엇보다 소중할 겁니다.",M2Q6A02ABETH,,,,vs_naribetf_298,0,0
39766,Dialog,ABETH,"How I feel is... unimportant, <FirstName>, next to the mission we have been given. Please, allow me to explain what is required of us.","제 감정은... 중요치 않습니다, <FirstName>. 내게 주어진 임무에 비하면요. 부디 우리가 해야 할 일을 설명드리게 해 주세요.",M2Q6A02ABETH,,,,vs_naribetf_472,0,0
39767,Dialog,ABETH,"Of course. Ask what you will of me, <FirstName>.","물론입니다. 무엇이든 물어보십시오, <FirstName>.",M2Q6A02ABETH,,,,vs_naribetf_299,0,0
39768,Dialog,ABETH,"I am here to see that Lord Nasher's commands are carried out, while Aarin continues to use his network of spies to gain more information beyond Neverwinter's walls.",저는 나셰르 영주님의 명이 차질 없이 집행되도록 하는 역할을 맡았습니다... 네버윈터 성벽 밖의 정황은 아린의 정보망이 계속 파악하고 있습니다.,M2Q6A02ABETH,,,,vs_naribetf_300,0,0
39769,Dialog,ABETH,"Admittedly, my own role seems sparse. Part of me thinks that my Lord Nasher simply wishes someone he trusts in this role... while another believes he does not wish to be reminded of Fenthick or my pain.",솔직히 제 역할은 많지 않아 보일지도 모릅니다. 제 한 부분은... 펜딕과 제 아픔을 상기시키고 싶지 않으셔서 나셰르 영주님께서 저를 멀리 두신다고 느끼기도 합니다.,M2Q6A02ABETH,,,,vs_naribetf_301,0,0
39770,Dialog,ABETH,"Regardless, we will do all that we can to help you, <FirstName>. Do not think your efforts go unrecognized.","그럼에도 우리는 할 수 있는 모든 것을 다할 것입니다, <FirstName>. 당신의 노력이 헛되이 여겨질 거라 생각하지 마십시오.",M2Q6A02ABETH,,,,vs_naribetf_302,0,0
39771,Dialog,ABETH,Aarin has several ideas on places where the cult may be hidden. Currently he is working on finding a way into the city of Luskan... its gates have been sealed since the plague in Neverwinter began.,아린은 사교가 숨었을 법한 장소들에 대해 여러 가설을 세워 두었습니다... 러스칸은 네버윈터에 역병이 창궐한 이래 성문을 굳게 닫고 있지요.,M2Q6A02ABETH,,,,vs_naribetf_303,0,0
39772,Dialog,ABETH,"I suggest you talk to Aarin about where these places might be. Search for any clues about the rise of ancient cults or odd activities. Once a way into Luskan is found, you can search there, as well.","그 장소들에 관해서는 아린과 상의하시길 권합니다... 러스칸으로 들어갈 방도가 마련되면, 그곳 또한 수색할 수 있을 것입니다.",M2Q6A02ABETH,,,,vs_naribetf_304,0,0
39773,Dialog,ABETH,"If we are fortunate, you will perhaps encounter some part of the cult and gain information as to who they are and where they are based.","운이 따른다면, 그들의 일부 세력을 어딘가에서 마주치게 될지도 모릅니다... 그러면 그들이 누구이며 근거지가 어디인지 단서를 얻을 수 있겠지요.",M2Q6A02ABETH,,,,vs_naribetf_305,0,0
39774,Dialog,ABETH,"Any information you discover should be brought to Aarin and myself. Once we know more about the cult, Lord Nasher can decide what to do next.","새로 알아낸 정보는 모두 아린과 나셰르 영주님께 보고해야 합니다... 사교에 대해 더 많이 알게 될수록, 나셰르 영주님께서 다음 수를 정하실 수 있습니다.",M2Q6A02ABETH,,,,vs_naribetf_306,0,0
39775,Dialog,ABETH,"The search does continue within the city, <FirstName>. Indeed, Lord Nasher is having Neverwinter scoured thoroughly for more traces of the cult.","수색은 도시 안에서도 계속되고 있습니다, <FirstName>. 사실 아린은 네버윈터 전역을 훑어 사교의 흔적을 찾고 있지요.",M2Q6A02ABETH,,,,vs_naribetf_307,0,0
39776,Dialog,ABETH,"It is his feeling, however, that the true force of the cult lies outside of Neverwinter... and that it is your efforts here that will prove the most valuable.",하지만 그의 생각으로는 사교의 진정한 힘은 성 밖에 있는 듯합니다... 그러니 이곳에서 벌이는 당신의 노력이 가장 값질 것이라고 믿고 있습니다.,M2Q6A02ABETH,,,,vs_naribetf_308,0,0
39777,Dialog,ABETH,"Desther appears to have been their link in Neverwinter, as you discovered, but of the cult itself we have been able to ascertain little.",당신이 보셨듯 데스터는 이곳 네버윈터에서 그들의 연결고리였던 것 같습니다... 하지만 사교 자체에 대해서는 아직 알아낸 것이 거의 없습니다.,M2Q6A02ABETH,,,,vs_naribetf_309,0,0
39778,Dialog,ABETH,"Aarin is positive that its true heart lies outside of Neverwinter, and that it has yet to show us the extent of its strength.",아린은 그들의 심장부가 네버윈터 밖에 있다고 확신합니다... 또한 그들의 진정한 세력은 아직 우리에게 모습을 드러내지 않았다고도요.,M2Q6A02ABETH,,,,vs_naribetf_310,0,0
39779,Dialog,ABETH,"The task ahead of us will, no doubt, be most dangerous... but that makes it all the more necessary that we do not remain ignorant of what this cult is and what it intends.",앞으로의 임무는 분명 가장 위험할 것입니다... 하지만 우리는 이 사교가 무엇이며 무엇을 꾀하는지 무지한 채로 남아 있을 수는 없습니다.,M2Q6A02ABETH,,,,vs_naribetf_311,0,0
39780,Dialog,ABETH,Certainly.,물론입니다.,M2Q6A02ABETH,,,,vs_naribetf_312,0,0
39781,Dialog,ABETH,I would suggest you speak to Aarin Gend and find out where to focus your efforts in finding evidence of the cult.,사교의 증거를 어디에서 찾아야 할지-아린 겐드와 상의해 조사 초점을 정하시길 권합니다.,M2Q6A02ABETH,,,,vs_naribetf_467,0,0
39782,Dialog,ABETH," I wish there were better leads we could send you on, <FirstName>, to track down the cult... but Aarin's information is the best we have.","더 좋은 단서를 드릴 수 있으면 좋겠지만, <FirstName>... 사교의 자취를 좇는 데 아린의 정보가 그나마 최선입니다.",M2Q6A02ABETH,,,,vs_naribetf_464,0,0
39783,Dialog,ABETH,All I can suggest is that you visit the locales Aarin has mentioned and keep your ears open for unusual activities.,"제가 드릴 조언은-아린이 언급한 장소들을 찾아가 보시고, 수상한 움직임이 없는지 귀를 기울이라는 것입니다.",M2Q6A02ABETH,,,,vs_naribetf_465,0,0
39784,Dialog,ABETH,"Not everything that is unusual will be the doing of this cult, obviously... but they are out there, and active, so there is always a good chance you will discover them if you are alert.","물론 모든 '수상한' 일이 사교의 소행인 것은 아닙니다... 하지만 그들은 어딘가에서 활동 중이니, 경계한다면 발견할 가능성도 그만큼 큽니다.",M2Q6A02ABETH,,,,vs_naribetf_466,0,0
39785,Dialog,ABETH,"Your information tells us that the cult likely lies within the Host Tower in Luskan. You need to find a way to gain entrance into Luskan and into the tower, itself.",현재까지의 정황으로는 사교의 거점이 러스칸의 중심탑 안에 있을 가능성이 큽니다... 러스칸과 그 탑으로 들어갈 방도를 찾아야 합니다.,M2Q6A02ABETH,,,,vs_naribetf_462,0,0
39786,Dialog,ABETH,"Aarin should be able to help you toward that end. We will both meet you in the city, afterwards, to help you further.","그 부분은 아린이 도와드릴 겁니다. 우리가 도시로 들어가면, 저와 아린 모두 그곳에서 당신을 도울 것입니다.",M2Q6A02ABETH,,,,vs_naribetf_463,0,0
39787,Dialog,ABETH,"Then I wish you luck, <FirstName>.","행운을 빕니다, <FirstName>.",M2Q6A02ABETH,,,,vs_naribetf_471,0,0
39788,Dialog,ABETH,As you wish.,원하시는 대로 하십시오.,M2Q6A02ABETH,,,,vs_naribetf_468,0,0
39789,Dialog,ABETH,"Go with Tyr's blessing, then, <FirstName>... and be safe.","티르의 가호가 함께하길, <FirstName>... 그리고 몸조심하십시오.",M2Q6A02ABETH,,,,vs_naribetf_469,0,0
39790,Dialog,ABETH,"Then I wish you well, my friend. Return to me as soon as you can.","그럼 부디 행운을, 친구여. 가능한 한 빨리 제게 돌아오십시오.",M2Q6A02ABETH,,,,vs_naribetf_470,0,0
39794,Dialog,ABETH,"You will need to get into Luskan and enter the Host Tower, itself. Speak to Aarin... hopefully he will have some ideas on how you can go about this. ",러스칸에 잠입해 중심탑으로 들어가야 합니다... 아린과 상의하세요. 아마 그가 방안을 제시할 것입니다.,M2Q6A02ABETH,,,,vs_naribetf_316,0,0
39795,Dialog,ABETH,"Without a doubt. You have faced tasks of similar danger, however, and excelled... and will no doubt face much worse before this threat is ended.",의심의 여지는 없습니다. 당신은 이미 이와 비슷한 위험을 겪어 왔고... 이 위협이 끝나기 전엔 더 큰 위험도 맞닥뜨릴 테지요.,M2Q6A02ABETH,,,,vs_naribetf_317,0,0
39796,Dialog,ABETH,"You did agree to aid Lord Nasher, did you not? Whatever your reasons, I find it hard to believe that you expected this to be very simple.",나셰르 영주님을 돕겠다고 약속하셨지요? 어떤 생각을 하셨든-이 일이 아주 간단하리라 기대하진 않으셨을 겁니다.,M2Q6A02ABETH,,,,vs_naribetf_318,0,0
39797,Dialog,ABETH,"Both Aarin and I will join you in Luskan, of course. Aarin will be there to help you enter the tower, <FirstName>. As for me, I have... other plans.","아린과 저는 물론 러스칸에서 당신과 합류할 것입니다. 아린은... 당신이 탑에 들어갈 방법을 찾을 것입니다, <FirstName>. 저는... 다른 계획이 있습니다.",M2Q6A02ABETH,,,,vs_naribetf_319,0,0
39798,Dialog,ABETH,"I am sorry, but I... cannot tell you, <FirstName>. Please do not ask me to.","미안합니다만... 말씀드릴 수 없습니다, <FirstName>. 더는 묻지 말아 주세요.",M2Q6A02ABETH,,,,vs_naribetf_321,0,0
39799,Dialog,ABETH,"My plans are my own. You have your own mission to worry about, <FirstName>.","제 계획은 제 일입니다. <FirstName>, 당신은 당신의 임무에 집중해 주십시오.",M2Q6A02ABETH,,,,vs_naribetf_322,0,0
39800,Dialog,ABETH,"I wish I could tell you, <FirstName>, but I cannot. I have... little choice in the matter. Please just... do as you are asked to.","말해 드리고 싶지만... 할 수 없습니다, <FirstName>. 제겐... 선택의 여지가 많지 않습니다. 부디... 부탁드린 대로만 해 주세요.",M2Q6A02ABETH,,,,vs_naribetf_320,0,0
39801,Dialog,ABETH,"Speak to Aarin Gend, as I said. With luck, he will have a plan to not only get you into the city but into the tower, itself.","말씀드렸듯 아린 겐드와 상의하세요. 운이 따른다면, 도시뿐 아니라 탑 안으로까지 들어갈 계획을 마련했을 겁니다.",M2Q6A02ABETH,,,,vs_naribetf_323,0,0
39802,Dialog,ABETH,"Very well. Go and speak to Aarin, then. May... Tyr watch your path, <FirstName>. May Tyr watch over us all.","좋습니다. 그럼 아린과 이야기하세요. 티르께서... 그대의 길을 지켜 주시길, <FirstName>. 우리 모두를 지켜 주시길.",M2Q6A02ABETH,,,,vs_naribetf_325,0,0
39803,Dialog,ABETH,"Go, then, and speak to Aarin. I hope that... I wish... no, nevermind. Be safe, <FirstName>.","그렇다면 가서 아린과 상의하세요. 저는... 바라건대... 아니, 아무것도 아닙니다. 몸조심하세요, <FirstName>.",M2Q6A02ABETH,,,,vs_naribetf_324,0,0
39804,Dialog,ABETH,"It is of vital importance that you complete Lord Nasher's mission, <FirstName>. Much depends on you discovering what else Desther's allies have planned.",나셰르 영주님의 임무를 완수하는 일은 무엇보다 중요합니다... 데스터의 공모자들이 무엇을 더 꾸미는지 밝혀내는 것이 당신에게 달려 있습니다.,M2Q6A02ABETH,m2q1aribeth003,,,vs_naribetf_474,0,0
39805,Dialog,ABETH,"I am pleased to see that you remain safe, my friend. Lord Nasher tells me he is confident of your success, though I do worry at the danger in which you place yourself.","무사해 보여 기쁩니다, 친구여. 나셰르 영주님께서도 당신의 성과에 감탄하셨습니다만... 당신이 자신을 위험에 놓는 것이 걱정되기도 합니다.",M2Q6A02ABETH,m2q1aribeth003,,,vs_naribetf_475,0,0
39806,Dialog,ABETH,"It is good to see you again, <FirstName>. At times I worry that you have taken on too much responsibility yourself, yet always you surprise me with your resourcefulness and success.","다시 보니 반갑습니다, <FirstName>. 때로는 당신이 무사할지 걱정되지만... 당신은 언제나 놀라운 재치와 성취로 저를 놀라게 하더군요.",M2Q6A02ABETH,m2q1aribeth003,,,vs_naribetf_476,0,0
39807,Dialog,ABETH,Have you yet discovered any new information on the cult?,사교에 관한 새로운 정보를 알아내셨습니까?,M2Q6A02ABETH,,,,vs_naribetf_477,0,0
