StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
85785,Dialog,ADAELAN,"""I see no reason for us to speak with each other. I doubt we have anything more to say.""","""우리가 서로 말 섞을 이유를 모르겠군. 더 이야기할 것도 없을 것 같고.""",Q2ADAELAN,,,,vs_nx2daelm_62,0,0
85786,Dialog,ADAELAN,"""You have returned. Is there something I can help you with?""","""돌아왔군. 내가 도울 일이라도 있나?""",Q2ADAELAN,,,,vs_nx2daelm_63,0,0
85787,Dialog,ADAELAN,"""I see you have survived the dangers of Undermountain... so far.""","""언더마운틴의 위험 속에서도 잘 살아남았군... 지금까지는.""",Q2ADAELAN,,,,vs_nx2daelm_64,0,0
85788,Dialog,ADAELAN,"""It is good to see you again, <FirstName>. Everything is going well, I hope?""","""다시 보게 되어 반갑네, <FirstName>. 모든 일이 순조롭길 바라지.""",Q2ADAELAN,,,,vs_nx2daelm_65,0,0
85789,Dialog,ADAELAN,"""How... how did I get here? I remember a fight and then... only darkness. Yet you seem familiar to me. You are... an ally, yes?""","""어... 어떻게 내가 여기 있지? 전투가 있었고... 어둠뿐이었던 게 기억나. 그런데 너, 낯설지 않군. 넌... 동맹이지, 맞지?""",Q2ADAELAN,,,,vs_nx2daelm_66,0,0
92808,Dialog,ADAELAN,"The half-orc's eyes snap open wide. His head darts from side to side, seeking an enemy that isn't there. Only then does his face focus on your own, standing above him.",하프오크의 눈이 번쩍 뜨입니다. 그의 머리가 사방을 날카롭게 훑어 주변을 파악합니다-광기와 혼란의 기운이 아직도 남아 있습니다. 이윽고 그의 시선이 당신에게 고정됩니다.,Q2ADAELAN,,,,,0,0
92809,Dialog,ADAELAN,"He narrows his eyes, trying to decide if you are friend or foe. ""Ask your questions,"" he answers at last. ""I will do my best to answer them.""","그는 눈을 가늘게 뜨고 당신이 적인지 아군인지 가늠합니다. 마침내 입을 엽니다. ""그래, 영웅이군... 네가 나를 살려냈지. 네 질문에-가능한 한-대답하겠다.""",Q2ADAELAN,,,,,0,0
92810,Dialog,ADAELAN,"The half-orc looks at you more closely. ""Right. You're <FullName>, the hero that Durnan was waiting for. I'm Daelan Red Tiger, a warrior originally from the northern Uthgardt tribes.""","하프오크는 당신을 더 자세히 바라봅니다. ""그래... 맞아. 넌 <FullName>. 더난이 기다리던 영웅이었지. 난 붉은 호랑이 데란-원래 북부 우스가르트 부족 출신의 전사야.""",Q2ADAELAN,,,,,0,0
92811,Dialog,ADAELAN,"The half-orc tilts his head to the side, searching through the shadows of his memory. ""Yes. That's right. <FullName>. The one Durnan was waiting for.""","하프오크는 고개를 기울이며 기억을 더듭니다. ""그래... 맞아. <FullName>. 더난이 기다리던 그 사람이었지.""",Q2ADAELAN,,,,,0,0
92812,Dialog,ADAELAN,"""It's starting to come back to me now... there was a fight in the tavern. A beholder. We chased it down here, and I became separated from the others. I remember... dying.""","""기억이 돌아오고 있어... 싸움이 있었고... 탈출하려 했지. 하지만 여관에서 몇몇 발광한 무리들과 엇갈렸고, 나는 다른 사람들과 흩어졌어. 그리고... 죽어 갔다고 느꼈지.""",Q2ADAELAN,,,,,0,0
92813,Dialog,ADAELAN,"""You raised me, didn't you? For that, you have my thanks.""","""네가 날 살려냈지? 그에 대해 고맙다는 말을 해야겠군.""",Q2ADAELAN,,,,,0,0
92814,Dialog,ADAELAN,"""I will return to Durnan's inn, for now. I shouldn't have any trouble finding my way back. Maybe I can be of more use there than I was down here.""","""일단은 더난의 여관으로 돌아가겠네. 또다시 이 아래에 휘말리고 싶지는 않아. 거기서 네가 돌아오길 기다리겠지. 거기가... 여기보다 내가 더 도움이 될지도 몰라.""",Q2ADAELAN,,,,,0,0
92815,Dialog,ADAELAN,"""Once again, you have my thanks for returning me to life. I was not ready to leave this world yet. Goodbye, and good luck.""","""다시 한 번, 나를 생명으로 돌려 보내줘서 고맙네. 아직 이 세상을 떠날 준비는 되지 않았거든. 안녕히, 그리고 행운을.""",Q2ADAELAN,,,,,0,0
92816,Dialog,ADAELAN,"""Are you sure that's a good idea? Most of my equipment is gone, and I haven't had much luck here in Undermountain so far.""","""정말 그게 좋은 생각일까? 내 장비 대부분은 아직 잃어버렸고... 여기 언더마운틴에서 그리 운도 좋지 않았으니까.""",Q2ADAELAN,,,,,0,0
92817,Dialog,ADAELAN,"<StartCheck>[Success]</Start> The half-orc grins. ""The truth is, I wasn't ready to end my adventures here in Undermountain quite yet. I would be honored to join up with you, <FirstName>."" ","<StartCheck>[성공]</Start> 하프오크가 활짝 웃습니다. ""좋아, 일리가 있지. 아직 난 죽을 때가 아니야. 영광이네, <FirstName>. 너와 함께 하겠다.""",Q2ADAELAN,,,,,0,0
92818,Dialog,ADAELAN,"""I do owe you for saving my life. I suppose joining with you now would be a way to start repaying it.""","""네가 내 목숨을 구했으니 빚을 졌군. 지금 너와 합류하는 게 그 빚을 갚기 시작하는 방법일지도 모르지.""",Q2ADAELAN,,,,,0,0
92819,Dialog,ADAELAN,"He looks at your companions. ""It seems you have more than enough help already, <FirstName>. Perhaps it would be best if I were to return to the inn for now.""","그가 당신의 동료들을 힐끗 봅니다. ""이미 동료가 충분히 있는 것 같군, <FirstName>. 당장은 여관으로 돌아가는 게 낫겠어.""",Q2ADAELAN,,,,,0,0
