StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
104475,Dialog,AGATESEARGENT,"""Back again, <FullName>? Not much going on out beyond the gates right now, though I've got a few scouts out on patrol.""","""다시 오셨군요, <FullName>? 지금은 문 밖에서 별다른 일이 없지만, 정찰병 몇 명을 순찰 보내놓았습니다.""",Q2AGATESEARGENT,,,,,0,0
104476,Dialog,AGATESEARGENT,"""We've had a few reports of beholders and illithid wandering around, and a couple more undead sightings. Nothing unusual. Still, I wish we could spare a few more troops to help protect the gates.""","""주시자와 일리시드가 돌아다닌다는 보고와, 언데드가 목격되었다는 보고가 있었습니다. 드문 일은 아니죠. 그래도 이 문을 지키는 병력을 더 보낼 수 있으면 좋겠습니다.""",Q2AGATESEARGENT,,,,,0,0
104477,Dialog,AGATESEARGENT,"This guard gives you a brisk salute as you approach. ""You're <FullName> aren't you? Sergeant Osyyr at your service. I'm in charge of the defenses here at the gates.""","당신이 다가서자 이 경비병이 단정히 경례합니다. ""당신이 <FullName>이시군요? 저는 오시르 하사입니다. 이 문의 방어를 책임지고 있습니다.""",Q2AGATESEARGENT,,,,,0,0
104478,Dialog,AGATESEARGENT,"""As you can see, we're keeping a close eye on the gates. I just wish we could spare a few more troops to shore up our position here. We don't want any surprises catching us unprepared.""","""보시는 바와 같이, 우리는 이 문들을 주의 깊게 감시하고 있습니다. 다만 여기를 보강할 병력이 더 있으면 좋을 텐데요. 기습을 당하고 싶진 않으니까요.""",Q2AGATESEARGENT,nw_d1_talklevel,,,,0,0
104479,Dialog,AGATESEARGENT,"""I'll have them open the gates for you right now. Then you can come and go as you please. Just be careful out there.""","""곧 문을 열어드리겠습니다. 이제 자유롭게 드나드실 수 있습니다. 밖에서는 조심하십시오.""",Q2AGATESEARGENT,,,,,0,0
104480,Dialog,AGATESEARGENT,"The sergeant nods. ""Normally I'd warn anyone against going out there, but if you're everything the Seer claims, you can probably handle yourself.""","하사가 고개를 끄덕입니다. ""보통이라면 밖으로 나가려는 이들에게 경고를 하겠지만, 선견자의 말씀대로라면 당신은 스스로를 지킬 수 있겠지요.""",Q2AGATESEARGENT,,,,,0,0
104481,Dialog,AGATESEARGENT,"""Just be careful out there. That's where the true Underdark begins. The caverns beyond the gate are crawling with beholders and illithid, not to mention a host of undead creatures.""","""밖에서는 조심하십시오. 저곳이야말로 진정한 언더다크의 시작입니다. 문 너머의 동굴들은 주시자와 일리시드, 그리고 수많은 언데드로 들끓고 있습니다.""",Q2AGATESEARGENT,q2a_gatewarnx,,,,0,0
104482,Dialog,AGATESEARGENT,"""Good luck. Everyone in Lith My'athar is counting on you.""","""행운을 빕니다. 리스 마이아사의 모든 이들이 당신께 기대를 걸고 있습니다.""",Q2AGATESEARGENT,,,,,0,0
104483,Dialog,AGATESEARGENT,"""Every so often you hear rumors of undead here in the Underdark. Vampires, zombies, the odd mummy. But they've never been what you'd call commonplace.""","""언더다크에서 가끔 언데드 이야기가 들리곤 했습니다. 흡혈귀, 좀비, 드물게 미라까지. 하지만 흔히 볼 수 있는 존재는 아니었죠.""",Q2AGATESEARGENT,,,,,0,0
104484,Dialog,AGATESEARGENT,"""But lately the frequency of sightings has gone way up. Word is the Valsharess found a way to create an army of undead, and she's going to turn them all against us in one fell swoop.""","""하지만 최근에는 목격 빈도가 크게 늘었습니다. 발샤레스가 언데드 군대를 만드는 방법을 찾아내, 한꺼번에 우리에게 풀어놓으려 한다는 말이 돌고 있습니다.""",Q2AGATESEARGENT,,,,,0,0
104485,Dialog,AGATESEARGENT,"""Well, the illithid colony of Zorvak'Mur is somewhere in this area. It's a small settlement, really just a slaver outpost for the mind flayers to buy and sell thralls.""","""일리시드 식민지 조르박무르는 이 근처 어딘가에 있습니다. 작은 거점에 불과하지만, 마인드 플레이어들이 노예를 사고파는 노예상 거점이지요.""",Q2AGATESEARGENT,,,,,0,0
104486,Dialog,AGATESEARGENT,"""But I've heard the Valsharess has recruited a whole bunch of the illithid colonies to her cause. That could make the battle tough, what with their mind powers and all.""","""게다가 발샤레스가 여러 일리시드 식민지를 자기 편으로 끌어들였다고 합니다. 그들의 정신 지배 능력 때문에 전투가 훨씬 힘들어질 것입니다.""",Q2AGATESEARGENT,,,,,0,0
104487,Dialog,AGATESEARGENT,"""The illithid aren't physically imposing, but they've got strange telepathic powers. They can enslave your mind, or cause you to go catatonic with just a thought.""","""일리시드들은 육체적으로는 위협적이지 않지만, 괴상한 정신 능력을 가지고 있습니다. 그들은 당신의 정신을 노예로 만들거나, 단 한 번의 생각으로 혼수상태에 빠뜨릴 수 있습니다.""",Q2AGATESEARGENT,,,,,0,0
104488,Dialog,AGATESEARGENT,"""Certain spells and magical items can protect against their mental assaults, but we don't have enough to equip our whole army. I'm not looking forward to fighting the mind flayers.""","""특정 주문이나 마법 아이템으로 그들의 정신 공격을 막을 수는 있지만, 우리 군 전체에 지급하기엔 턱없이 부족합니다. 마인드 플레이어와 싸우는 건 내키지 않는군요.""",Q2AGATESEARGENT,,,,,0,0
104489,Dialog,AGATESEARGENT,"""We know there's a beholder colony somewhere in the nearby caverns, and there's rumors the Eye Tyrant they serve has allied herself with the Valsharess. That's a scary thought.""","""근처 동굴 어딘가에 주시자 군락이 있다고 알려져 있습니다. 그들이 섬기는 눈알 폭군이 발샤레스와 손잡았다는 소문도 돌고 있습니다. 끔찍한 일이지요.""",Q2AGATESEARGENT,,,,,0,0
104490,Dialog,AGATESEARGENT,"""The beholders are fierce opponents. They shoot out rays from their eyes that can paralyze you, turn you to stone or disintegrate you into a pile of dust.""","""주시자들은 무시무시한 적입니다. 눈에서 발사되는 광선으로 상대를 마비시키거나, 돌로 변하게 하거나, 아예 먼지로 만들어 버릴 수도 있습니다.""",Q2AGATESEARGENT,,,,,0,0
104491,Dialog,AGATESEARGENT,"""The other side of Lith My'athar is protected by the Dark River - even the Valsharess isn't strong enough to move an army safely across those waters.""","""리스 마이아사의 반대편은 검은 강으로 보호되고 있습니다. 발샤레스조차 그 강을 건너 군대를 안전히 이동시킬 힘은 없습니다.""",Q2AGATESEARGENT,,,,,0,0
104492,Dialog,AGATESEARGENT,"""If she's going to attack the camp, she'll have to come through these gates. And when she does, we'll be ready for her and all her illithid, beholder and undead allies."" ","""그녀가 이 진영을 공격하려면 반드시 이 문들을 지나야 합니다. 그리고 그때가 오면, 우리는 그녀와 그녀의 일리시드, 주시자, 언데드 동맹 모두와 맞설 준비가 되어 있을 겁니다.""",Q2AGATESEARGENT,,,,,0,0
104493,Dialog,AGATESEARGENT,"""Out beyond the gates is where the true Underdark begins. The caverns out there are crawling with beholders and illithid, not to mention a host of undead creatures.""","""문 밖이야말로 진정한 언더다크의 시작입니다. 그곳 동굴들은 주시자와 일리시드, 그리고 수많은 언데드로 들끓고 있습니다.""",Q2AGATESEARGENT,q2a_gatewarnx,,,,0,0
104494,Dialog,AGATESEARGENT,"<FirstName>! You have returned. And only just in time. The Seer has been asking for you. Quickly, I will take you to her.","<FirstName>! 돌아오셨군요. 때마침이십니다. 선견자께서 당신을 찾고 계십니다. 어서, 제가 그분께 안내해 드리겠습니다.",Q2AGATESEARGENT,,,,,0,0
