StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
85893,Dialog,AIMLOTH,"""This is Commander Imloth.  I have sent this wisp to act as my eyes and ears for the coming battle, and to allow me to communicate with you.""","""사령관 임로스입니다. 다가올 전투에서 제 눈과 귀 역할을 하고, 당신에게 상황을 전하도록 이 도깨비불을 보냈습니다.""",Q2AIMLOTH,act_q2aherald_2,,,vs_nx2imlom_53,0,0
85894,Dialog,AIMLOTH,"""As the battle progresses, I will report to you any happenings on the battlefield that you need to be aware of so you can direct the troops as you see fit.""","""전투가 진행되는 동안, 병력을 지휘하는 데 필요한 상황들을 보고하겠습니다.""",Q2AIMLOTH,,,,vs_nx2imlom_54,0,0
85895,Dialog,AIMLOTH,"""Are the defenses set, my <lord/lady>?""","""방어 준비가 됐습니까?""",Q2AIMLOTH,,,,vs_nx2imlom_55,0,0
85896,Dialog,AIMLOTH,"""I have nothing to add at the moment.""","""지금은 덧붙일 말이 없습니다.""",Q2AIMLOTH,,,,vs_nx2imlom_56,0,0
85897,Dialog,AIMLOTH,"""We have won the battle, but the war is far from over. The Valsharess' forces have found a way to cross the Dark River and attack through the Lith My'athar's port.""","""전투에서 이겼지만, 전쟁은 아직 끝나지 않았습니다. 발샤레스의 군세가 검은 강을 건너 리스 마이아사의 항구로 공격해 들어왔습니다.""",Q2AIMLOTH,act_q2aherald_6,,,vs_nx2imlom_57,0,0
85898,Dialog,AIMLOTH,"""They're attacking the city core, the Seer is in danger! You must go there at once!""","""도시 중심부를 공격 중입니다, 선견자가 위험합니다! 지금 당장 가셔야 합니다!""",Q2AIMLOTH,act_q2aherald_4a,,,vs_nx2imlom_58,0,0
85899,Dialog,AIMLOTH,"""We have lost the first battle, but not the war. Lith My'athar still has not fallen, and the Seer still lives.""","""첫 전투에서 졌으나, 전쟁은 끝나지 않았습니다. 리스 마이아사는 아직 함락되지 않았고, 선견자는 아직 살아 계십니다.""",Q2AIMLOTH,act_q2aherald_6,,,vs_nx2imlom_59,0,0
85900,Dialog,AIMLOTH,"""You have a bit of time to regroup and arrange the forces here in the City Core before the army of the Valsharess resumes its assault.""","""잠시 숨을 고르고, 도시 중심부에서 병력을 재배치할 시간이 있습니다. 발샤레스의 군대가 다시 공격해 오기 전까지.""",Q2AIMLOTH,,,,vs_nx2imlom_60,0,0
85901,Dialog,AIMLOTH,"""I have no new information for you.""","""새로 보고할 정보는 없습니다.""",Q2AIMLOTH,,,,vs_nx2imlom_61,0,0
85902,Dialog,AIMLOTH,"""I have nothing new to report right now.""","""지금 당장은 새로 보고할 것이 없습니다.""",Q2AIMLOTH,,,,vs_nx2imlom_62,0,0
85903,Dialog,AIMLOTH,"""We must protect the Seer. If she falls, our cause is lost. The Valsharess' forces have infiltrated the city and will soon be upon us. What forces we have left are now gathered here at your command.""","""선견자를 반드시 지켜야 합니다. 그분이 쓰러지면 모든 것이 끝입니다. 발샤레스의 군세가 이미 도시에 침투했고, 곧 들이닥칠 것입니다. 남은 병력은 모두 여기 모여 명령을 기다리고 있습니다.""",Q2AIMLOTH,act_q2aherald_6,,,vs_nx2imlom_63,0,0
85904,Dialog,AIMLOTH,"""I will try to remain near the Seer to protect her while you have free run of the battlefield.""","""저는 선견자 곁을 지키겠습니다. 그동안 전장을 자유롭게 움직여 주십시오.""",Q2AIMLOTH,,,,vs_nx2imlom_64,0,0
85905,Dialog,AIMLOTH,"""I must go now. Our enemies are gathering.""","""이제 가야 합니다. 적들이 집결하고 있습니다.""",Q2AIMLOTH,,,,vs_nx2imlom_65,0,0
