StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
80999,Dialog,ALI2,"Greetings to you, stranger. You have come to the Oasis of the Green Palm in a time of great danger. I am afraid there is nothing here for you other than death... and the curse of undeath.","낯선 이여, 인사를 드리오. 자네가 푸른 야자수 오아시스에 온 것은 큰 위험의 때이니... 여기서 자네를 기다리는 건 죽음과 불사의 저주뿐이네.",Q2A_ALI2,q2a_at_ali1,,,,0,0
81000,Dialog,ALI2,"There is a threat against all who come to this cursed place, but it does not originate with those of my tribe.","이 저주받은 땅에 오는 모든 이를 위협하는 존재가 있으나, 그것은 우리 부족이 아님을 알아 주게.",Q2A_ALI2,,,,,0,0
81001,Dialog,ALI2,"As I said before, there is nothing for you here... least of all the water that once flowed in our oasis. If you do not desire to walk the night without a soul, I suggest you move on.","이미 말했듯이, 여기엔 아무것도 없네... 오아시스의 물조차 사라졌지. 혼을 잃고 영원한 밤을 헤매고 싶지 않다면 떠나게.",Q2A_ALI2,,,,,0,0
81002,Dialog,ALI2,"A powerful creature, an ancient foe of my people, has once again arisen. He has taken our water, destroyed the temple of the Morninglord, and sent his undead minions against us.","강대한 존재, 우리 부족의 옛 숙적이 다시 일어났네. 놈은 물을 빼앗고, 아침군주의 신전을 파괴하며, 언데드 하수인들을 우리에게 풀었지.",Q2A_ALI2,,,,,0,0
81003,Dialog,ALI2,"His minions drag the corpses of my people down into his tomb, where he brings them back to life and sends them to fight us. Our numbers dwindle as his grow... and without even water to sustain us, we shall soon fall.","놈의 하수인들은 우리 시신을 무덤으로 끌고 가 부활시켜 우리와 싸우게 만들고 있네. 놈의 수는 늘고, 우리는 줄어들고... 물조차 없으니 곧 무너지겠지.",Q2A_ALI2,,,,,0,0
81004,Dialog,ALI2,"No water at all. The creature has dried even the water in my canteen, such is his power. ",물 한 방울조차 없네. 놈의 힘은 내 물통의 물마저 말려 버렸지.,Q2A_ALI2,,,,,0,0
81005,Dialog,ALI2,"Over one hundred of my people have died in the last few days, and you claim this is directed at you? Do not disregard the lives of my people in such a selfish manner.",며칠 사이에 우리 백 명 넘게 죽었네. 그런데도 이 모든 게 자네를 겨냥한 거라 말하는가? 내 백성의 생명을 그렇게 이기적으로 무시하지 말게.,Q2A_ALI2,,,,,0,0
81006,Dialog,ALI2,"If you are completely out of water, then you are correct. Very well, even though this tale is not normally told outside the Bedine I suppose it is only fair that you know of the cursed creature who hunts us both.","자네에게 물 한 방울도 없다면, 그 말이 맞을지도 모르지. 좋다, 베다인 밖에는 전하지 않는 이야기지만, 공평하게 자네도 알 권리가 있겠지. 우릴 모두 사냥하는 저주받은 존재를.",Q2A_ALI2,,,,,0,0
81007,Dialog,ALI2,"I suppose you face the same death as we do. Very well, even though this tale is not normally told outside the Bedine I suppose it is only fair that you know of the cursed creature who hunts us both.","자네도 우리와 같은 죽음을 마주하고 있네. 좋다, 베다인 밖에는 전하지 않는 이야기지만, 공평하게 자네도 알 권리가 있겠지. 우릴 모두 사냥하는 저주받은 존재를.",Q2A_ALI2,,,,,0,0
81008,Dialog,ALI2,"His name is Kel-Garas. The legends, passed down from father to son for ages in our tribe, tell us that Kel-Garas hails from an age long past... in the time of the Netheril Empire he was an evil necromancer and disciple to the god, Jergal.","놈의 이름은 켈가라스다. 우리 부족의 전설에 따르면, 고대 네더릴 제국 시절 그는 사악한 강령술사였으며 제르갈이라는 신의 제자였다고 한다.",Q2A_ALI2,q2a_alistory1,,,,0,0
