StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
15287,Dialog,ALLHELM,May Helm watch and bless you in this time of suffering.,고난의 때에 헬름의 눈이 그대를 지켜 축복하시길.,M1Q02ALLHELM,,,,,0,0
15288,Dialog,ALLHELM,"You there, shall I bless you with this living water, once cupped within the Guardian's palm? It keeps the plague at bay, at least for a while.","거기 그대, 수호자의 손바닥에 담겼던 이 생명의 물로 축복해 드려도 되겠습니까? 역병을 잠시나마 물러나게 합니다.",M1Q02ALLHELM,nw_d1_heartoff,,,,0,0
15289,Dialog,ALLHELM,"May this child of the mortal realm be blessed, touched by the comforting waters that Desther has blessed in the name of Helm. Let the eye watch over your fate.",헬름의 이름으로 데스터가 축복한 이 위안의 물이 필멸의 이 아이를 감싸길. 눈이 그대의 운명을 지켜보게 하소서.,M1Q02ALLHELM,m1_helmbless,,,,0,0
15290,Dialog,ALLHELM,Go with comfort. I wish you well in the dark times ahead.,평안을 가지고 가십시오. 다가올 어두운 때에도 복을 빕니다.,M1Q02ALLHELM,,,,,0,0
15291,Dialog,ALLHELM,What would you care to know?,무엇을 알고 싶으십니까?,M1Q02ALLHELM,,,,,0,0
15292,Dialog,ALLHELM,"Watchknight Desther is a holy man, to be sure. He was appointed to watch over Neverwinter at Shieldmeet. A grand honor.",감시기사 데스터는 참으로 성스러운 분입니다. 방패회합 때 네버윈터를 수호하라는 임명을 받으셨지요. 큰 영예였습니다.,M1Q02ALLHELM,,,,,0,0
15293,Dialog,ALLHELM,We all journeyed with him from Helm's Hold and arrived here scant days after Lady Aribeth declared the quarantine.,"우리는 그와 함께 헬름의 요새로부터 길을 떠나, 아리베스 경이 격리령을 선포한 지 며칠 되지 않아 여기 도착했습니다.",M1Q02ALLHELM,,,,,0,0
15294,Dialog,ALLHELM,"Yes... the holy symbol of Helm. Well, obviously it is an open gauntlet, which symbolizes the... the peace brought by having an armored protector. We are guardians.","네... 헬름의 성스러운 상징 말씀이군요. 음, 당연히 펼쳐진 팔목장갑입니다. 이는... 그러니까, 갑옷 입은 수호자가 있어 주는... 평화를 상징합니다. 우리는 수호자들이지요.",M1Q02ALLHELM,,,,,0,0
15295,Dialog,ALLHELM,"And in the center of the palm is the eye. Eyes are very important. They see all, know all, speak to us. They watch and learn. Yes.","그리고 손바닥 한가운데에는 눈이 있습니다. 눈은 아주 중요합니다. 모든 것을 보고, 모든 것을 알고, 우리에게 말씀하시지요. 지켜보고 배우십니다. 그렇습니다.",M1Q02ALLHELM,,,,,0,0
15296,Dialog,ALLHELM,"It is a horrible plague, grave in its implications and beyond the reach of any normal cure. ","끔찍한 역병입니다. 그 파장은 심각하고, 보통의 치료로는 손이 미치지 않습니다.",M1Q02ALLHELM,,,,,0,0
15297,Dialog,ALLHELM,Yet the faithful pass unscathed - no Helmite suffers from its boils... we pass unfettered to administer our blessings of comfort.,하지만 신앙을 지닌 자들은 상처 없이 지나갑니다-헬름 신도 중엔 그 종기에 시달리는 이가 한 명도 없지요... 우리는 막힘없이 다니며 위안의 축복을 베풉니다.,M1Q02ALLHELM,,,,,0,0
15298,Dialog,ALLHELM,"I have temple services, if you require.",필요하시다면 사원의 봉사를 해 드리겠습니다.,M1Q02ALLHELM,,,,,0,0
15303,Dialog,ALLHELM,"Yes, Helm protects the simple, too.","그래요, 헬름은 평범한 이들도 지켜 주십니다.",M1Q02ALLHELM,,,,,0,0
15304,Dialog,ALLHELM,"Yes, Helm protects the simple, too.","그래요, 헬름은 평범한 이들도 지켜 주십니다.",M1Q02ALLHELM,,,,,0,0
15305,Dialog,ALLHELM,"Yes, Helm protects the simple, too.","그래요, 헬름은 평범한 이들도 지켜 주십니다.",M1Q02ALLHELM,,,,,0,0
15306,Dialog,ALLHELM,"Yes, Helm protects the simple, too.","그래요, 헬름은 평범한 이들도 지켜 주십니다.",M1Q02ALLHELM,,,,,0,0
15307,Dialog,ALLHELM,"Noble one, shall I anoint you with this living water, once cupped within the Guardian's palm? It keeps the plague at bay, at least for a while.","고귀한 분, 수호자의 손바닥에 담겼던 이 생명의 물로 그대를 도유해도 되겠습니까? 역병을 잠시나마 물러나게 합니다.",M1Q02ALLHELM,nw_d1_heartoff,,,,0,0
15308,Dialog,ALLHELM,"You, with the... rough exterior, shall I cleanse you with this living water, once cupped within the Guardian's palm? It keeps the plague at bay, at least for a while.","거기, 그... 거친 겉모습의 그대여, 수호자의 손바닥에 담겼던 이 생명의 물로 정화해 드려도 되겠습니까? 역병을 잠시나마 물러나게 합니다.",M1Q02ALLHELM,nw_d1_heartoff,,,,0,0
15309,Dialog,ALLHELM,"The militia have kept me safe enough. I must say, though, that it's served as quite the distraction from any quest for a cure, don't you think?","민병대가 제 안전은 충분히 지켜 주었습니다. 다만... 치료법을 찾는 일에는 꽤 방해가 되기도 했지요, 그렇지 않습니까?",M1Q02ALLHELM,,,,,0,0
15310,Dialog,ALLHELM,"In the end, it seems one of the Waterdhavian creatures was behind it all. The guards are cleaning up the last pockets of resistance now... ",결국 워터딥에서 온 생명체들 중 하나가 모든 일의 배후였던 듯합니다. 경비병들이 지금 남은 저항을 마저 소탕하는 중이지요...,M1Q02ALLHELM,,,,,0,0
56680,Dialog,ALLHELM,I have some. Why do you ask?,조금은 있습니다. 왜 물으시죠?,M1Q02ALLHELM,,,,,0,0
56681,Dialog,ALLHELM,Fool! I am in service to Desther! This would not go unpunished!,우둔한 자여! 나는 데스터를 모시는 사람이다! 이 무엄함은 결코 용서되지 않을 것이다!,M1Q02ALLHELM,,,,,0,0
56682,Dialog,ALLHELM,"I don't know what you are trying to do, but I will have none of it. If you have questions, ask them. If not, leave me.","무슨 짓을 하려는지 모르겠지만, 응하지 않겠다. 물을 게 있으면 물어라. 아니면 떠나라.",M1Q02ALLHELM,,,,,0,0
56683,Dialog,ALLHELM,"Hmph! I don't have time for this, fool. You wish to take what little gold I have? Fine! Here, all that I carry on my person.","흥! 이따위에 쓸 시간 없다, 바보 같으니. 내게 남은 얼마 안 되는 금화를 원하나? 좋아! 여기, 내가 몸에 지닌 전부다.",M1Q02ALLHELM,m1q0_evil_reward,,,,0,0
