StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
93264,Dialog,AMADAME,"The beauty of this woman at her peak must have been something to behold, because age certainly doesn't seem to have had much effect on her.",한창때의 이 여인의 미모는 실로 볼만했을 것입니다. 세월도 그 흔적을 거의 남기지 못한 듯합니다.,Q2AMADAME,,,,,0,0
93265,Dialog,AMADAME,"""Ah, you must be <FirstName>. Durnan told me you would be coming to help out our poor city. I would welcome you to my House of Pleasures, but I am sorry to tell you, we are closed for business""","""아, 당신이 <FirstName>군요. 더난이 우리 불쌍한 도시를 도우러 올 거라고 하더군요. 내 환락의 집에 모시고 싶지만, 유감스럽게도 지금은 문을 닫았어요.""",Q2AMADAME,,,,,0,0
93266,Dialog,AMADAME,"""That the City of Splendors should come to such a state as this is almost unthinkable. But my manners are lacking, how can this poor house of refuge assist you?""","""영광의 도시가 이 지경이 되다니 거의 믿기 어렵지요. 제가 무례했네요, 이 가련한 피난처가 어떻게 도와드리면 될까요?""",Q2AMADAME,act_q2amad5,,,,0,0
93267,Dialog,AMADAME,"""Come back when this war is over and my people will explore the mysteries of the night with you at no cost, should you prove to be the hero I hope you are.""","""전쟁이 끝나면 다시 오세요. 바라건대 당신이 내가 바라는 영웅임을 증명한다면, 내 사람들이 밤의 신비를 무료로 안내해 드릴게요.""",Q2AMADAME,,,,,0,0
93268,Dialog,AMADAME,"""I will help you in any way I can. I have nothing pressing right now; other than comforting this group of refugees.""","""할 수 있는 건 무엇이든 도와드릴게요. 당장은 이 피난민들을 위로하는 일밖에 급한 게 없답니다.""",Q2AMADAME,,,,,0,0
93269,Dialog,AMADAME,"""All right. I had better get back to work. I need to see if I can make room for a few more families.""","""좋아요. 전 이만 일하러 돌아가야겠네요. 몇 가구를 더 받을 수 있을지 봐야 해요.""",Q2AMADAME,,,,,0,0
93270,Dialog,AMADAME,"""I don't know who has remained open. Most stores are closed, but you might want to try Argali's Arms. She's a brave, if obnoxious woman, and she might just have dared to remain open.""","""어디가 문을 열었는지는 모르겠어요. 대부분 가게가 닫았지만, 아갈리의 무기상을 찾아보세요. 거칠지만 용감한 여인이라, 아마 대담하게 영업을 이어가고 있을지도 몰라요.""",Q2AMADAME,,,,,0,0
93271,Dialog,AMADAME,"""I haven't seen any merchants in this part of the city, which is why it costs so much for me to get enough supplies for these people here.""","""이 도시의 이쪽에선 상인을 본 적이 없어요. 그래서 이 사람들 물자를 구하려면 돈이 그렇게 많이 드는 거죠.""",Q2AMADAME,,,,,0,0
93272,Dialog,AMADAME,"""No, we have our own guards and have been lucky so far. Most of the people in here have seen some of the fighting though.""","""아니요, 우리 경비가 따로 있고 지금까지는 운이 좋았어요. 다만 안의 사람들 대부분은 싸움을 어느 정도 겪었지요.""",Q2AMADAME,,,,,0,0
93273,Dialog,AMADAME,"""These poor folk residing here have lost everything and needed somewhere to stay. I have some experience with being an orphan so I felt I had a duty.""","""여기 머무는 불쌍한 사람들은 전부를 잃고 갈 곳이 없어졌어요. 저도 고아였던 적이 있어, 책임감을 느꼈답니다.""",Q2AMADAME,,,,,0,0
