StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
91502,Dialog,AMBIENTMAN,You're a nasty looking <lad/lass>. I hope I never get on your bad side.,상당히 험상궂게 생긴 <lad/lass>로군. 괜히 미움 사지 않길 바라지.,PRE_AMBIENTMAN,,,,,0,0
91503,Dialog,AMBIENTMAN,I hope you know how to fight. We're going to need all the help we can get.,싸울 줄 알았으면 좋겠군. 우린 받을 수 있는 모든 도움이 필요하거든.,PRE_AMBIENTMAN,,,,,0,0
91504,Dialog,AMBIENTMAN,I have heard great things about you. I hope they were not lies.,당신에 대해 대단한 얘기를 들었어. 거짓이 아니길 바라지.,PRE_AMBIENTMAN,,,,,0,0
91505,Dialog,AMBIENTMAN,"I feel trapped in here. I hope they open the streets soon, so that I can go rebuild my home.",여기 갇혀 있는 기분이야. 빨리 거리가 열려서 집을 다시 지을 수 있었으면 좋겠어.,PRE_AMBIENTMAN,,,,,0,0
91506,Dialog,AMBIENTMAN,Durnan and Mhaere are good people to take us in when we have lost everything. I only hope I can someday repay their kindness.,더난하고 메어라는 우리가 모든 걸 잃었을 때 우릴 받아 준 좋은 사람들이야. 언젠가 그 친절에 보답할 수 있길 바랄 뿐이야.,PRE_AMBIENTMAN,,,,,0,0
91507,Dialog,AMBIENTMAN,They must pay for their savage crimes! We should invade and destroy them utterly!,놈들은 그 만행의 대가를 치러야 해! 우리가 쳐들어가 싹 쓸어버리자!,PRE_AMBIENTMAN,,,,,0,0
91508,Dialog,AMBIENTMAN,"My home was destroyed, my family massacred; who shall stop this dark tide?",집은 불타고 가족도 몰살됐어; 이 어둠의 물결을 누가 막을 수 있지?,PRE_AMBIENTMAN,,,,,0,0
91509,Dialog,AMBIENTMAN,You have quite the reputation. I hope you are here to help us.,당신 명성이 자자하더군. 우릴 도우러 온 거라면 좋겠어.,PRE_AMBIENTMAN,,,,,0,0
91510,Dialog,AMBIENTMAN,"Life has become so dark and the future, so clouded, that hope seems lost.","삶이 너무 어두워졌고, 앞날도 짙게 흐려져서, 희망이 사라진 것만 같아.",PRE_AMBIENTMAN,,,,,0,0
91511,Dialog,AMBIENTMAN,"We huddle in here, while the streets are patrolled by the guard, but who patrols the dark passages beneath us?","우린 여기서 웅크리고 있고, 거리는 경비가 순찰하지만... 우리 발밑의 어두운 통로는 누가 지키지?",PRE_AMBIENTMAN,,,,,0,0
91512,Dialog,AMBIENTMAN,I've heard that Durnan has called for a powerful hero to save the city. Have you seen one?,"더난이 도시를 구할 강력한 영웅을 불렀다던데, 본 적 있어?",PRE_AMBIENTMAN,,,,,0,0
91513,Dialog,AMBIENTMAN,"I would die for a woman like you, if I wasn't such a coward.",당신 같은 여자라면 목숨도 바칠 텐데... 겁쟁이라 그럴 용기가 없군.,PRE_AMBIENTMAN,,,,,0,0
91514,Dialog,AMBIENTMAN,The most beautiful flower becomes plain in the company of your stunning looks.,가장 아름다운 꽃도 당신의 눈부신 외모 곁에선 평범해져.,PRE_AMBIENTMAN,,,,,0,0
91515,Dialog,AMBIENTMAN,You stole my breath when I saw your fair face. Can such beauty be revealed in the face of a hero?,아름다운 얼굴을 보고 숨이 멎을 뻔했어. 그런 미모가 영웅의 얼굴에도 깃들 수 있나?,PRE_AMBIENTMAN,,,,,0,0
91516,Dialog,AMBIENTMAN,"We <race> folk must stand together. Good to see you, friend.","우린 <race>끼리 뭉쳐야 해. 만나서 반갑네, 친구.",PRE_AMBIENTMAN,,,,,0,0
91517,Dialog,AMBIENTMAN,"How many <race> adventurers are there? Well, there can never be enough, I always say.","<race> 모험가는 얼마나 되지? 뭐, 아무리 많아도 모자라다-난 늘 그렇게 말해.",PRE_AMBIENTMAN,,,,,0,0
91518,Dialog,AMBIENTMAN,Glad I am to meet another of my race. We shall stand together against the enemy.,내 종족을 또 만나게 되어 기쁘군. 함께 적을 막아 내자고.,PRE_AMBIENTMAN,,,,,0,0
91519,Dialog,AMBIENTMAN,Didn't see too many of you <race> folk until the Lords of Waterdeep announced that big reward!,워터딥의 군주들이 큰 보상을 내걸기 전엔 너 같은 <race>는 별로 못 봤는데!,PRE_AMBIENTMAN,,,,,0,0
91520,Dialog,AMBIENTMAN,"Hmph, another <race> adventurer. Don't expect me to protect your back.","흠, 또 다른 <race> 모험가군. 내 등이 네 방패가 될 거라 기대하진 마.",PRE_AMBIENTMAN,,,,,0,0
91521,Dialog,AMBIENTMAN,Don't get that many <race> adventurers these days. I suppose every <man/woman> helps.,"요즘은 <race> 모험가가 드물지. 뭐, <man/woman> 하나라도 더 보태지면 도움이 되긴 해.",PRE_AMBIENTMAN,,,,,0,0
91522,Dialog,AMBIENTMAN,Don't wave your weapon in my face. There's enough danger around here without you adding to it.,내 앞에서 무기 휘두르지 마. 여기 주변만으로도 위험이 충분해.,PRE_AMBIENTMAN,,,,,0,0
91523,Dialog,AMBIENTMAN,"You are obviously well prepared for battle, but you don't need to wave your weapons at me, good <man/woman>.","전투 준비는 잘 된 것 같군, 하지만 나한테 무기를 겨눌 필요는 없어, 좋은 <man/woman>.",PRE_AMBIENTMAN,,,,,0,0
91524,Dialog,AMBIENTMAN,You just about hit me with your weapon. Please put it away.,방금 내게 칠 뻔했어. 제발 무기를 집어넣어.,PRE_AMBIENTMAN,,,,,0,0
91525,Dialog,AMBIENTMAN,"There is a time and place for everything, but this is neither the time nor place for removing your clothes.","무엇에나 때와 곳이 있는 법이야. 여기는 옷을 벗을 때도, 곳도 아니지.",PRE_AMBIENTMAN,,,,,0,0
91526,Dialog,AMBIENTMAN,"I've heard of the heat of battle, but it's not really warm enough to run naked through the streets.","전장의 열기라는 말을 듣긴 했지만, 거리를 발가벗고 달릴 만큼 따뜻하진 않아.",PRE_AMBIENTMAN,,,,,0,0
91527,Dialog,AMBIENTMAN,"I love the sight of a beautiful naked body; in a brothel, not here.","아름다운 알몸을 보는 건 좋아하지... 하지만 사창가에서지, 여기서는 아니야.",PRE_AMBIENTMAN,,,,,0,0
