StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
33399,Dialog,AREVAT,"Momma? Oh, you not Momma. Oh me in big trouble.","엄마? 아, 너 엄마 아니네. 아, 나 큰일 났다.",M2Q2AREVAT,,,,,0,0
33400,Dialog,AREVAT,"Ya, bye bye. Everybody go bye bye.","응, 잘 가. 다들 다 가버려.",M2Q2AREVAT,nw_d2_walkways,,,,0,0
33401,Dialog,AREVAT,"Ya, you go bye bye too.","응, 너도 가버려.",M2Q2AREVAT,nw_d2_walkways,,,,0,0
33402,Dialog,AREVAT,"Ya, bye.","응, 안녕.",M2Q2AREVAT,nw_d2_walkways,,,,0,0
33403,Dialog,AREVAT,Me name be Revat. Who you be?,내 이름 레바트. 너 누구야?,M2Q2AREVAT,,,,,0,0
33404,Dialog,AREVAT,You cry too if you have such bad day. Me name be Revat. Who you be?,너도 이런 나쁜 날이면 운다. 내 이름 레바트. 너 누구야?,M2Q2AREVAT,,,,,0,0
33405,Dialog,AREVAT,"You be mean. Me not like that. Me Revat, and who you be rude <man/woman>?","너 못됐어. 그런 거 싫어. 난 레바트야, 그리고 너는 누구야, 버릇없는 <man/woman>?",M2Q2AREVAT,,,,,0,0
33406,Dialog,AREVAT,I glad meet you <FirstName>. Me wish could be on happy day.,"만나서 좋아, <FirstName>. 오늘 같은 나쁜 날 말고, 좋은 날이었으면 했어.",M2Q2AREVAT,,,,,0,0
33407,Dialog,AREVAT,That nice. How me help you on bad day like today.,그거 좋네. 오늘같이 나쁜 날에 내가 어떻게 도와?,M2Q2AREVAT,,,,,0,0
33408,Dialog,AREVAT,"Me glad meet you, <FullName>. (sigh) Wish it not be such bad day to meet friend.","만나서 좋아, <FullName>. (한숨) 친구 만나는 날이 이렇게 나쁜 날 아니었으면 했어.",M2Q2AREVAT,,,,,0,0
33409,Dialog,AREVAT,Thank you. What you want of me on such bad day.,고마워. 이런 나쁜 날에 나한테 뭘 원해?,M2Q2AREVAT,,,,,0,0
33410,Dialog,AREVAT,It too bad day for me to care. What you want?,오늘 너무 나쁜 날이라 신경 못 써. 뭐 원해?,M2Q2AREVAT,,,,,0,0
33411,Dialog,AREVAT,You be stupid if you play game on bad day. Me not talk to you.,나쁜 날에 장난치면 바보야. 너랑 안 말해.,M2Q2AREVAT,nw_d2_walkways,,,,0,0
33412,Dialog,AREVAT,"Me try, but me not in good mood to talk. Me having very bad day.","말해보려 해도, 지금 말하기 기분 아냐. 나 오늘 아주 나쁜 날.",M2Q2AREVAT,,,,,0,0
33413,Dialog,AREVAT,"Me try, but me having bad day. Me not good mood for talk.","말해보려 해도, 나 오늘 나쁜 날이야. 말하기 기분 아니야.",M2Q2AREVAT,,,,,0,0
33414,Dialog,AREVAT,You not very nice. What you want?,너 별로 착하지 않아. 뭐 원해?,M2Q2AREVAT,,,,,0,0
33415,Dialog,AREVAT,Me Momma be stole by trolls. Me need get her back or me be in big trouble.,"트롤들이 내 엄마 잡아갔어. 엄마 데려와야 해, 아니면 난 큰일 나.",M2Q2AREVAT,m2q2elrevtk,,,,0,0
33416,Dialog,AREVAT,Me like way you talk.,너 말하는 거 마음에 들어.,M2Q2AREVAT,,,,,0,0
33417,Dialog,AREVAT,No! You no say trolls eat Momma! Momma no be eaten or me lost! You find Momma.,안 돼! 트롤이 엄마 먹는다 그런 말 하지 마! 엄마 먹히면 난 끝장이야! 너 엄마 찾아.,M2Q2AREVAT,,,,,0,0
33418,Dialog,AREVAT,She be in cave in area. Same place you go for to help Jax. Me see you got key.,그녀 여기 근처 동굴에 있어. 너 잭스 도우러 가는 그곳이랑 같은 곳. 너 열쇠 있는 거 봤어.,M2Q2AREVAT,,,,,0,0
33419,Dialog,AREVAT,Me pay you 300 gold. Me not have much else. That be all Momma give.,너한테 금화 300 줄게. 다른 건 없어. 엄마가 준 건 그게 다야.,M2Q2AREVAT,,,,,0,0
33420,Dialog,AREVAT,Oh no! Now me never see Momma again!,안 돼! 이제 엄마 다시는 못 봐!,M2Q2AREVAT,,,,,0,0
33421,Dialog,AREVAT,Me wish you could help. Me will never be same without Momma. Bye.,도와줄 수 있으면 좋겠어. 엄마 없으면 난 예전 같지 않을 거야. 잘 가.,M2Q2AREVAT,nw_d2_walkways,,,,0,0
33422,Dialog,AREVAT,You go 'way if you no help. Me too sad to talk anymore.,"도와줄 거 아니면 저리 가. 더는 말 못 해, 너무 슬퍼.",M2Q2AREVAT,nw_d2_walkways,,,,0,0
33423,Dialog,AREVAT,"Oh, you good <man/woman>. You find me Momma. Me tell you what me know.","오, 착한 <man/woman>네. 내 엄마 찾아줘. 내가 아는 거 말해줄게.",M2Q2AREVAT,m2q2a06revaegb1,,,,0,0
