StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
48666,Dialog,ARIB,"<FirstName> - I am not surprised to see you here. You have become quite the thorn in Maugrim's side. Though he would never admit it, I believe you have impressed him with your accomplishments.","<FirstName>-여기서 당신을 보아도 전혀 놀랍지 않군요. 당신은 모그림의 눈엣가시가 되었지요. 그는 결코 인정하지 않겠지만, 당신의 성취에 인상을 받았다고 저는 믿습니다.",M4Q01B25ARIB,nw_d1_talktime,,,vs_naribetf_533,0,0
48667,Dialog,ARIB,"I, however, am not too proud to admit my respect for you. You have thwarted us at almost every turn, <FirstName>. Yet in the end Morag's will cannot be denied.","하지만 저는 당신을 존중한다는 사실을 인정할 만큼 자만하지는 않습니다. <FirstName>, 거의 매번 우리의 계책을 좌절시켰지요. 그럼에도 끝내 모라그의 의지는 거스를 수 없습니다.",M4Q01B25ARIB,,,,vs_naribetf_534,0,0
48668,Dialog,ARIB,So be it. We shall settle this with blood!,좋습니다. 피로써 결판을 내지요!,M4Q01B25ARIB,m4q01b25aribelc2,,,vs_naribetf_491,0,0
48669,Dialog,ARIB,"I was about to make you the same offer, <FirstName> - though I suspect Maugrim would rather sacrifice you to his new Queen.","<FirstName>, 나도 방금 같은 제안을 하려던 참이었습니다-다만 모그림은 당신을 그의 새로운 여왕에게 제물로 바치고 싶어 하겠지만요.",M4Q01B25ARIB,,,,vs_naribetf_536,0,0
48670,Dialog,ARIB,Morag is a voracious mistress - it seems there are never enough dead to satisfy her hunger.,모라그는 탐욕스러운 여주입니다-그녀의 굶주림을 채우기에는 언제나 죽은 자가 모자란 듯하군요.,M4Q01B25ARIB,,,,vs_naribetf_537,0,0
48671,Dialog,ARIB,You dare call these people innocent? The citizens of Neverwinter screamed for Fenthick's death - and Lord Nasher gave it to them!,이들을 감히 무고하다고 부릅니까? 네버윈터의 시민들은 펜딕의 죽음을 외쳐댔고-나셰르 영주님은 그들의 요구를 들어주었습니다!,M4Q01B25ARIB,,,,vs_naribetf_538,0,0
48672,Dialog,ARIB,"His blood is on their hands, <FirstName>. We are all guilty here, and we are all deserving of death.","그의 피는 그들의 손에 묻어 있습니다, <FirstName>. 여기 있는 우리 모두가 죄인이며, 모두 죽음을 받아 마땅합니다.",M4Q01B25ARIB,,,,vs_naribetf_539,0,0
48673,Dialog,ARIB,"You have already lost, <FirstName>. My troops control the city; soon even Castle Never will fall. The streets will run red with the blood of Neverwinter's children.","<FirstName>, 당신은 이미 졌습니다. 내 병력은 도시를 장악했고, 곧 네버 성마저 무너질 것입니다. 거리마다 네버윈터의 아이들 피로 물들겠지요.",M4Q01B25ARIB,,,,vs_naribetf_535,0,0
48674,Dialog,ARIB,Justice? There is no such thing. I came here for vengeance. But I am not responsible for Neverwinter's fall.,정의라니? 그런 것은 없습니다. 나는 복수를 위해 왔을 뿐. 하지만 네버윈터의 몰락은 내 책임이 아닙니다.,M4Q01B25ARIB,,,,vs_naribetf_540,0,0
48675,Dialog,ARIB,"My position at the head of the armies only hastened the inevitable end, <FirstName>. Neverwinter was doomed as soon as Maugrim unleashed the Wailing Death.","내가 군대를 이끄는 위치에 선 것은 피할 수 없는 결말을 앞당겼을 뿐입니다, <FirstName>. 모그림이 울부짖는 죽음 역병을 풀어놓는 순간 네버윈터의 운명은 정해졌습니다.",M4Q01B25ARIB,,,,vs_naribetf_541,0,0
48676,Dialog,ARIB,"Can you not feel it in the air? An evil cloud covers the city - the shadow of Morag. The Queen of the Old Ones has awakened, and none shall survive her coming.","공기 속에서 느껴지지 않습니까? 사악한 구름이 도시를 뒤덮고 있지요-모라그의 그림자입니다. 태고의 존재들의 여왕이 깨어났고, 그녀의 강림을 살아남을 자는 없습니다.",M4Q01B25ARIB,,,,vs_naribetf_542,0,0
48677,Dialog,ARIB,"I am no blind fool like Maugrim. I know Morag will betray me. In fact, I'm counting on it. I deserve death for what I have done.","나는 모그림 같은 눈먼 바보가 아닙니다. 모라그가 나를 배신하리란 것을 압니다. 사실, 그 배신을 각오하고 있지요. 내가 저지른 일에 대해 죽음은 마땅한 대가입니다.",M4Q01B25ARIB,,,,vs_naribetf_543,0,0
48678,Dialog,ARIB,But when I die I will have the satisfaction of knowing Neverwinter was made to pay for what happened to Fenthick!,"하지만 내가 죽더라도, 네버윈터가 펜딕의 일에 대한 대가를 치렀다는 사실에서 위안을 얻을 것입니다!",M4Q01B25ARIB,,,,vs_naribetf_544,0,0
48679,Dialog,ARIB,"There is nothing more to say, <FirstName>. It is too late for words. We must settle this in blood.","더 할 말은 없습니다, <FirstName>. 말로 풀기에는 너무 늦었습니다. 피로써 끝내야 합니다.",M4Q01B25ARIB,,,,vs_naribetf_545,0,0
48680,Dialog,ARIB,I yield! I yield!,항복합니다! 항복합니다!,M4Q01B25ARIB,,,,vs_naribetf_492,0,0
48681,Dialog,ARIB,"You have come far since our first meeting, <FirstName>. I can no longer stand against you.","처음 만났을 때보다 훨씬 강해졌군요, <FirstName>. 더는 당신과 맞설 수 없습니다.",M4Q01B25ARIB,,,,vs_naribetf_546,0,0
48682,Dialog,ARIB,"Had Morag foreseen how powerful you would become, perhaps she would have chosen you to be her champion instead of turning her lidless eye in my direction.","모라그가 당신이 이렇게 강해질 것을 내다보았다면, 그 눈꺼풀 없는 눈을 내게 돌리는 대신 당신을 자신의 용사로 택했을지도 모르겠군요.",M4Q01B25ARIB,,,,vs_naribetf_547,0,0
48683,Dialog,ARIB,"Come then, <FirstName> - deliver me to the fate I have brought upon myself.","자, <FirstName>. 내가 자초한 운명에게 나를 넘기십시오.",M4Q01B25ARIB,nw_d1_attonend02,,,vs_naribetf_594,0,0
48684,Dialog,ARIB,"I... I suppose that is true. You have the strength of your convictions, something I lost long ago.","...그래요, 그 말이 옳겠지요. 당신은 신념을 관철할 힘을 지녔습니다. 나는 오래전에 잃어버린 그것을.",M4Q01B25ARIB,,,,vs_naribetf_548,0,0
48685,Dialog,ARIB,"Honor? I learned long ago there is no such thing. Honor is but a myth. Death, vengeance and despair - these are real.","명예? 오래전에 그런 것은 없다는 걸 배웠습니다. 명예는 신화에 불과해요. 죽음, 복수, 절망-이것들이 현실입니다.",M4Q01B25ARIB,,,,vs_naribetf_591,0,0
