StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
46681,Dialog,ARWYL,You shall wither and die!,너는 시들어 죽으리라!,M3Q3C03ARWYL,,,,vs_nnymphf_050,0,0
46682,Dialog,ARWYL,The dwarves are mad! The brutes will not listen to reason!,드워프들이 미쳤다! 그 난폭한 자들은 이성의 말을 들으려 하지 않는다!,M3Q3C03ARWYL,,,,vs_nnymphf_053,0,0
46683,Dialog,ARWYL,"I am Arwyl, leader of the dryads. I bid you welcome, <race> one. Your kind is strange to us - we are used to seeing only the dwarves who attack us on sight.","나는 드라이어드들의 지도자 아르윌이다. 환영하노라, <race>여. 그대 종족은 우리에겐 낯설다-우리는 보이는 족족 달려드는 드워프들만 봐 왔으니까.",M3Q3C03ARWYL,m3q3c_arwyl_map,,,vs_nnymphf_056,0,0
46684,Dialog,ARWYL,Death to the bearded ones and their allies!,수염 난 자들과 그 동맹들에게 죽음을!,M3Q3C03ARWYL,,,,vs_nnymphf_052,0,0
46685,Dialog,ARWYL,Only the dryads shall survive!,드라이어드만이 살아남으리라!,M3Q3C03ARWYL,,,,vs_nnymphf_051,0,0
46686,Dialog,ARWYL,"We battle the dwarves each and every day, and it has made us strong with courage. We shall not fly from another fight!","우리는 날마다 드워프와 싸워 왔고, 그로써 용기로 강해졌다. 또 다른 싸움에서도 물러서지 않으리라!",M3Q3C03ARWYL,nw_d1_attonend,,,,0,0
46687,Dialog,ARWYL,"May the earth be ever soft beneath your feet. But travel with care, good <man/woman>. Danger is ever present.",그대 발아래 땅이 늘 부드럽기를. 다만 조심하라. 위험은 늘 도사리고 있다.,M3Q3C03ARWYL,,,,,0,0
46688,Dialog,ARWYL,"As you wish, <race> <male/female>. What wisdom I have I shall gladly share with you, though I know little beyond our endless war with the immortal dwarves.","그대 뜻대로 하라, <race>. 내가 가진 지혜는 기꺼이 나누겠다. 다만 불멸의 드워프들과의 끝없는 전쟁 말고는 아는 바가 적다.",M3Q3C03ARWYL,,,,,0,0
46689,Dialog,ARWYL,"The true horror of this war is that it can never, ever end. The dwarves we slay are reborn and venture forth to wage war upon us again, just as we are reborn after each and every death.","이 전쟁의 진정한 공포는 결코 끝나지 않는다는 데 있다. 우리가 죽인 드워프는 다시 태어나 우리에게 전쟁을 걸어오고, 우리 또한 죽을 때마다 다시 태어난다.",M3Q3C03ARWYL,,,,,0,0
46690,Dialog,ARWYL,"A thousand, thousand times I have felt the cold steel of a dwarven sword pierce my flesh, or had my skull broken by their great war hammers. Yet each time I reappear whole again in this grove.","수천, 수만 번이나 드워프의 차가운 강철이 내 살을 꿰뚫었고, 그들의 큰 전쟁망치에 두개골이 부서졌다. 그러나 매번 나는 이 숲에서 온전히 다시 나타났다.",M3Q3C03ARWYL,,,,,0,0
46691,Dialog,ARWYL,"Forgive me but I do not understand your question. I know nothing of this snow globe of which you speak, and our world is as it is.","미안하나 그대의 질문을 이해하지 못하겠다. 네가 말하는 그 스노 글로브에 대해 아는 바가 없고, 우리의 세계는 있는 그대로일 뿐이다.",M3Q3C03ARWYL,,,,,0,0
46692,Dialog,ARWYL,The dwarves cannot be reasoned with. They slaughter my sisters and chop down our trees. It is as if they are possessed by a kind of madness.,드워프들과는 이성으로 대화할 수 없다. 그들은 내 자매들을 학살하고 우리의 나무를 베어 넘어뜨린다. 마치 광기에 사로잡힌 듯하다.,M3Q3C03ARWYL,,,,,0,0
46693,Dialog,ARWYL,"I bid you welcome, dwarf, for I see you are not of the clan that hunts us and destroys our trees. I am Arwyl, leader of the dryads.","드워프여, 환영하노라. 그대는 우리를 사냥하고 나무를 파괴하는 그 부족이 아님을 알아보았다. 나는 드라이어드의 지도자 아르윌이다.",M3Q3C03ARWYL,m3q3c_arwyl_map,,,vs_nnymphf_055,0,0
46694,Dialog,ARWYL,"For what reason have you sought me out, <race> one? Is there some boon you would ask of me?","무슨 이유로 나를 찾아왔는가, <race>? 내게 바라는 은혜가 있느냐?",M3Q3C03ARWYL,m3q03c03arwyelc1,,,,0,0
46695,Dialog,ARWYL,"I bid you welcome once again, <race> friend.","다시 한 번 환영하노라, <race> 친구여.",M3Q3C03ARWYL,,,,vs_nnymphf_054,0,0
46696,Dialog,ARWYL,"And yet sometimes I feel the dwarves are not solely to blame. I do not speak of this with my sisters, but there are times when... things are not clear, as if I am in a dream or nightmare. ","하지만 때로는 드워프만을 탓할 수 없다는 생각이 든다. 자매들에게는 말하지 않지만, 가끔... 모든 것이 흐릿해져 꿈이나 악몽 속에 있는 듯할 때가 있다.",M3Q3C03ARWYL,,,,,0,0
46697,Dialog,ARWYL,I have dark visions of me and my sisters unleashing our magic on the dwarves and revelling in the slaughter. I cannot help but wonder if we dryads do not sometimes succumb to the same bloodlust as our foe.,나는 나와 자매들이 드워프에게 마법을 퍼부으며 학살을 즐기는 어두운 환영을 본다. 우리 드라이어드 또한 때로 적과 같은 혈기에 굴복하는 것은 아닌지 스스로 묻게 된다.,M3Q3C03ARWYL,,,,,0,0
46698,Dialog,ARWYL,"I... I think not, though it is hard to remember anything else. But within my mind there are fleeting images of a time long, long ago. A time when dwarf and dryad stood side by side.","아... 아니라고 믿고 싶다. 하지만 다른 기억을 떠올리기 어렵다. 내 마음속에는 아주 오래전의, 드워프와 드라이어드가 어깨를 나란히 하던 시절의 아련한 그림들이 스치듯 지나간다.",M3Q3C03ARWYL,,,,,0,0
46699,Dialog,ARWYL,"We were slaves to a terrible master, a monstrous creature of pure evil. Dwarf and nymph alike served this being, and together we dared stand against it.","우리는 끔찍한 주인의 노예였다. 순수한 악으로 빚어진 괴물. 드워프와 님프 모두가 그 존재를 섬겼고, 함께 맞서려 감히 일어섰다.",M3Q3C03ARWYL,,,,,0,0
46700,Dialog,ARWYL,"But the memories are clouded and unclear, a trembling reflection in a muddied pond. Perhaps they are not even real, for it seems as if our war with the dwarves has raged since the dawn of existence.",하지만 기억은 흐릿하고 불명확하다. 흙탕물에 비친 떨리는 반영처럼. 어쩌면 실재하지도 않는 기억일지 모른다. 우리와 드워프의 전쟁이 존재의 새벽부터 계속되어 온 듯 느껴지니까.,M3Q3C03ARWYL,,,,,0,0
46701,Dialog,ARWYL,"Our life is one of endless suffering and hate. We feel the pain of death and the horrors of eternal war, but for us there can be no escape.","우리 삶은 끝없는 고통과 증오의 연속이다. 우리는 죽음의 고통과 영원한 전쟁의 참상을 느끼지만, 우리에게 탈출은 없다.",M3Q3C03ARWYL,,,,,0,0
46702,Dialog,ARWYL,"I know not how we came to be this way, though I know our existence is... wrong. But we know no other life. War, death, rebirth... the cycle shall never end.","왜 우리가 이렇게 되었는지 모르겠다. 다만 우리의 존재가... 잘못되었다는 건 안다. 그러나 다른 삶은 알지 못한다. 전쟁, 죽음, 재탄생... 이 순환은 끝나지 않으리라.",M3Q3C03ARWYL,,,,,0,0
46703,Dialog,ARWYL,"We know no other life but this one of constant, endless war with the dwarves.",우리는 드워프와의 끊임없고 끝없는 전쟁 말고는 다른 삶을 모른다.,M3Q3C03ARWYL,,,,,0,0
46704,Dialog,ARWYL,"This amulet looks... familiar. As if I knew it once long, long ago.","이 호신부는... 낯익다. 아주, 아주 오래전에 내가 알았던 것처럼.",M3Q3C03ARWYL,,,,,0,0
46705,Dialog,ARWYL,"See the inscription on the back? It is written in an old and ancient tongue... yet I know what the words say: ""Tree and forge united, to overthrow the Master."" ","뒤쪽의 글귀가 보이는가? 오래되고 고대의 언어로 쓰였지만... 그 말의 뜻을 나는 안다. ""나무와 대장간이 하나 되어, 주인을 무너뜨리리라.""",M3Q3C03ARWYL,,,,,0,0
46706,Dialog,ARWYL,"I can sense that once this amulet held great magic. The power of nature itself was contained within. But it is cracked, and the magic within it is gone.","한때 이 호신부에는 위대한 마법이 깃들어 있었다. 자연의 힘 그 자체가 담겨 있었지. 하지만 금이 가고, 그 마법은 사라졌다.",M3Q3C03ARWYL,,,,,0,0
46707,Dialog,ARWYL,"Perhaps I could imbue it with the magic of tree and earth, if it were whole. But the amulet is cracked. It must be repaired before I can fill it with magic.",만약 온전하다면 나무와 대지의 마법을 다시 불어넣을 수도 있을 것이다. 그러나 이 호신부는 금이 갔다. 내 마법을 채우기 전에 먼저 수리되어야 한다.,M3Q3C03ARWYL,,,,,0,0
46708,Dialog,ARWYL,"However, metallurgy is beyond the skill of I or my sisters. The dwarves may possess such power, but they will surely attack you on sight if you try to reason with them.","하지만 금속을 다루는 일은 나도 자매들도 할 수 없다. 드워프라면 그런 힘을 지녔을지 모르나, 그들에게 이성을 호소하려 든다면 그대는 보이는 족족 공격을 받을 것이다.",M3Q3C03ARWYL,,,,,0,0
46709,Dialog,ARWYL,I am sorry I can tell you no more of this amulet.,"미안하구나, 이 호신부에 대해 더는 말해 줄 것이 없다.",M3Q3C03ARWYL,,,,,0,0
46710,Dialog,ARWYL,"I sense that this amulet once held great power. The magic of nature itself was contained within. But the magic is now gone, the amulet is cold within my hand.",이 호신부가 한때 거대한 힘을 품었음을 느낀다. 자연의 마법이 깃들어 있었다. 그러나 이제 그 마법은 사라져 내 손안의 호신부는 싸늘하기만 하다.,M3Q3C03ARWYL,,,,,0,0
46711,Dialog,ARWYL,"Perhaps... yes, it is possible for me to restore the magic of tree and earth to this amulet. Prepare yourself.","어쩌면... 그래, 나무와 대지의 마법을 이 호신부에 되살릴 수 있을지도 모른다. 마음을 준비하라.",M3Q3C03ARWYL,,,,,0,0
46712,Dialog,ARWYL,It... it is done. The amulet... is whole again.,됐다... 됐다. 호신부가... 다시 온전해졌다.,M3Q3C03ARWYL,,,,,0,0
