StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
86423,Dialog,ATOMI,"""Well, if it isn't Tomi's very own personal savior! How's it goin'?""","""오, 이게 누구야, 토미의 전담 구세주 아니겠어! 잘 지냈어?""",Q2ATOMI,,,,vs_nx2tomim_66,0,0
86424,Dialog,ATOMI,"""Dyin' makes ya bloody hungry, that's all I gots ta say. Nice ta see ya again, by the way. Thanks for the raise an' all.""","""죽다 살아나면 정말 지독하게 배가 고프다니까. 아무튼 다시 봐서 반갑고, 살려줘서 고마워.""",Q2ATOMI,,,,vs_nx2tomim_67,0,0
86425,Dialog,ATOMI,"""Dyin' makes ya bloody hungry, that's all I gots ta say. So did ya decide you  needs Tomi Undergallows to travel with ya, now?""","""죽다 살아나면 정말 지독하게 배가 고프다니까. 그래서 말인데, 이제 여행 동료로 토미 언더갤로우가 필요해진 건가?""",Q2ATOMI,,,,vs_nx2tomim_68,0,0
86426,Dialog,ATOMI,"""Ha! I knew you'd come around eventually! You hear that, world?! Tomi's back on the road!!""","""하! 역시 언젠간 내게 돌아올 줄 알았지! 들었냐, 세상아?! 토미가 다시 여행길에 오른다!!""",Q2ATOMI,,,,vs_nx2tomim_69,0,0
86427,Dialog,ATOMI,"""Well, I'll be a nekkid monkey's uncle. Did I die again? And I was just about to gut the bloody bastard, too, wouldn't ya know it?""","""젠장, 내가 또 죽은 거야? 하필이면 방금 그 빌어먹을 자식 배를 갈라 주려던 참이었는데!""",Q2ATOMI,,,,vs_nx2tomim_70,0,0
93787,Dialog,ATOMI,"The halfling blinks several times, stares at you with wide and incredulous eyes and then looks around for several confused seconds before finally speaking.",하플링이 몇 번 눈을 깜빡이며 믿기지 않는다는 듯 크고 둥근 눈으로 당신을 바라봅니다. 그러고는 몇 초간 어리둥절하게 주위를 둘러본 뒤에야 마침내 말을 꺼냅니다.,Q2ATOMI,,,,,0,0
93788,Dialog,ATOMI,"""One of these days I'm going to bloody well piss off them death gods for teasin' them all th' time."" He looks at you and blinks again. ""Say, you look familiar.""","""언젠간 저승의 신들이 제대로 열 받겠어, 맨날 그렇게 놀려 먹다 보면 말야."" 그는 당신을 보며 다시 한 번 눈을 깜빡입니다. ""그런데 어디서 본 듯한데?""",Q2ATOMI,,,,,0,0
93789,Dialog,ATOMI,"""Oh, sure, sure. Everybody gots questions. Last time some old hag raised me, she sticks her ugly face right in mine and asks 'where does it hurt?'. 'My eyes!', I screams, 'my eyes!"".","그래, 그래. 다들 질문은 많지. 지난번에 어떤 노파가 날 부활시키더니, 코앞에 얼굴을 들이대고 '어디가 아프니?' 이러더라고. '눈이요!' 내가 소리쳤지, '내 눈!'",Q2ATOMI,,,,,0,0
93790,Dialog,ATOMI,"""Of course, then she goes and casts some spell on me to cure me of bloody blindness. That's the clergy for ya... they never quite gets it, do they?""","""그러고선 내 눈이 멀었다고 치유 주문을 휙- 딱 그거지, 성직자들이란... 이해를 못 해.""",Q2ATOMI,,,,,0,0
93791,Dialog,ATOMI,"""Well, do ya want me to answer your bloody questions or do ya want me to shut me trap? Make up your mind, sheesh.""","""그래서, 피 튀기는 질문에 답을 해줄까, 아니면 입을 다물까? 하나만 골라, 응?""",Q2ATOMI,,,,,0,0
93792,Dialog,ATOMI,"""Yes, that would be nice, wouldn't it? Linu keeps hintin' at that, all polite-like. Strange gal, that. Clumsier than a drunk minotaur.""","""그래, 좋지. 리누도 늘 그렇게 은근슬쩍 귀띔하더라. 참 특이한 아가씨야. 취한 미노타우로스보다 더 서툴러.""",Q2ATOMI,,,,,0,0
93793,Dialog,ATOMI,"""You think that's disrespectful? Gosh, I wouldn't want to tell ya about the time I hit the High Priest of Mask in the head with a giant custard. Boy, that was sweet!""","""그게 버릇없다고 생각해? 세상, 그럼 마스크의 최고 사제 머리에 거대한 커스터드를 던졌던 일은 말 안 하는 게 좋겠네. 아, 그땐 기가 막혔지!""",Q2ATOMI,,,,,0,0
93794,Dialog,ATOMI,"""Well, there ya have it. I rest my case.""","""자, 이 정도면 됐지. 내 말이 맞다니까.""",Q2ATOMI,,,,,0,0
93795,Dialog,ATOMI,"""You says that like it doesn't happen very often. Shoot, I've found myself dead in stranger places than this. That time I died in Hellgate Keep when I was in that dress... now that required some fast talkin'.""","""그게 흔한 일처럼 말하네? 웃기지 마. 난 더 기막힌 곳에서도 죽어봤다고. 지옥문 요새에서 드레스를 입고 죽었을 땐... 혓바닥을 꽤 굴려야 했지.""",Q2ATOMI,,,,,0,0
93796,Dialog,ATOMI,"""But anyway... you looks familiar to me, somehow. You's the daughter of the fella that runs the inn, ain'tcha? Tamsin or somethin', aye?""","""아무튼... 낯이 익은데. 여관 주인 딸 아니야? 이름이... 탐신? 뭐 그런 거였지, 맞지?""",Q2ATOMI,,,,,0,0
93797,Dialog,ATOMI,"""But anyway... you looks familiar to me, somehow. You's that fella who runs the inn, right? Starts with a 'D' or somethin'?""","""아무튼... 낯이 익은데. 너 그 여관 운영하는 그 사람 맞지? ㄷ으로 시작하던데?""",Q2ATOMI,,,,,0,0
93798,Dialog,ATOMI,"""Right, right. And you, ummm... you're the daughter of that fella who runs the inn, ain'tcha? Tamsin or somethin', aye?""","""그래, 그래. 그리고 너는... 그 여관 주인 딸 맞지? 이름이... 탐신? 뭐 그런 거였지, 맞지?""",Q2ATOMI,,,,,0,0
93799,Dialog,ATOMI,"""Right, right. And you, ummm... you're that fella who runs the inn, right? Starts with a 'D' or somethin'?""","""그래, 그래. 그리고 너는... 그 여관 운영하는 그 사람 맞지? ㄷ으로 시작하던데?""",Q2ATOMI,,,,,0,0
93800,Dialog,ATOMI,"""Wait a minute... you're the <man/woman> who's so famous <he/she>'s got everyone's knickers in a twist. I remember, now.""","""잠깐만... 아, 기억났다. 다들 떠들썩하게 만들 정도로 유명한 바로 그 사람이었지.""",Q2ATOMI,,,,,0,0
93801,Dialog,ATOMI,"""Mmm. That would be a no, I take it? You should see me tryin' ta guess some lass's name the mornin' after.""","""흠. 그 말은 곧 '아니오'라는 거지? 하, 다음 날 아침에 아가씨 이름 맞혀보는 내 꼴 보면 아주 웃길 걸.""",Q2ATOMI,,,,,0,0
93802,Dialog,ATOMI,"""Oh, right, the famous one. Well, I guess there's a reason after all why everybody was whisperin' all excited-like that you were showin' up.""","""아, 맞다, 그 유명한 그분. 그래서 다들 네가 온다고 수군대며 들떠 있었구만.""",Q2ATOMI,,,,,0,0
93803,Dialog,ATOMI,"""I guess it don't get much better than bein' saved by a professional, aye? Thanks a bunch. That was real swell of ya.""","""프로한테 구원받는 것보다 더 좋은 게 또 있겠어? 진짜 고맙다. 아주 멋졌어.""",Q2ATOMI,,,,,0,0
93804,Dialog,ATOMI,"""Hey, hey! Bloody well slow down for a minute, will ya? Ya can't just raise a fella and then trot off while he's still figurin' out he's got a heartbeat, ya know.""","""야, 야! 잠깐만 천천히 가면 안 되겠니? 사람 하나 부활시켜 놓고, 이놈의 심장이 다시 뛴다는 걸 알아차리기도 전에 냅다 가버리면 어쩌냐고.""",Q2ATOMI,,,,,0,0
93805,Dialog,ATOMI,"""Eh? I don't bloody know. Let's not give a fella a few moments ta reflect on the fact that he's just cheated death one more time, aye?""","""응? 나도 모르지. 죽음을 또 한 번 속였다는 사실을 곱씹을 시간도 안 주네, 그치?""",Q2ATOMI,,,,,0,0
93806,Dialog,ATOMI,"""Let's not give a fella a few moments ta reflect on the fact that he's just cheated death one more time, aye? Hmph. At any rate, I know what happened to 'em... for the most part.""","""죽음을 또 한 번 속였다는 걸 곱씹을 시간도 안 주네, 그치? 흠. 아무튼 무슨 일이 있었는진... 대충은 알아.""",Q2ATOMI,,,,,0,0
93807,Dialog,ATOMI,"""How do ya think I ended up here? First there was the running, then there was the stabbing."" He rubs his chest absently. ""You sure there's no holes left, still?""","""내가 여기 어떻게 왔을 거 같아? 먼저 죽어라 도망쳤고, 그다음엔 푹- 찔렸지."" 그는 무심코 가슴을 문지릅니다. ""아직 구멍이 남아 있는 건 아니겠지?""",Q2ATOMI,,,,,0,0
93808,Dialog,ATOMI,"""You mean ya don't already know? I would have thought that's why ya brought me back ta life... ta meet the world-famous Tomi Undergallows!""","""설마 아직도 모른다고? 그래서 날 살려낸 줄 알았는데- 세계적으로 유명한 토미 언더갤로우를 만나려고 말이야!""",Q2ATOMI,,,,,0,0
93809,Dialog,ATOMI,"""I see ya don't have any of my friends trottin' around with ya at the moment. Didja happen to find Linu, at least?""","""지금 보니 내 친구들은 하나도 없네. 최소한 리누라도 찾았어?""",Q2ATOMI,,,,,0,0
93810,Dialog,ATOMI,"""You got yourself a point there, aye. Can't say I'm not just a bit glad that ya decided to rescue *me* while you were trottin' around down here.""","""그 말도 일리는 있지. 뭐, 네가 여기서 헤매다 나를 구해 주기로 한 건 꽤 기쁘다, 응?""",Q2ATOMI,,,,,0,0
93811,Dialog,ATOMI,"""Huh. Well, we got away from the drow who were chasin' us, right? An' we found some human slaves down here who naturally begged for our help an' such.""","""흠. 우선 우릴 쫓던 드로우를 따돌렸지. 그러다 여기서 인간 노예들을 발견했고, 걔들이 당연하다는 듯 우리한테 도와달라고 사정했어.""",Q2ATOMI,,,,,0,0
93812,Dialog,ATOMI,"""I didn't really like the look of 'em, but Linu's little heart started bloody bleedin' all over the place an' she just had to help 'em get out somehow.""","""난 영 수상쩍어 보였는데, 리누의 여린 가슴이 또 철철 피를 흘리기 시작해서 말야, 어떻게든 내보내 줘야 한다고 우겼지.""",Q2ATOMI,,,,,0,0
93813,Dialog,ATOMI,"""That's why I came here. According to the slaves, the drow here had some djinni that can activate a portal the slaves were at an' let them out. Don't matter to me none if ya just leaves 'em be, though.""","""그래서 내가 여기 온 거야. 노예들 말로는, 드로우가 지니를 부르는 걸 가지고 있어서 그 지니가 애들이 있는 곳의 차원문을 열어 준다더군. 뭐, 난 걔들을 그냥 두더라도 상관없지만.""",Q2ATOMI,,,,,0,0
93814,Dialog,ATOMI,"""Oh, well that's good. Hopefully she took 'em slaves with her, too. She was so bloody determined ta help 'em it was drivin' me nuts.""","""오, 그럼 다행이네. 그 노예들도 같이 데리고 나갔으면 좋겠는데. 걔들을 도와주겠다고 악착같이 달려드는 바람에 내가 미칠 지경이었거든.""",Q2ATOMI,,,,,0,0
93815,Dialog,ATOMI,"""That's why I came here lookin' for the djinni the drow had, right? An' you can see how that turned out.""","""그래서 난 이 지하에서 드로우가 가진 그 지니를 찾으러 온 거고, 결과가 이 꼴이지.""",Q2ATOMI,,,,,0,0
93816,Dialog,ATOMI,"""Hah! So them slaves did pick her off, just like I thought they would. I warned her, ya know. Ummm... say, why didn't ya bring her back ta life if ya found her?""","""하! 역시 노예들이 리누를 해쳤구만. 내가 경고했지, 알지? 음... 그런데 찾아냈다면 왜 살려주지 않은 거야?""",Q2ATOMI,,,,,0,0
