StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
21717,Dialog,AUCT,"Blasted Vengaul! I've paid good money for some of these things, and now he's late getting the show going!","젠장, 벵골! 이 물건들에 돈을 꽤 썼단 말야, 근데 지금 쇼를 시작도 못 하게 늦었잖아!",M1Q4B01AUCT,,,,,0,0
21718,Dialog,AUCT,"Come on, people! I've stuff to sell! Don't make me carry it all home! There's not going to be an auction.","자, 모두들 좀 움직여! 팔 게 산더미야! 이걸 다 들고 집에 가게 만들지 마! 경매는 없을 거다.",M1Q4B01AUCT,,,,,0,0
21719,Dialog,AUCT,"Would you know a ""special item"" if you saw one? Ah, what do I care? If you have the coins, I'll sell to ya.","""특별한 물건"" 보면 알아보긴 하냐? 에이, 알 게 뭐야. 동전만 있으면 팔지.",M1Q4B01AUCT,,,,,0,0
21720,Dialog,AUCT,"I've a number of things. Would you like weapons, armor, or my miscellaneous goods?","물건이 좀 있어. 무기, 방어구, 아니면 잡화를 볼래?",M1Q4B01AUCT,,,,,0,0
21721,Dialog,AUCT,No time for me. I've got to move this stuff out and go restock. I won't be here forever.,난 한가하지 않아. 이 물건들을 털어내고 재고 채우러 가야 해. 영원히 여기 있진 않아.,M1Q4B01AUCT,,,,,0,0
21722,Dialog,AUCT,"Ah, heck with it. Anyone want to buy some things? I've got Smugglers' Coin specials.","에이, 됐다. 뭐 살 사람? ""밀수꾼의 주화"" 특가도 있어.",M1Q4B01AUCT,,,,,0,0
21723,Dialog,AUCT,"Because my premier item isn't here. Vengaul said he had a great showpiece item for sale, and now he's not here.","내 최고 전시품이 없거든. 벵골이 엄청난 물건이 있다고 해놓고선, 지금은 뿅-없네.",M1Q4B01AUCT,,,,,0,0
21724,Dialog,AUCT,It just isn't worth the fuss of an auction if I don't have something to excite people and drive prices up. ,"사람들 들뜨게 해서 값을 끌어올릴 물건이 없으면, 경매로 난리 칠 가치도 없지.",M1Q4B01AUCT,,,,,0,0
21725,Dialog,AUCT,"I've got to recover costs, so Vengaul can just sit on his ""integral to the plague cure"" item, for all I care.","난 비용부터 건져야 해. 벵골이 말하는 ""역병 치료에 필수""라는 물건 따위는 지가 끼고 앉으라지.",M1Q4B01AUCT,,,,,0,0
21726,Dialog,AUCT,I have a magical breastplate. It's medium armor for 15 Smugglers' Coins.,"마법의 가슴판갑가 있어. 평장 갑옷이고 가격은 ""밀수꾼의 주화"" 15개.",M1Q4B01AUCT,,,,,0,0
21727,Dialog,AUCT,I've a magic double axe. It's an exotic weapon. It's very nice. It's 15 Smugglers' Coins.,"마법의 쌍날도끼가 있어. 이국적인 무기야. 아주 좋아. 가격은 ""밀수꾼의 주화"" 15개.",M1Q4B01AUCT,,,,,0,0
21728,Dialog,AUCT,"I've a magical cloak, which was made by the nymphs and a steal at 14 Smugglers' Coins.","님프들이 만든 마법 망토도 있어, ""밀수꾼의 주화"" 14개면 거저지.",M1Q4B01AUCT,,,,,0,0
21729,Dialog,AUCT,"I've a magic longsword. It's a martial weapon, and is very nice. It's 10 Smugglers' Coins.","마법의 장검이 있어. 군용 무기고, 상태 아주 좋아. 가격은 ""밀수꾼의 주화"" 10개.",M1Q4B01AUCT,,,,,0,0
21730,Dialog,AUCT,I've a magic morning star. It's a simple weapon and is quite nice. It's 5 Smugglers' Coins.,"마법의 가시철퇴가 있어. 단순한 무기고 꽤 괜찮아. 가격은 ""밀수꾼의 주화"" 5개.",M1Q4B01AUCT,,,,,0,0
21731,Dialog,AUCT,"So, would you like to make a purchase?","그래서, 하나 살래?",M1Q4B01AUCT,,,,,0,0
21732,Dialog,AUCT,"I've no weapons left. Something else, perhaps?",무기는 다 나갔다. 다른 걸로 할래?,M1Q4B01AUCT,,,,,0,0
21733,Dialog,AUCT,Excellent. Would you like something else?,아주 좋아. 더 볼래?,M1Q4B01AUCT,m1q4auctsella,,,,0,0
21734,Dialog,AUCT,"I have no armor left. Something else, perhaps?",방어구는 없어. 다른 걸로 할래?,M1Q4B01AUCT,,,,,0,0
21735,Dialog,AUCT,I have a magical shield for 9 Smugglers' Coins.,"마법의 방패가 있어. ""밀수꾼의 주화"" 9개.",M1Q4B01AUCT,,,,,0,0
21736,Dialog,AUCT,"I have a suit of magical leather, which is a lovely suit of light armor for 5 Smugglers' Coins.","마법의 가죽 갑옷 한 벌 있어. 보기 좋은 경갑이고 ""밀수꾼의 주화"" 5개.",M1Q4B01AUCT,,,,,0,0
21737,Dialog,AUCT,"So, what would you like?","그럼, 뭘로 할래?",M1Q4B01AUCT,,,,,0,0
21738,Dialog,AUCT,"I've a magical sash, look at it shimmer. It's a good deal at 6 Smugglers' Coins.","마법의 띠가 있어, 반짝이는 것 좀 봐. ""밀수꾼의 주화"" 6개면 좋은 거래야.",M1Q4B01AUCT,,,,,0,0
