StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
104663,Dialog,AZESYYR,"""Back again, <FullName>? Have you thought about my offer? Are you willing to assassinate my mother so that I can become the Matron of House Maeviir?""","""또 왔군요, <FullName>? 내 제안을 생각해 봤나요? 내가 마에비르 가문의 대모가 되도록, 내 어머니를 암살할 의향이 있습니까?""",Q2AZESYYR,,,,,0,0
104664,Dialog,AZESYYR,"This female drow appears younger than many of the others in the camp, though it is obvious from her bearing that she is a person of importance.","이 드로우 여성은 진영의 다른 이들보다 젊어 보이지만, 태도만 봐도 상당한 중요 인물임을 알 수 있습니다.",Q2AZESYYR,,,,,0,0
104665,Dialog,AZESYYR,"""So you are the <CUSTOM500> the Seer has put her faith in? <FullName>, isn't it? My name is Zesyyr... only daughter and sole surviving heir to Matron Myrune of House Maeviir.""","""그 선견자가 신뢰를 건 <CUSTOM500>가 바로 당신인가요? <FullName>, 맞죠? 내 이름은 제시르... 마에비르 가문의 미룬 대모의 외동딸이자 유일하게 생존한 상속자랍니다.""",Q2AZESYYR,,,,,0,0
104666,Dialog,AZESYYR,"""I was hoping you would come to see me, <FullName>. I have an offer for you, but it would draw too much attention if I had sought you out. But since you've stumbled over to me...""","""당신이 찾아오길 바랐어요, <FullName>. 제안이 있는데, 내가 먼저 가면 눈에 띌 테니까요. 그런데 이렇게 제게 발을 들였으니...""",Q2AZESYYR,nw_d1_talklevel,,,,0,0
104667,Dialog,AZESYYR,"""House Maeviir - my house - has fallen on hard times. Matron Myrune, my mother, has brought us to the very brink of destruction. Many believe it is time for a change. Many believe I should rule.""","""내 가문인 마에비르 가문은 궁지에 몰렸어요. 내 어머니 미룬 대모는 우리를 파멸 직전까지 몰아붙였죠. 이제 변화를 원한다는 목소리가 큽니다. 내가 다스려야 한다는 목소리도요.""",Q2AZESYYR,,,,,0,0
104668,Dialog,AZESYYR,"""Of course, my mother is no fool. She understands the danger I represent, which is why she exiled me from the tower where she now dwells. She thinks she's safe inside the high walls.""","""물론, 어머니가 바보는 아니니까요. 내가 위협이 된다는 걸 알아챘고, 그래서 지금 자신이 머무는 탑에서 날 내쫓았습니다. 높은 성벽 안이라면 안전하다고 생각하는 거죠.""",Q2AZESYYR,,,,,0,0
104669,Dialog,AZESYYR,"""But she underestimated me. I have more support than she knows, and all I need to complete my coup is an assassin powerful enough to kill her and her bodyguard.""","""하지만 절 과소평가했어요. 어머니가 아는 것보다 제 편이 많습니다. 지금 쿠데타를 완성하려면, 어머니와 그녀의 경호원을 쓰러뜨릴 만큼 강한 암살자만 있으면 돼요.""",Q2AZESYYR,act_zesyyr_1,,,,0,0
104670,Dialog,AZESYYR,"She sighs. ""This is an excellent opportunity, <FullName>. You'd be a fool to throw it away. Come speak to me again if you change your mind.""","그녀는 한숨을 쉽니다. ""절호의 기회예요, <FullName>. 이걸 걷어차면 바보죠. 마음이 바뀌면 다시 오세요.""",Q2AZESYYR,,,,,0,0
104671,Dialog,AZESYYR,"""There are the usual compensations, of course: gold or powerful magic items. But helping me is also in your best interests... and the interests of the Seer.""","""보상은 통상대로 금화나 강력한 마법 아이템이지요. 하지만 절 돕는 일은 당신에게도-그리고 선견자에게도-이익이 됩니다.""",Q2AZESYYR,,,,,0,0
104672,Dialog,AZESYYR,"""You are quick to condemn me, <FullName>, but you don't have all the facts. You shouldn't judge me until you know the whole story."" ","""성급히 단죄하시는군요, <FullName>. 아직 전말을 다 알지도 못하면서요. 모든 걸 알기 전에는 판단하지 않는 게 좋을 겁니다.""",Q2AZESYYR,,,,,0,0
104673,Dialog,AZESYYR,"""I know my mother. She doesn't believe we can defeat the Valsharess, and she's afraid. Do you really believe she will fight by the Seer's side when the Valsharess attacks?""","""전 제 어머니를 잘 알아요. 그녀는 우리가 발샤레스를 이길 거라 믿지 못하고, 두려움에 사로잡혀 있죠. 발샤레스가 공격하면 정말 선견자 곁에서 싸울 거라 생각하나요?""",Q2AZESYYR,,,,,0,0
104674,Dialog,AZESYYR,"""Matron Myrune will betray your Seer the first chance she gets. I, however, actually believe we can defeat the Valsharess. I won't turn on my allies at the first sign of trouble.""","""미룬 대모는 기회만 보이면 당신의 선견자를 배신할 겁니다. 하지만 전 발샤레스를 이길 수 있다고 믿어요. 첫 어려움에 동맹을 등지진 않겠죠.""",Q2AZESYYR,,,,,0,0
104675,Dialog,AZESYYR,"""The plan is simple enough. I will give you my signet ring. Take this to the guards outside my mother's tower to the north... they have already sworn their allegiance to me.""","""계획은 간단해요. 내 인장 반지를 드리죠. 이걸 가지고 북쪽에 있는 어머니의 탑 경비들에게 가세요... 그들은 이미 제게 충성을 맹세했습니다.""",Q2AZESYYR,,,,,0,0
104676,Dialog,AZESYYR,"""Show them the ring and they will let you into the tower while they summon my mother and her guard Tebimar. When they arrive, kill them.""","""반지를 보여 주면 그들이 당신을 탑 안으로 들이는 동안, 어머니와 경호원 테비마르를 불러올 겁니다. 오면 죽이세요.""",Q2AZESYYR,,,,,0,0
104677,Dialog,AZESYYR,"""If you do this, I will see you are amply rewarded: 20,000 gold pieces, not to mention the knowledge that House Maeviir will stand with you when the Valsharess comes.""","""그렇게 하면 넉넉히 보상하죠. 금화 20,000개에 더해, 마에비르 가문이 발샤레스와 맞설 때 당신 편에 설 거라는 확신까지요.""",Q2AZESYYR,,,,,0,0
104678,Dialog,AZESYYR,"""Do you think I'm some merchant you can barter with, <FullName>? No, I'm Zesyyr Maeviir, soon to be a Matron Mother! My fee is not negotiable.""","""내가 흥정하라고 내민 상인으로 보이나요, <FullName>? 난 곧 대모가 될 제시르 마에비르입니다! 내 보수는 협상 대상이 아니에요.""",Q2AZESYYR,,,,,0,0
104679,Dialog,AZESYYR,"The drow smiles, and you can't help but feel a chill. ""Excellent. Take my signet ring and show it to the guards by the tower to the north. After that, the rest is up to you.""","드로우가 미소 짓습니다. 등골이 서늘해지는 기분을 지울 수 없습니다. ""훌륭해요. 내 인장 반지를 가져가 북쪽 탑의 경비들에게 보여 주세요. 그다음부터는 당신 몫입니다.""",Q2AZESYYR,q2azesacceptx,,,,0,0
104680,Dialog,AZESYYR,"Satisfied that she has what she wants from you, Zesyyr dismisses you with a simple wave of her hand.",원하던 것을 얻었다고 여긴 제시르는 손을 한 번 휘저어 당신을 가볍게 내보냅니다.,Q2AZESYYR,,,,,0,0
104683,Dialog,AZESYYR,"""Consider this, <FullName>: Matron Myrune has lost her ambition, she would rather serve the Valsharess than die. I still have my ambition, and I won't bow so easily before our common enemy."" ","""생각해 보세요, <FullName>. 미룬 대모는 패기가 식었습니다. 차라리 발샤레스를 섬기고자 하겠죠. 하지만 난 아직 야망이 있고, 우리의 공적 앞에 그렇게 쉽게 무릎 꿇지 않아요.""",Q2AZESYYR,,,,,0,0
104684,Dialog,AZESYYR,"""Matron Myrune already suspects I am plotting against her. But rumors and hearsay aren't enough to make her act. She can't kill off her last surviving heir without indisputable proof.""","""어머니는 내가 음모를 꾸민다는 의심을 하고 있죠. 하지만 소문과 풍문만으로는 움직일 수 없습니다. 마지막 남은 상속자를 확실한 증거 없이 쳐 없앨 순 없거든요.""",Q2AZESYYR,,,,,0,0
104685,Dialog,AZESYYR,"""If you were to tell her what I told you, it would just be another unsubstantiated rumor. She's not going to move against me based on anything you tell her.""","""내가 방금 한 이야기를 그대로 전한다 해도 또 하나의 근거 없는 소문일 뿐이에요. 당신의 말만으로 날 치려고 들진 않을 겁니다.""",Q2AZESYYR,,,,,0,0
104686,Dialog,AZESYYR,"She laughs. ""Surely you aren't surprised? This is the way of the drow. The Matron Mothers raise their daughters knowing full well we are scheming to replace them as soon as we come of age.""","그녀가 웃습니다. ""놀랄 일도 아니죠? 이게 드로우의 방식입니다. 대모들은 우리가 장성하는 즉시 자신을 몰아낼 음모를 꾸미리라는 걸 알면서 딸들을 키우거든요.""",Q2AZESYYR,,,,,0,0
104689,Dialog,AZESYYR,"""She may have kicked me out, but she underestimated me. I have more support than she knows, and all I need to complete my coup is an assassin powerful enough to kill her and her bodyguard."" ","""날 쫓아냈을지라도 절 과소평가했어요. 제 편은 어머니가 아는 것보다 많습니다. 지금 쿠데타를 완성하려면, 어머니와 그녀의 경호원을 죽일 만큼 강한 암살자만 있으면 되죠.""",Q2AZESYYR,act_zesyyr_1,,,,0,0
104692,Dialog,AZESYYR,"""Don't throw your god in my face! We can't all run away to the surface; some of us have to survive down here in the Underdark. And that means plotting to assure my own future.""","""내게 신을 들이대지 마세요! 모두가 지상으로 도망칠 수는 없어요. 어떤 이들은 언더다크에서 살아남아야 하죠. 그러려면 자신의 미래를 위해 음모를 꾸미는 수밖에요.""",Q2AZESYYR,,,,,0,0
104693,Dialog,AZESYYR,"""My mother thinks I am no longer a threat, but I have more support than she knows. All I need to complete my coup is an assassin powerful enough to kill her and her bodyguard.""","""어머니는 더는 내가 위협이 아니라고 생각하겠지만, 제 편은 그녀가 아는 것보다 많아요. 쿠데타를 완성하려면 어머니와 경호원을 죽일 암살자만 있으면 됩니다.""",Q2AZESYYR,act_zesyyr_1,,,,0,0
104694,Dialog,AZESYYR,"""What are you doing back here, <FullName>? People will grow suspicious if they see us talking so often.""","""여긴 왜 다시 온 거죠, <FullName>? 우리가 자주 대화하는 걸 보면 의심받게 됩니다.""",Q2AZESYYR,,,,,0,0
104695,Dialog,AZESYYR,"""Go speak to the guards outside the tower. They will let you in to assassinate my mother. Hurry, you must act quickly... for all our sakes.""","""탑 밖의 경비들에게 가세요. 그들이 어머니를 암살하러 들여보낼 겁니다. 서두르세요, 모두를 위해 시간이 없어요.""",Q2AZESYYR,,,,,0,0
104696,Dialog,AZESYYR,"The drow shakes her head. ""No, that wouldn't be a good idea. If people see us speaking too often, my mother will grow suspicious and more careful. We have to act as soon as possible.""","드로우가 고개를 젓습니다. ""아니요, 그건 좋지 않아요. 우릴 자주 본다면 어머니가 의심하고 더 조심스러워질 겁니다. 가능한 한 빨리 움직여야 해요.""",Q2AZESYYR,,,,,0,0
104697,Dialog,AZESYYR,"""Very well, but make them quick. If we are seen conversing too often, my mother might grow suspicious and have you eliminated. Then I'll need to find another assassin.""","""좋아요, 하지만 질문은 짧게 하죠. 우리가 자주 대화하는 걸 보면 어머니가 의심하고, 당신을 제거하라고 명할지도 몰라요. 그럼 다른 암살자를 찾아야 하니까.""",Q2AZESYYR,,,,,0,0
104698,Dialog,AZESYYR,"Zesyyr sighs and shakes her head. ""I'm beginning to wonder if I made a mistake choosing you to be my agent. Listen closely this time and I'll explain it again.""","제시르는 한숨을 쉬며 고개를 젓습니다. ""당신을 심복으로 고른 게 실수였나 싶은데요. 이번엔 잘 듣고, 다시 설명할게요.""",Q2AZESYYR,,,,,0,0
104699,Dialog,AZESYYR,"""The plan is simple enough. Take my signet ring to the guards outside my mother's tower to the north... they have already sworn their allegiance to me.""","""계획은 간단합니다. 내 인장 반지를 가지고 북쪽의 어머니 탑 경비들에게 가세요... 그들은 이미 제게 충성을 맹세했습니다.""",Q2AZESYYR,,,,,0,0
104700,Dialog,AZESYYR,"""Show them the ring and they will let you into the tower while they summon my mother and her guard Tebimar. When they arrive, kill them.""","""반지를 보여 주면 그들이 당신을 탑 안으로 들이는 동안, 어머니와 경호원 테비마르를 불러올 겁니다. 오면 죽이세요.""",Q2AZESYYR,,,,,0,0
104701,Dialog,AZESYYR,"""No, <FullName>, I don't think we do. We have agreed on our price: 20,000 gold. I'm not about to start bartering with you now; it is beneath me.""","""아니요, <FullName>, 우리 사이의 값은 정해졌죠. 금화 20,000. 이제 와서 흥정을 시작하라니요-내 격에 맞지 않습니다.""",Q2AZESYYR,,,,,0,0
104702,Dialog,AZESYYR,"""I've given you my signet ring, and now I expect you to fulfill your end of the bargain.""","""내 인장 반지는 드렸어요. 이제는 당신이 약속을 이행할 차례입니다.""",Q2AZESYYR,,,,,0,0
104703,Dialog,AZESYYR,"""Do you really think she'll believe you? A <CUSTOM500> from the surface? Rumors of my plots and schemes are commonplace. She dismisses them out of hand.""","""정말 그분이 믿어 줄 거라 생각해요? 지상에서 온 <CUSTOM500>의 말을? 내 음모에 관한 소문은 흔합니다. 그녀는 대수롭지 않게 흘려버리죠.""",Q2AZESYYR,,,,,0,0
104704,Dialog,AZESYYR,"""And even if she did heed your warning, she's more likely to kill you than me. I'm her last surviving daughter, whereas you're just a would-be assassin.""","""설령 경고를 듣는다 해도, 날 죽이기보다 당신을 죽일 확률이 더 높아요. 난 마지막으로 남은 딸이지만, 당신은 그저 될지도 모를 암살자일 뿐이니.""",Q2AZESYYR,,,,,0,0
104705,Dialog,AZESYYR,"""I'm her last surviving heir. If she has me killed, the bloodline of House Maeviir dies with me. She isn't willing to take such a drastic step... not without proof of my plotting.""","""난 마지막 생존 상속자예요. 날 죽이면 마에비르 가문의 혈통은 여기서 끝나요. 그런 극단적 조치를 증거 없이 취하진 못하겠죠.""",Q2AZESYYR,,,,,0,0
104706,Dialog,AZESYYR,"""She may have her suspicions, and she may have heard rumors and hearsay. But she's afraid to act, and that will be her undoing. By the time she realizes her mistake, it will be too late.""","""의심은 하겠죠, 소문도 들었을 테고요. 하지만 움직이기 두려워하는 그 겁이, 결국 어머니의 발목을 잡을 겁니다. 깨달을 땐 너무 늦었을 테니.""",Q2AZESYYR,,,,,0,0
104707,Dialog,AZESYYR,"""You mean apart from the fact that you already promised to do so? Very well, consider this: Mother Myrune doesn't believe we can defeat the Valsharess.""","""이미 하기로 약속한 것 말고요? 좋아요, 이건 어때요. 어머니 미룬은 우리가 발샤레스를 이길 수 있다고 믿지 않아요.""",Q2AZESYYR,,,,,0,0
104708,Dialog,AZESYYR,"""She will turn on you and the Seer at the earliest opportunity, then go crawling to the Valsharess on her belly begging to get back in her good graces. But I have the ambition she lacks.""","""그녀는 틈만 나면 당신과 선견자를 등지고, 배로 발샤레스에게 기어가 그녀의 비위를 맞추려 들겠죠. 하지만 전 그녀에게 없는 야망이 있습니다.""",Q2AZESYYR,,,,,0,0
104709,Dialog,AZESYYR,"""I won't grovel before the Valsharess. I will stand against her. With me as Matron Mother, you can count on House Maeviir to remain true to your cause.""","""난 발샤레스 앞에 엎드리지 않을 겁니다. 맞서 설 거예요. 내가 대모가 되면, 마에비르 가문이 당신의 대의에 끝까지 충실할 겁니다.""",Q2AZESYYR,,,,,0,0
