StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
40836,Creature,Aarin Gend,Aarin,아린,AARINGEND3Q11|M2Q1CAARIN|M4Q01A04AARI,,,,,0,0
40837,Creature,Aarin Gend,Gend,겐드,AARINGEND3Q11|M2Q1CAARIN|M4Q01A04AARI,,,,,0,0
47693,Creature,Aarin Gend,"These are indeed dark times, <FullName> - though not so dark as Lord Nasher portrays them. The people of Neverwinter are made of sterner stuff than any of us imagine.","분명 지금은 암운이 짙은 때입니다, <FullName>. 하지만 어떤 이들이 생각하는 것만큼 어둡지는 않지요... 네버윈터의 시민은 우리 상상보다 훨씬 강인합니다.",M4Q01A04AARI,,,,vs_ngendm_516,0,0
47694,Creature,Aarin Gend,"You should speak to Haedraline before you go, <FirstName>. Maybe she will tell you something about the Source Stone or the Words of Power.","떠나기 전 하에드랄린과 이야기를 나눠 보십시오, <FirstName>. 그녀라면 근원석이나 권능의 언령에 관해 뭔가를 알려 줄지도 모릅니다.",M4Q01A04AARI,,,,vs_ngendm_567,0,0
47695,Creature,Aarin Gend,She arrived here shortly after the third Word of Power was delivered to Castle Never. Lord Nasher suspected she was a spy and had her imprisoned in the dungeons.,그녀는 세 번째 권능의 언령이 발견되고 얼마 지나지 않아 이곳에 도착했습니다... 나셰르 영주님은 그녀를 첩자로 의심하여 지하 감옥에 가두었습니다.,M4Q01A04AARI,,,,vs_ngendm_520,0,0
47696,Creature,Aarin Gend,"After Aribeth's betrayal he has grown overly cautious, and I fear it has made Haedraline mistrustful of us. She did tell us about the Source Stone beneath the castle, but nothing beyond that.","아리베스의 배신 이후 나셰르 영주님은 지나치게 신중해졌고, 그녀에게서 알아낸 건 성 아래의 근원석에 관한 단편뿐입니다. 그 이상은 듣지 못했습니다.",M4Q01A04AARI,,,,vs_ngendm_521,0,0
47697,Creature,Aarin Gend,Maybe you could try speaking to her. She trusts you. And I sense there's something important she's not telling us about the Words of Power and that Source Stone.,당신이라면 그녀와 말이 통할지도 모릅니다. 그녀는 당신을 신뢰합니다. 그리고 제 생각엔 그녀가 권능의 언령과 그 근원석에 대해... 우리에게 말하지 않은 것이 있는 듯합니다.,M4Q01A04AARI,,,,vs_ngendm_522,0,0
47698,Creature,Aarin Gend,She's locked away in the castle dungeon. Just head south and down the stairs.,그녀는 성의 지하 감옥에 갇혀 있습니다. 남쪽으로 가서 계단을 내려가십시오.,M4Q01A04AARI,,,,vs_ngendm_523,0,0
47699,Creature,Aarin Gend,"You must speak with Lord Nasher first, <FirstName>.","먼저 나셰르 영주님과 면담하셔야 합니다, <FirstName>.",M4Q01A04AARI,,,,vs_ngendm_570,0,0
47700,Creature,Aarin Gend,"Yes, <FirstName> - there is still much that must be done if Neverwinter is to be saved.","맞습니다, <FirstName>. 네버윈터를 구하려면 아직 할 일이 많습니다.",M4Q01A04AARI,,,,vs_ngendm_569,0,0
