StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
20381,Creature,Audience Member,"Oh, you must be one of those new guards, yes? Good luck to you, <sir/madam>.","오, 새로 온 경비 중 한 분이시죠? 행운을 빕니다, 선생님.",M1Q3ALISTEN,nw_d1_ctr01,,,,0,0
20382,Creature,Audience Member,The Wailing Death has claimed so many lives. It's such a waste.,울부짖는 죽음 역병이 너무도 많은 목숨을 앗아갔어요. 참으로 비극이에요.,M1Q3ALISTEN,nw_d1_ctr01,,,,0,0
20383,Creature,Audience Member,Stay away from me! You look like the sort who might carry the plague. ,저리 가요! 역병을 옮길 사람처럼 생겼군요.,M1Q3ALISTEN,nw_d1_ctr01,,,,0,0
20384,Creature,Audience Member,Why are you wearing no clothes? You look as foolish as Formosa acts.,왜 옷도 안 입고 다녀요? 포르모사가 설치는 것만큼이나 우스꽝스럽네요.,M1Q3ALISTEN,nw_d1_ctr01,,,,0,0
20385,Creature,Audience Member,Eh? Are you some naked clown the Formosa girl has hired?,엥? 포르모사 아가씨가 고용한 벌거벗은 광대라도 되나요?,M1Q3ALISTEN,nw_d1_ctr02,,,,0,0
20386,Creature,Audience Member,"Oh, look... someone's running about the square without their clothes on.",저 사람 좀 봐요... 누가 옷도 안 입고 광장을 뛰어다니네요.,M1Q3ALISTEN,nw_d1_ctr03,,,,0,0
20387,Creature,Audience Member,"Oh, stop waving that about, will you? I won't be intimidated.","아, 그거 그만 흔들어 대겠어요? 난 겁먹지 않아요.",M1Q3ALISTEN,nw_d1_ctr01,,,,0,0
20388,Creature,Audience Member,"Must you walk about with your weapon flashing everywhere, hmm?","무기를 번쩍이며 여기저기 돌아다녀야겠어요, 응?",M1Q3ALISTEN,nw_d1_ctr02,,,,0,0
20389,Creature,Audience Member,"Oh, do put that away, will you?","아, 그거 좀 집어넣어 주세요.",M1Q3ALISTEN,nw_d1_ctr03,,,,0,0
20390,Creature,Audience Member,"You wouldn't happen to have any news from outside the district, my good <man/woman>, would you?",혹시 지구 밖 소식이 있습니까?,M1Q3ALISTEN,nw_d1_ctr02,,,,0,0
