StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
60173,Dialog,BDEATH,"Greetings, my <lord/lady>. Such a hero as yourself is welcome within these halls. Aarin Gend has asked me to aid you in your cause.","모험가님, 잘 오셨습니다. 그대와 같은 영웅이라면 이 전당에서 환영받으십니다. 아린 겐드가 그대의 대의를 돕도록 제게 요청했습니다.",M2Q6BDEATH,,,,,0,0
60174,Dialog,BDEATH,"I have erected a teleportation portal here similar to the one in Port Llast, and have attuned myself to the Stone of Recall you carry.","여기 라스트 항구의 그것과 비슷한 순간이동 차원문을 세웠고, 그대가 지닌 귀환석에 제 힘을 맞추어 두었습니다.",M2Q6BDEATH,,,,,0,0
60175,Dialog,BDEATH,"I would gladly help you, my <lord/lady>... but most of my power has been used to erect the portal and maintain the spell on the Stone of Recall. I am sure the other clerics here can aid you.","기꺼이 도와드리고 싶습니다, 모험가님... 하지만 제 힘 대부분을 차원문을 세우고 귀환석의 주문을 유지하는 데 써 버렸습니다. 대신 이곳의 다른 성직자들이 도움을 드릴 수 있을 것입니다.",M2Q6BDEATH,,,,,0,0
60176,Dialog,BDEATH,"I am Alaya, a cleric here at Luskan's temple of Tyr.","저는 아라야, 러스칸의 티르 사원에서 근무하는 성직자입니다.",M2Q6BDEATH,,,,,0,0
60177,Dialog,BDEATH,Has this never been explained to you? The Stone of Recall you carry will teleport you and anyone in your service back here to this temple when it is activated.,"설명이 안 되었던가요? 그대가 지닌 귀환석을 활성화하면, 그대와 그대의 휘하 일행이 곧바로 이 사원으로 되돌아오게 됩니다.",M2Q6BDEATH,,,,,0,0
60178,Dialog,BDEATH,"What is more, when you activate the Stone of Recall here, it will take you and the people with you back to the last place you used it.","게다가 이곳에서 귀환석을 활성화하시면, 마지막으로 그 돌을 사용하셨던 곳으로 그대와 동행자들이 다시 돌아가게 됩니다.",M2Q6BDEATH,,,,,0,0
60179,Dialog,BDEATH,It should save you and any companions you may have considerable time in the future should you ever wish to return here quickly.,"이 덕분에, 훗날 그대가 신속히 이곳으로 돌아오고자 할 때 그대와 동료들의 시간을 크게 아끼실 수 있을 것입니다.",M2Q6BDEATH,,,,,0,0
60180,Dialog,BDEATH,"Do you know where you are? This is the temple of Tyr in Luskan. I have returned your soul from the brink of death, though it was not an easy task.","여기가 어디인지 아시겠습니까? 여기는 러스칸의 티르 사원입니다. 그대의 영혼을 죽음의 문턱에서 되돌려 왔습니다만, 쉽지 않은 일이었습니다.",M2Q6BDEATH,,,,,0,0
60181,Dialog,BDEATH,"Farewell, my <lord/lady>. Tyr's blessing upon you.","안녕히 가십시오, 모험가님. 티르의 가호가 그대와 함께하시길.",M2Q6BDEATH,,,,,0,0
60182,Dialog,BDEATH,"I can certainly do that, my <lord/lady>... but whatever danger caused you to arrive here still remains where it was. It would be unfortunate to have you return too soon.","물론 그렇게 해 드릴 수 있습니다, 모험가님... 다만 그대를 이곳으로 오게 만든 위험은 여전히 그 자리에 남아 있습니다. 너무 성급히 돌아가시면 곤란할 수 있습니다.",M2Q6BDEATH,,,,,0,0
