StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
32379,Dialog,BINN,Good day to you. Always a pleasure to see a fellow <Race> here at the Alliance Arms Inn. How can I be of service to you my friend?,"안녕하세요. 연합군 여관에서 같은 <Race>를 뵙게 되어 반갑습니다. 무엇을 도와드리면 될까요, 친구분?",M2Q1BINN,,,,,0,0
32380,Dialog,BINN,"Oh grand, another barbarian. I guess I can allow you to stay, but do try to be careful with the furniture. You do know what furniture is... oh forget it. How can I help you?","오, 훌륭해라, 또 야만전사군요. 묵게는 해 드리죠. 다만 가구는 조심해 주시길. 가구가 뭔지는... 됐습니다. 무엇을 도와드릴까요?",M2Q1BINN,,,,,0,0
32381,Dialog,BINN,"Servants of the gods are awarded special treatment here at the Alliance Arms Inn. How may I be of service to you, <Master/Mistress>?","신을 섬기는 분들은 이곳 연합군 여관에서 특별 대우를 받습니다. 무엇을 도와드리면 될까요, 모험가님?",M2Q1BINN,,,,,0,0
32382,Dialog,BINN,Welcome! The Alliance Arms Inn is fortunate indeed to be visited by such heroic folk as yourself <lord/lady>. How may a humble innkeep be of service to you?,환영합니다! 이렇게 위대한 영웅이 찾아주시다니 연합군 여관의 영광입니다. 소박한 여관주인이 무엇을 해 드리면 될까요?,M2Q1BINN,,,,,0,0
32383,Dialog,BINN,"Welcome to the Alliance Arms Inn. It is a pleasure to serve a hero at my humble establishment. Is there anything I can get for you, <sir/madam>?","연합군 여관에 오신 걸 환영합니다. 제 소박한 여관에서 영웅을 모시게 되어 기쁩니다. 무엇을 가져다드릴까요, 모험가님?",M2Q1BINN,,,,,0,0
32384,Dialog,BINN,What do you want? Even if you are a hero I still expect you to conduct yourself properly if you want to stay here. I have a reputation to uphold. ,무슨 용무시죠? 영웅이라도 여기 머물려면 예의를 지키셔야 합니다. 제 명성이 달려 있거든요.,M2Q1BINN,,,,,0,0
32385,Dialog,BINN,"Only 5 gold pieces for a quality room. I assure you, it will be a peaceful sleep after a hard day.",질 좋은 방이 금화 5개면 됩니다. 고된 하루 뒤에도 평온히 주무실 겁니다.,M2Q1BINN,,,,,0,0
32386,Dialog,BINN,"Well, you certainly look much more relaxed. Ready to get back to another day of adventuring I'm sure. Is there anything else I can do for you?",이제 한결 편안해 보이시네요. 또 하루 모험을 나설 준비가 되셨겠죠. 다른 도움 드릴까요?,M2Q1BINN,,,,,0,0
32387,Dialog,BINN,"My, my, we do have a delightful way of speaking, don't we? I do hope you know how to use the chamber pot. I hate having to change soiled sheets.","어휴, 말씀 참 '근사'하시네요. 요강 쓰는 법은 아시겠죠? 더럽혀진 시트를 갈아 치우는 건 질색이거든요.",M2Q1BINN,,,,,0,0
32388,Dialog,BINN,"Ah... yes, so sorry <sir/madam>.","아... 예, 죄송합니다, 모험가님.",M2Q1BINN,,,,,0,0
32389,Dialog,BINN,Your pardon.,무례를 용서하시길.,M2Q1BINN,,,,,0,0
32390,Dialog,BINN,"(sigh) Just don't waste too much of my time. I am very busy, <sir/madam>.","(한숨) 제 시간을 너무 낭비하진 마세요. 아주 바쁩니다, 모험가님.",M2Q1BINN,,,,,0,0
32391,Dialog,BINN,I'll do my best <sir/madam>.,"최선을 다하겠습니다, 모험가님.",M2Q1BINN,,,,,0,0
32392,Dialog,BINN,There has been trouble throughout the north this past while. Between plagues and werewolves a man can hardly step foot outside his inn.,"요즘 북쪽 전역이 뒤숭숭하죠. 역병에 늑대인간까지 겹쳐서, 여관 밖으로 발도 못 내밀 지경입니다.",M2Q1BINN,,,,,0,0
32393,Dialog,BINN,"It's over, of course, but I don't know that the effects have entirely passed. Looters and bandits are always a problem, but nature also seems to feel the repercussions of something that severe.","지금은 끝났다고는 하지만, 여파가 완전히 가신 것 같진 않군요. 약탈자와 산적은 늘 문제고, 자연 또한 그만큼 큰 사태의 반동을 겪는 듯합니다.",M2Q1BINN,,,,,0,0
32394,Dialog,BINN,I've been hearing about strange things from Neverwinter Wood. Of course that might just be completely unrelated.,네버윈터 숲에서 기이한 일들이 벌어진다는 얘길 들었습니다. 물론 전혀 무관할 수도 있지요.,M2Q1BINN,,,,,0,0
32395,Dialog,BINN,"It's just that there is this ranger, Ballard, who was talking about it here the other day. He seemed to be quite disturbed.",며칠 전 여기서 순찰자 발라드가 그런 이야기를 하더군요. 꽤나 불안해 보였습니다.,M2Q1BINN,,,,,0,0
32396,Dialog,BINN,If you want to know more I would ask Ballard. He's camped in a grove of trees to the north east of the inn.,더 알고 싶으시면 발라드에게 물어보세요. 여관 북동쪽 수풀에 야영을 하고 있습니다.,M2Q1BINN,,,,,0,0
32397,Dialog,BINN,"Hmm, as you wish.","흠, 좋을 대로 하시죠.",M2Q1BINN,,,,,0,0
32398,Dialog,BINN,"It may be over, but there are some who suggest that the effects might be more wide-spread than just making people sick.","끝났다고는 해도, 사람을 아프게 만드는 것 이상의 더 광범위한 영향이 있었다는 말도 있습니다.",M2Q1BINN,,,,,0,0
32399,Dialog,BINN,Nature itself is still feeling the effects.,자연 자체가 아직도 여파를 느끼고 있죠.,M2Q1BINN,,,,,0,0
32400,Dialog,BINN,"It's all they're talking about in here. Some knight came along and convinced some boys to go hunting werewolves, but then it turned out... ","여기선 그 이야기뿐입니다. 어느 기사가 와서 젊은이들을 설득해 늑대인간 사냥을 나섰다더군요, 그런데 결국은...",M2Q1BINN,,,,,0,0
