StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
44558,Dialog,BRET,"I may not be able to leave this place until the war is over, but at least my wife and daughter are here in the safety of the fort with me.","전쟁이 끝날 때까지는 여길 떠날 수 없겠지만, 그래도 아내와 딸이 요새 안에서 제 곁에 있어 안전하다는 게 그나마 위안이에요.",M3Q02A10BRET,,,,,0,0
44559,Dialog,BRET,"Oh, sure, I give you the money now and I'll never see you again, right? You bring my family to me, then you'll get your reward.","아, 그렇죠. 지금 돈부터 주면 다시는 못 보겠죠? 제 가족을 여기로 데려오세요. 그러면 그때 보상을 드리죠.",M3Q02A10BRET,,,,,0,0
44560,Dialog,BRET,Commander Damas is a cruel and stupid man! This war against the Uthgardt is entirely his fault!,다마스 사령관은 잔인하고 어리석은 사람이에요! 우스가르트와의 이 전쟁은 전적으로 그의 잘못이에요!,M3Q02A10BRET,m3q2a10_complain,,,,0,0
44561,Dialog,BRET,"He's a ruthless, heartless bastard! First he conscripts every able-bodied farmer and settler in the region and orders us to come to this Fort for training.",그는 무자비하고 인정이라곤 없는 작자예요! 이 지역의 일할 수 있는 농민과 개척민을 모조리 징집해 우리를 이 요새로 끌어와 훈련시켰죠.,M3Q02A10BRET,,,,,0,0
44562,Dialog,BRET,"Then when reports of Uthgardt raiders attacking the abandoned homesteads start to come in, he refuses to let us leave! Our homes and families are defenseless without us!","그러고는 우스가르트 약탈자들이 텅 빈 농가를 습격한다는 보고가 들어오자, 우릴 내보내 주지도 않아요! 우리가 없으면 집과 가족은 무방비라구요!",M3Q02A10BRET,,,,,0,0
44563,Dialog,BRET,"I'm desperate right now! My own wife and daughter are out there, helpless! If there was only some way to bring them here to the Fort, at least I could keep an eye on them.","지금 절박해요! 제 아내와 딸이 밖에, 속수무책으로 있어요! 어떻게든 이 요새로 데려올 수만 있다면, 최소한 제가 지켜볼 수 있을 텐데요.",M3Q02A10BRET,,,,,0,0
44564,Dialog,BRET,"Maybe so, but it's no more dangerous than leaving them out there on the homestead all alone. At least here I'd be able to watch over them myself.",그럴지도요. 하지만 그들을 저 밖 농가에 홀로 남겨 두는 것보다 더 위험하진 않아요. 적어도 여기선 제가 직접 지켜볼 수 있으니까요.,M3Q02A10BRET,,,,,0,0
44565,Dialog,BRET,"Don't waste your breath trying to reason with him. He's a heartless monster! He doesn't care that our families are in danger, and this war against the Uthgardt is his fault anyway!","그를 설득하려고 말 낭비하지 마세요. 그는 냉혈한 괴물이에요! 우리 가족이 위험하다는 건 안중에도 없고, 애초에 우스가르트와의 전쟁도 그의 잘못이라구요!",M3Q02A10BRET,,,,,0,0
44566,Dialog,BRET,"We shared the land peacefully with the Uthgardt before Damas came to Fort Ilkard. Now this war starts up, and he hasn't even tried to make peace with them. ","다마스가 일카드 요새에 오기 전까지 우리는 우스가르트와 평화롭게 땅을 나눠 썼어요. 그런데 전쟁을 일으켜 놓고도, 그는 그들과 화해를 시도해 보려 하지도 않았죠.",M3Q02A10BRET,,,,,0,0
44567,Dialog,BRET,"It's almost like he wants to wipe them all out, no matter what the cost! He couldn't care less that this war has put my family in danger.",무슨 대가를 치르든 그들을 몰살시키고 싶은 모양이에요! 이 전쟁 때문에 제 가족이 위험해졌다는 사실은 안중에도 없어요.,M3Q02A10BRET,,,,,0,0
44568,Dialog,BRET,"Good luck. We conscripts aren't allowed to leave the Fort until the Luskan army has been defeated. So if you need to find me, I guess I'll be right here.","행운을 빌어요. 우리 징집병들은 러스칸 군이 패배하기 전엔 요새를 떠날 수 없어요. 그러니 절 찾으려면, 전 계속 여기 있겠죠.",M3Q02A10BRET,,,,,0,0
44569,Dialog,BRET,"What kind of a man is that, I ask you? It's like he wants this war with the Uthgardt.",도대체 어떻게 생겨먹은 사람이죠? 마치 우스가르트와의 전쟁을 바라는 사람 같아요.,M3Q02A10BRET,,,,,0,0
44570,Dialog,BRET,"Well, more settlers means more taxes. Maybe Damas wants to increase revenues from the lands around Fort Ilkard so he can earn himself a quick promotion. Or maybe he just hates the Uthgardt.",개척민이 늘면 세금도 늘겠죠. 다마스는 일카드 요새 주변에서 세수를 늘려 빨리 승진하려는 걸지도 몰라요. 아니면 그냥 우스가르트를 증오하든가요.,M3Q02A10BRET,,,,,0,0
44571,Dialog,BRET,"Maybe you could help. We conscripts aren't allowed to leave, but you can come and go as you please. You could go to my farm and escort my wife and daughter back to the Fort!","당신이 좀 도와줄 수 있지 않겠어요? 우린 나갈 수 없지만, 당신은 자유롭게 드나들 수 있잖아요. 제 농장에 가서 아내와 딸을 요새까지 호위해 데려와 주세요!",M3Q02A10BRET,,,,,0,0
44572,Dialog,BRET,"Oh, I get it. My family are just a bunch of settlers. Their lives are meaningless. You're as bad as Commander Damas!","아, 알겠네요. 제 가족은 그냥 몇 안 되는 개척민일 뿐이고, 그들의 목숨은 하찮다는 거죠. 당신도 다마스 사령관만큼이나 형편없군요!",M3Q02A10BRET,,,,,0,0
44573,Dialog,BRET,"Thank you, my <lord/lady>! Here, take my wedding band and show it to my wife so she knows to trust you. My farm is in the homesteads to the west of the Fort.","감사합니다, 선생님! 이 결혼반지를 가져가 제 아내에게 보여 주세요. 당신을 믿어도 된다는 신호가 될 거예요. 제 농장은 요새 서쪽의 농가 지대에 있어요.",M3Q02A10BRET,m3q02a10bretelc1,,,,0,0
44574,Dialog,BRET,"I don't have much, but I will give you whatever I can spare if you do this task for me. ","많지는 않지만, 이 일을 해 주시면 제가 낼 수 있는 건 뭐든 드리겠습니다.",M3Q02A10BRET,,,,,0,0
44575,Dialog,BRET,"No offense, but I don't think someone as slow as you would be very convincing. Besides, he doesn't care that our families are in danger. Besides, this war against the Uthgardt is his fault!","악의는 없지만, 당신처럼 둔한 사람이 설득을 잘할 거라고는 생각하지 않아요. 게다가 그는 우리 가족이 위험하다는 걸 신경 쓰지도 않죠. 애초에 우스가르트와의 전쟁도 그 사람 탓이고요!",M3Q02A10BRET,,,,,0,0
44576,Dialog,BRET,"I have you to thank for this, my <lord/lady>. You have brought my family together again. For that, I thank you.","이 모든 게 당신 덕분입니다, 선생님. 당신이 우리 가족을 다시 한자리에 모이게 해 주셨어요. 진심으로 감사드립니다.",M3Q02A10BRET,m3q2a10bretrew_1,,,,0,0
44577,Dialog,BRET,"I promised you a reward, though I do not have much to give. Here, take this bracelet. It is not much, but I wish you to have it.",약속드린 보상이 있죠. 드릴 게 많진 않지만... 이 팔찌를 받아 주세요. 큰것은 아니지만 꼭 당신이 가져가셨으면 해요.,M3Q02A10BRET,m3q2a10bretrew_2,,,,0,0
