StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
26633,Dialog,BRIDGEGD,"Hail! You don't look like one of Kurth's or Baram's soldiers. Best stay off the streets if you can, then, stranger... it's not safe, as you can plainly see.",안녕하십니까! 커스나 바람 휘하 병사는 아니신 것 같네요. 그럼 될 수 있으면 거리를 피하세요... 보시다시피 안전하지 않습니다.,2Q4A_BRIDGEGD,,,,,0,0
26634,Dialog,BRIDGEGD,"Aye, be safe.","네, 조심해서 가세요.",2Q4A_BRIDGEGD,,,,,0,0
26635,Dialog,BRIDGEGD,"On your way, then.",그럼 가보세요.,2Q4A_BRIDGEGD,,,,,0,0
26636,Dialog,BRIDGEGD,"Aye, I'll be watching you.","네, 지켜보고 있겠습니다.",2Q4A_BRIDGEGD,,,,,0,0
26637,Dialog,BRIDGEGD,"I see. A little on the slow side, are we?",그렇군요. 조금 둔하신가 보네요?,2Q4A_BRIDGEGD,,,,,0,0
26638,Dialog,BRIDGEGD,"If you like, go ahead.",원하시면 그렇게 하세요.,2Q4A_BRIDGEGD,,,,,0,0
26639,Dialog,BRIDGEGD,I suppose so.,그렇겠네요.,2Q4A_BRIDGEGD,,,,,0,0
26640,Dialog,BRIDGEGD,(sigh) Go ahead and ask.,(한숨) 물어보세요.,2Q4A_BRIDGEGD,,,,,0,0
26641,Dialog,BRIDGEGD,"Hail, <sir/madam>! You aren't one of Kurth's or Baram's soldiers, are you? You don't seem the type.","안녕하십니까, 선생님! 커스나 바람 쪽 병사는 아니시죠? 그쪽으로 보이진 않습니다만.",2Q4A_BRIDGEGD,,,,,0,0
26642,Dialog,BRIDGEGD,Ho there! Be you Kurth's or Baram's?,"거기 잠깐! 커스 편이십니까, 바람 편이십니까?",2Q4A_BRIDGEGD,,,,,0,0
26643,Dialog,BRIDGEGD,"Aye, where do you need to go?",네. 어디로 가셔야 합니까?,2Q4A_BRIDGEGD,,,,,0,0
26644,Dialog,BRIDGEGD,"Yes, I suppose it would seem large to someone like you, wouldn't it?","네, 당신 같은 분에겐 크게 느껴질 수도 있겠지요, 그렇죠?",2Q4A_BRIDGEGD,,,,,0,0
26645,Dialog,BRIDGEGD,"The Cutlass Inn still operates, I think. It's to the left of the main gate, just south of here.","커틀러스 여관은 아직 운영 중인 것 같습니다. 정문 왼쪽, 여기에서 남쪽에 있어요.",2Q4A_BRIDGEGD,,,,,0,0
26646,Dialog,BRIDGEGD,"Hmmm. I had heard the temple of Tyr was sacked, but that may not be true. Go to the far west where the merchants are... the temple is there.",흠... 티르 사원이 약탈당했다는 말을 들었는데 사실이 아닐 수도 있겠네요. 서쪽 끝 상인들이 있는 쪽으로 가보세요... 사원은 그쪽에 있습니다.,2Q4A_BRIDGEGD,,,,,0,0
26647,Dialog,BRIDGEGD,"Aye. There be a few merchants off in the west part of the district. They be poorly-equipped, though, and until the Mirabar district is opened up they'll stay that way.",네. 지구 서쪽에 상인이 몇 있습니다. 다만 미라바르 지구가 열리기 전까지는 물자가 빈약할 거예요.,2Q4A_BRIDGEGD,,,,,0,0
26648,Dialog,BRIDGEGD,"Well, let's see. You have Miss Bela's here, on the island. To the north is the slums. There are still some merchants to the west. Much of the remainder of the city is closed off. Most of the streets are dangerous... so be careful.","자, 어디 보죠. 이 섬에는 벨라의 집이 있고, 북쪽엔 빈민가가 있어요. 서쪽엔 상인들이 조금 남아 있고요. 나머지 도시는 대부분 봉쇄됐습니다. 거리는 대체로 위험하니 조심하세요.",2Q4A_BRIDGEGD,,,,,0,0
26649,Dialog,BRIDGEGD,Where to?,어디로요?,2Q4A_BRIDGEGD,,,,,0,0
