StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
24455,Creature,Barmaid,I've got another drink order.,주문이 하나 더 들어왔어요.,NWGENBARMAID,,,,,0,0
24457,Creature,Barmaid,Hmm? What do you want? I have to get back to work.,흠? 뭘 원해요? 일하러 다시 가야 해요.,NWGENBARMAID,,,,vs_ngnbarf3_050,0,0
24458,Creature,Barmaid,Goodbye. Careful out there.,잘 가요. 밖에선 조심하고요.,NWGENBARMAID,,,,,0,0
24459,Creature,Barmaid,"Yes, yes. On your way, then.","그래, 그래. 이만 가봐요.",NWGENBARMAID,,,,,0,0
24460,Creature,Barmaid,Good riddance.,잘 가 버렸네.,NWGENBARMAID,,,,,0,0
24461,Creature,Barmaid,I don't really have time. I'm working right now. Do you understand that? You look a bit dim.,지금 일하는 중이라 시간이 없어요. 이해해요? 좀 둔해 보이네요.,NWGENBARMAID,,,,,0,0
24462,Creature,Barmaid,"I suppose you can ask what you want, but I'm in this place all day and don't see much.",원하면 묻긴 해봐요. 그런데 하루 종일 이곳에 있어도 딱히 보는 건 없어요.,NWGENBARMAID,,,,,0,0
24463,Creature,Barmaid,"Eh, if you make it quick.","에이, 빨리 하면요.",NWGENBARMAID,,,,,0,0
24464,Creature,Barmaid,"Go bother some gutter-girl, I don't have time for louts like you.",길바닥 계집이나 괴롭히러 가요. 난 당신 같은 무뢰한을 상대할 시간 없어요.,NWGENBARMAID,,,,,0,0
24465,Creature,Barmaid,"Oh, it ain't my place to talk about him. I see him at parades and stuff, but that ain't enough to know the man. Sorry.","그분 얘긴 내가 할 처지가 아니죠. 열병식 같은 데서 보긴 하지만, 그걸로 그 사람을 안다고 할 순 없어요. 미안해요.",NWGENBARMAID,,,,,0,0
24466,Creature,Barmaid,"Not much. She seems nice. She and Fenthick make a nice couple, though I'm sure they are too busy with the plague to get much personal time together.",그녀? 괜찮아 보여요. 그녀랑 펜딕은 잘 어울리는 한 쌍이죠. 다만 역병 때문에 둘 다 너무 바빠서 개인 시간이 별로 없을 거예요.,NWGENBARMAID,,,,,0,0
24467,Creature,Barmaid,Not me. I don't want to know. Might get my hopes up too soon and just get let down all the more if it fails.,난 아니에요. 알고 싶지도 않아요. 괜히 일찍 기대했다가 실패하면 더 실망만 크잖아요.,NWGENBARMAID,,,,,0,0
24468,Creature,Barmaid,"I'm not sure what you mean by that. It's a decent enough city, I guess. Fairly old. Everything is a mess right now, of course, but plague will do that.","무슨 뜻인지 잘 모르겠네요. 그럭저럭 괜찮은 도시예요. 꽤 오래됐고요. 물론 지금은 전부 엉망이지만, 역병이 도니 그럴만도 하죠.",NWGENBARMAID,,,,,0,0
24469,Creature,Barmaid,"Do you have a speech impediment? Oh, nevermind.","말더듬이인가요? 아, 됐어요.",NWGENBARMAID,,,,,0,0
24470,Creature,Barmaid,"Well, no, I suppose not. I ain't heard of him being out since the plague started. I imagine he's powerful busy.","글쎄요, 아닌 것 같네요. 역병이 시작된 뒤로 그가 밖에 나왔다는 소문을 못 들었어요. 아마 무지 바쁘겠죠.",NWGENBARMAID,,,,,0,0
24471,Creature,Barmaid,"Not really. Lost some good friends to it. I suppose Lady Aribeth and Lord Nasher are fighting it somehow, but people like me don't get told about that stuff.","글쎄요, 별로요. 그 일로 좋은 친구들을 잃었죠. 아리베스 경이랑 나셰르 영주님이 어떻게든 싸우고 계시겠지만, 우리 같은 사람에겐 그런 일을 알려주지 않죠.",NWGENBARMAID,,,,,0,0
24472,Creature,Barmaid,Please make it quick. What do you want to know?,빨리 해요. 뭘 알고 싶죠?,NWGENBARMAID,,,,,0,0
24473,Creature,Barmaid,I don't need that kind of disappointment. It's not like I can do anything about it. Let the leaders lead. It ain't my job.,그런 실망은 필요 없어요. 내가 할 수 있는 것도 아닌데요. 지도자들이 알아서 하게 두죠. 내 일이 아니에요.,NWGENBARMAID,,,,,0,0
24474,Creature,Barmaid,"Really, I don't know much else. I just keep to myself. Is that enough of an answer for you? Are we done?",정말 더 아는 건 없어요. 전 제 할 일만 해요. 이 정도면 됐나요? 이제 끝이죠?,NWGENBARMAID,,,,,0,0
24495,Creature,Barmaid,Here's your drink.,여기 술 나왔어요.,NWGENBARMAID,nw_tav_drinklc0,,,,0,0
24498,Creature,Barmaid,I'll be right with you.,금방 갈게요.,NWGENBARMAID,,,,,0,0
24500,Creature,Barmaid,What would you like?,뭘로 드릴까요?,NWGENBARMAID,,,,,0,0
24502,Creature,Barmaid,Right away.,금방요.,NWGENBARMAID,nw_tav_barm_lc10,,,,0,0
24504,Creature,Barmaid,I think you've had enough.,이제 그만 드셔야겠어요.,NWGENBARMAID,nw_tav_custdrunk,,,,0,0
24662,Creature,Barmaid,Barmaid,바텐더,M1Q2_BARMAID|NWGENBARMAID,,,,,0,0
29794,Creature,Barmaid,"All righty, there you go: one ""yummy"" drink.","좋아요, 여기요. ""맛있는"" 술 한 잔.",NWGENBARMAID,nw_tav_drinklc0,,,,0,0
29796,Creature,Barmaid,I think you've had enough.,이제 그만 드셔야겠어요.,NWGENBARMAID,nw_tav_custdrunk,,,,0,0
29797,Creature,Barmaid,"Are you sure your Mr. Eisenfeldt approves? Fine, what will you have?","아이젠펠트 씨가 허락한 게 맞나요? 좋아요, 뭘로 드릴래요?",NWGENBARMAID,,,,,0,0
29799,Creature,Barmaid,Back in a moment.,금방 돌아올게요.,NWGENBARMAID,nw_tav_barm_lc10,,,,0,0
29800,Creature,Barmaid,I'll be with you in a moment.,곧 가요.,NWGENBARMAID,,,,,0,0
40211,Creature,Barmaid,I've got another drink order.,주문이 하나 더 들어왔어요.,NWGENBARMAID,,,,,0,0
40213,Creature,Barmaid,What would you like?,뭘로 드릴까요?,NWGENBARMAID,,,,,0,0
40214,Creature,Barmaid,Here's your drink.,여기 술 나왔어요.,NWGENBARMAID,nw_tav_barm_pc0,,,,0,0
40215,Creature,Barmaid,Right away.,금방요.,NWGENBARMAID,nw_tav_barm_pcdr,,,,0,0
40216,Creature,Barmaid,I think you've had enough.,이제 그만 드셔야겠어요.,NWGENBARMAID,,,,,0,0
40217,Creature,Barmaid,I'll be right with you.,금방 갈게요.,NWGENBARMAID,,,,,0,0
40218,Creature,Barmaid,I am getting your order.,지금 주문 준비하고 있어요.,NWGENBARMAID,,,,,0,0
40219,Creature,Barmaid,Here's your drink.,여기 술 나왔어요.,NWGENBARMAID,nw_tav_drinklc0,,,,0,0
40222,Creature,Barmaid,I'll be right with you.,금방 갈게요.,NWGENBARMAID,,,,,0,0
40224,Creature,Barmaid,What would you like?,뭘로 드릴까요?,NWGENBARMAID,,,,,0,0
40226,Creature,Barmaid,Right away.,금방요.,NWGENBARMAID,nw_tav_barm_lc10,,,,0,0
40228,Creature,Barmaid,I think you've had enough.,이제 그만 드셔야겠어요.,NWGENBARMAID,nw_tav_custdrunk,,,,0,0
