StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
75683,Creature,Birgen,Birgen,비르겐,Q1_BIRGEN|Q2_BIRGEN|Q2_BIRGEN2,,,,,0,0
80340,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80342,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80345,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80348,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80351,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80354,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80358,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80360,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80462,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80465,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80468,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80471,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80474,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80477,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80480,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80485,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q1_BIRGEN,,,,,0,0
80831,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80833,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80838,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80841,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80844,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80847,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80850,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80854,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80858,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80861,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
80864,Creature,Birgen,<StartAction>[grumble... mumble...]</Start>,<StartAction>[투덜투덜... 중얼중얼...]</Start>,Q2_BIRGEN,,,,,0,0
