StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
19946,Creature,Blacklake cleaning lady,"Oh, hullo there, <mister/missus>. Something I can do for ye?","오, 거기 형씨. 내가 도와줄 일 있나?",M1Q3ACLEAN,,,,,0,0
19947,Creature,Blacklake cleaning lady,"Off already? Another day, then, <mister/missus>.","벌써 가나? 그럼 다음에 보지, 형씨.",M1Q3ACLEAN,,,,,0,0
19948,Creature,Blacklake cleaning lady,"Aye, farewell to ye.","예, 잘 가게.",M1Q3ACLEAN,,,,,0,0
19949,Creature,Blacklake cleaning lady,"Run off, then, an' leave an old woman to 'er work.",그럼 얼른 가. 늙은이는 일이나 하게 두고.,M1Q3ACLEAN,,,,,0,0
19950,Creature,Blacklake cleaning lady,"I see. A little on the slow side, are we?","그렇구먼. 머릿속이 좀 굼뜨구만, 그렇지?",M1Q3ACLEAN,,,,,0,0
19951,Creature,Blacklake cleaning lady,"Seems to me like ye already have, <boy/girl>, heh.","내 보기엔 벌써 했는걸, 얘야. 헤헷.",M1Q3ACLEAN,,,,,0,0
19952,Creature,Blacklake cleaning lady,"Go on, then. I could stand to gab for a moment or two, aye.","그래, 묻든가. 한두 마디 수다 떨 여유쯤은 있지, 응.",M1Q3ACLEAN,,,,,0,0
19953,Creature,Blacklake cleaning lady,"Ask, then, but I'll be watching yer hands. Ye've the look of a pickpocket, <boy/girl>.","자, 물어봐. 대신 손을 잘 보겠네. 자네, 좀 도둑놈 같이 생겼거든, 얘야.",M1Q3ACLEAN,,,,,0,0
19954,Creature,Blacklake cleaning lady,"I've got family beyond them walls, <boy/girl>, one's that ain't caught the Wailing Death yet. I hears plenty about it. Why?","저 성벽 너머에 내 식구들이 있지, 얘야. 아직 울부짖는 죽음 역병에 안 걸렸어. 그 일로 들은 게 많다네. 왜 묻나?",M1Q3ACLEAN,,,,,0,0
19955,Creature,Blacklake cleaning lady,"Oh, aye, there's plenty of odd beasts and more besides at the zoo, of course.","그럼그럼, 동물원엔 별난 짐승이 잔뜩 있고, 그 밖에도 많지.",M1Q3ACLEAN,,,,,0,0
