StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
79079,Creature,Burning Man,"For these we burn, undying...",이를 위해 우리는 꺼지지 않고 탄다...,BURNINGMAN,,,,,0,0
79080,Creature,Burning Man,"For these we burn, undying...",이를 위해 우리는 꺼지지 않고 탄다...,BURNINGMAN,,,,,0,0
79081,Creature,Burning Man,"For these we burn, undying...",이를 위해 우리는 꺼지지 않고 탄다...,BURNINGMAN,,,,,0,0
79082,Creature,Burning Man,"For these we burn, undying...",이를 위해 우리는 꺼지지 않고 탄다...,BURNINGMAN,,,,,0,0
79083,Creature,Burning Man,"For these we burn, undying...",이를 위해 우리는 꺼지지 않고 탄다...,BURNINGMAN,,,,,0,0
79084,Creature,Burning Man,Jealousy!,질투!,BURNINGMAN,,,,,0,0
79085,Creature,Burning Man,Adultery!,간통!,BURNINGMAN,,,,,0,0
79086,Creature,Burning Man,Ambition!,야망!,BURNINGMAN,,,,,0,0
79087,Creature,Burning Man,Fear!,공포!,BURNINGMAN,,,,,0,0
79088,Creature,Burning Man,Anger!,분노!,BURNINGMAN,,,,,0,0
79089,Creature,Burning Man,Violence!,폭력!,BURNINGMAN,,,,,0,0
79090,Creature,Burning Man,Lust!,정욕!,BURNINGMAN,,,,,0,0
79091,Creature,Burning Man,Failure!,실패!,BURNINGMAN,,,,,0,0
79092,Creature,Burning Man,Hubris!,오만!,BURNINGMAN,,,,,0,0
79093,Creature,Burning Man,Apathy!,무관심!,BURNINGMAN,,,,,0,0
79094,Creature,Burning Man,Folly!,어리석음!,BURNINGMAN,,,,,0,0
79095,Creature,Burning Man,Theft!,절도!,BURNINGMAN,,,,,0,0
79096,Creature,Burning Man,Murder!,살인!,BURNINGMAN,,,,,0,0
79097,Creature,Burning Man,Wrath!,격노!,BURNINGMAN,,,,,0,0
79098,Creature,Burning Man,Loss!,상실!,BURNINGMAN,,,,,0,0
79099,Creature,Burning Man,Sorrow!,슬픔!,BURNINGMAN,,,,,0,0
79100,Creature,Burning Man,Woe!,비탄!,BURNINGMAN,,,,,0,0
79565,Creature,Burning Man,Burning Man,불타는 남자,BURNINGMAN,,,,,0,0
