StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
41874,Dialog,CAPTAIN,"Hail and well met, my <lord/lady>. I understand from your pass that you are part of a delegation from Mulhorand, yes?",안녕히 오셨습니까. 통행증에 따르면 멀홀란드 사절단의 일원이시죠?,2Q6A_CAPTAIN,,,,vs_nxxgrdm1_054,0,0
41875,Dialog,CAPTAIN,What?! How did you get across the bridge?! Intruders in the tower!!,뭐?! 다리를 어떻게 건넌 거지?! 탑에 침입자다!!,2Q6A_CAPTAIN,nw_d1_attonend,,,,0,0
41878,Dialog,CAPTAIN,That seems... an excessively far distance to travel. I have been informed of no invitation made to the Mulhorandi. We certainly were not expecting you.,그건... 너무 먼 길인 것 같군요. 멀홀란드에 초청을 보냈다는 보고는 못 받았습니다. 당연히 오실거라 예상하진 않았고요.,2Q6A_CAPTAIN,,,,,0,0
41879,Dialog,CAPTAIN,"There's no need for you to get upset, my <lord/lady>... it just strikes me as odd, is all.",흥분하실 필요는 없습니다... 이상하다고 느껴졌을 뿐입니다.,2Q6A_CAPTAIN,,,,,0,0
41880,Dialog,CAPTAIN,"Well... most of the time they do, aye. Since the chaos of the battles in the tower, things have grown lax, but still...","글쎄요... 보통은 그렇습니다. 탑에서 싸움이 벌어진 뒤로 헤이해지긴 했지만, 그래도요...",2Q6A_CAPTAIN,,,,,0,0
41881,Dialog,CAPTAIN,"<StartCheck>[Success]</Start> Err... of course not, my <lord/lady>. Tempus knows the wizards have been getting enough visitors since the fighting stopped.",<StartCheck>[성공]</Start> 에... 물론 아닙니다. 템푸스께 멩세코 싸움이 끝난 뒤로 마법사들에게 찾아오는 이들이 많았습니다.,2Q6A_CAPTAIN,,,,,0,0
41882,Dialog,CAPTAIN,"<StartCheck>[Failure]</Start> Keeping the security of the tower is one of my duties, my <lord/lady>. I am only doing what I must.",<StartCheck>[실패]</Start> 탑의 보안을 지키는 건 제 임무 중 하나입니다. 해야 할 일을 하는 것뿐입니다.,2Q6A_CAPTAIN,,,,,0,0
41883,Dialog,CAPTAIN,Mulhorand... I have met several people from your land. They were dark-skinned and dressed rather extravagantly. You... look nothing like them.,멀홀란드... 그쪽 출신을 여러 번 봤지요. 피부가 어둡고 제법 화려하게 차려입었더군요. 당신은... 전혀 달라 보이는데요.,2Q6A_CAPTAIN,,,,,0,0
41884,Dialog,CAPTAIN,"<StartCheck>[Success]</Start> Fair enough. I am not about to question the pass, at any rate. Tempus knows the wizards have been getting enough visitors.",<StartCheck>[성공]</Start> 좋습니다. 어쨌든 통행증은 의심하지 않겠습니다. 템푸스께 멩세코 요즘 방문객이 많았으니까요.,2Q6A_CAPTAIN,,,,,0,0
41885,Dialog,CAPTAIN,"<StartCheck>[Failure]</Start> The wizards have been getting plenty of visitors... representatives from throughout the north, in fact. None from such a far off place as Mulhorand, however. How conveniently difficult to verify.",<StartCheck>[실패]</Start> 마법사들에게 오는 손님이 많았습니다... 사실 북부 전역에서 대표들이 왔지요. 하지만 멀홀란드처럼 먼 곳은 없었습니다. 확인하기 참으로 어렵겠군요.,2Q6A_CAPTAIN,,,,,0,0
41886,Dialog,CAPTAIN,"Allow me to open the door for you, then.",그럼 문을 열어 드리겠습니다.,2Q6A_CAPTAIN,2q6_captain05,,,,0,0
41887,Dialog,CAPTAIN,"I... suppose not, no. The mages have been notoriously difficult for me to contact since the fighting ceased, anyway, and your seal is legitimate. Tempus knows they've received enough visitors as of late.","음... 그렇지요, 아닙니다. 싸움이 끝난 뒤로 마법사들과 연락하기가 특히 어려웠고, 통행증의 봉인도 정식이니 말입니다. 템푸스께 멩세코 요즘 방문객이 많거든요.",2Q6A_CAPTAIN,,,,,0,0
41888,Dialog,CAPTAIN,"I suggest you take the empty suite just inside the door on the right, my <lord/lady>. You will have to wait with the other ambassadors for someone to come and get you.",오른쪽 안쪽에 빈 접견실이 있습니다. 다른 사절들과 함께 누가 모시러 올 때까지 그곳에서 기다리시지요.,2Q6A_CAPTAIN,,,,,0,0
41889,Dialog,CAPTAIN,"I warn you now that it may be awhile before anyone comes. A new Archmage Arcane was appointed after the fighting in the tower, but I understand things are still quite chaotic.",미리 말씀드리자면 누가 올 때까지 시간이 꽤 걸릴 수 있습니다. 탑의 전투 이후 새 비전 대마법사가 임명되었지만 아직 혼란스럽다고 들었습니다.,2Q6A_CAPTAIN,,,,,0,0
41890,Dialog,CAPTAIN,"I would also suggest that you not venture past the main chamber. The fighting may be over, but the wizards would mistake you for an intruder if you went where you were not permitted. Right now they are in no mood to ask questions. I'm sure you understand.",또한 본당을 넘어서는 곳으로는 가지 마시길 권합니다. 전투는 끝났지만 허가되지 않은 곳으로 가면 마법사들이 침입자로 착각할 겁니다. 지금은 질문할 분위기가 아니지요. 이해하시리라 믿습니다.,2Q6A_CAPTAIN,,,,,0,0
41891,Dialog,CAPTAIN,"You are free to enter the tower, if you wish. Remember, do not venture beyond the ambassadorial quarters.",원하신다면 탑으로 들어가셔도 됩니다. 다만 사절단 구역을 넘어서지는 마십시오.,2Q6A_CAPTAIN,,,,vs_nxxgrdm1_053,0,0
59987,Dialog,CAPTAIN,Hmph. The mages have been difficult to contact since the fighting ceased. Your seal is legitimate... and Tempus knows there's been enough strange visitors as of late.,흠. 싸움이 끝난 뒤로 마법사들과 연락하기가 어렵습니다. 당신의 봉인은 정식이고... 템푸스께 멩세코 요즘 이상한 방문객도 충분히 많았거든요.,2Q6A_CAPTAIN,,,,,0,0
59988,Dialog,CAPTAIN,"Fare you well, my <lord/lady>.",평안히 가십시오.,2Q6A_CAPTAIN,,,,,0,0
