StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
83939,Dialog,CBERGER,"""Hey! How did you get past them doors? Halaster always said there weren't no way past them once the chains was gone.""","""이봐! 그 문들을 어떻게 뚫고 들어온 거야? 사슬이 사라지고 나면 넘어갈 방법은 없다고 할라스터가 늘 말했다고!""",Q2CBERGER,,,,vs_nx2bergm_50,0,0
83940,Dialog,CBERGER,"""Oh... hello. Uh... what do you want?""","""오... 안녕. 어... 뭐가 필요해?""",Q2CBERGER,,,,vs_nx2bergm_51,0,0
94165,Dialog,CBERGER,"""Uh... wait. Just wait. You don't want to kill me. I can help you. I know stuff.""","""어... 잠깐. 잠깐만. 날 죽일 필요 없어. 내가 도와줄 수 있어. 나, 이것저것 알아.""",Q2CBERGER,nw_d1_talklevel,,,,0,0
94166,Dialog,CBERGER,"""You're just like all the rest - everyone's trying to kill me! I'll show you!""","""넌 다 똑같아-다들 날 죽이려 들어! 내가 보여 주겠어!""",Q2CBERGER,,,,,0,0
94167,Dialog,CBERGER,"""I ain't all that smart, you know. But I'll try to answer what I can.""","""나 그렇게 똑똑하진 않아, 알지. 그래도 아는 건 최대한 대답해 볼게.""",Q2CBERGER,nw_d1_talktime,,,,0,0
94168,Dialog,CBERGER,"""Oh, okay. Well... goodbye, I guess. I'll just stay here where it's safe until my dad gets free and puts things back to the way they were.""","""오, 알았어. 그럼... 잘 가. 아빠가 풀려나서 예전처럼 돌려놓을 때까지 난 여기 안전한 데서 가만히 있을래.""",Q2CBERGER,,,,,0,0
94169,Dialog,CBERGER,"""I used to know everything about this place. Even when Halaster changed it around, he'd pull me aside and explain what he was up to. But now... now I don't know nothing!""","""예전엔 여기 대해서라면 뭐든 다 알았어. 할라스터가 이곳을 바꿔도, 날 따로 불러서 뭘 하는지 설명해 주곤 했거든. 그런데 지금은... 이젠 아무것도 모르겠어!""",Q2CBERGER,,,,,0,0
94170,Dialog,CBERGER,"""Monsters fighting and killing, armies of drow running loose everywhere. That just ain't right.""","""괴물들이 싸우고 죽이고, 드로우 군대가 사방에서 설치고 다녀. 이건 영 아니잖아.""",Q2CBERGER,,,,,0,0
94171,Dialog,CBERGER,"""Everyone here used to treat me real nice, but nothing's the same since dad got snatched up. Now everyone here is trying to kill me!""","""예전엔 여기 있는 모두가 나한테 정말 잘해 줬는데, 아빠가 잡혀간 뒤로는 아무것도 예전 같지 않아. 이제는 다들 날 죽이려 든다고!""",Q2CBERGER,,,,,0,0
94172,Dialog,CBERGER,"""I know he made me. At least, he told me that before the drow captured him. And I got no reason to think he's lying, seeing as how he's my dad and all.""","""그분이 날 만들었다는 건 알아. 적어도 드로우한테 잡히기 전엔 그렇게 말씀하셨어. 게다가 내 아빠잖아. 거짓말하실 이유가 없지.""",Q2CBERGER,,,,,0,0
94173,Dialog,CBERGER,"The creature seems momentarily confused. ""Oh... sorry. Halaster's always telling me to watch my manners. My name's Berger. Halaster is my dad.""","그 존재는 잠시 어리둥절해 보입니다. ""오... 미안. 할라스터는 늘 예의 지키라고 하거든. 내 이름은 버거야. 할라스터는 내 아빠야.""",Q2CBERGER,nw_d1_talklevel,,,,0,0
94174,Dialog,CBERGER,"""What do you mean by that? Do you think I'm lying? I don't lie! Halaster is so my father. He even told me so.""","""그게 무슨 뜻이야? 내가 거짓말한다고 생각해? 나 거짓말 안 해! 할라스터는 정말 내 아빠야. 직접 그렇게 말했어.""",Q2CBERGER,,,,,0,0
94175,Dialog,CBERGER,"""Halaster made me. Told me he sewed me together himself. I helped him run this place. Everyone used to be real nice to me. They used to smile and nod and say: Hello, Berger.""","""할라스터가 날 만들었어. 직접 꿰매서 만들었다고 하셨지. 난 그가 이곳을 운영하는 걸 도왔고, 예전엔 다들 날 정말 잘 대해 줬어. 미소 지으며 고개 끄덕이고 말했지. '안녕, 버거.'라고.""",Q2CBERGER,,,,,0,0
94176,Dialog,CBERGER,"""But now things ain't so nice. Ever since dad got snatched up, the others don't take such a shine to me. Them dark elves is especially bad.""","""근데 이제는 그렇지 않아. 아빠가 잡혀간 뒤로는 다른 애들이 나를 별로 안 좋아해. 특히 그 드로우 놈들은 더 심하고.""",Q2CBERGER,,,,,0,0
94177,Dialog,CBERGER,"""Hey, now that's just rude! You don't gotta be all mean and such. But don't worry... I ain't gonna hold it against you. At least you aren't trying to kill me like all the others.""","""야, 그건 너무 무례하잖아! 그렇게 못되게 굴 필요는 없다고. 그래도 괜찮아... 적어도 다른 애들처럼 날 죽이려 들지는 않잖아.""",Q2CBERGER,,,,,0,0
