StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
21260,Dialog,COM1,"You don't want to hang around here, friend. The plague was here, and damned if I know who it'll take next.","여긴 얼씬하지 않는 게 좋아, 친구. 여기에도 역병이 돌았고, 다음엔 누가 쓰러질지 나도 몰라.",M1Q4A00COM1,,,,,0,0
21261,Dialog,COM1,"Who are you? Bandits? City Guard? Doesn't matter. Plague treats us the same. You don't want to stay here, friend.","넌 누구지? 도적들? 시 경비대? 상관없어. 역병 앞에선 다 똑같아. 여기 머물지 않는 게 좋아, 친구.",M1Q4A00COM1,,,,,0,0
21262,Dialog,COM1,"What are you, another mugger? You stay here and the plague will take your kind just like mine. There's comfort in that, I guess.","뭐야, 또 다른 강도인가? 여기 있으면 너희 같은 족속도 우리처럼 역병에 쓰러질 거야. 그게 그나마 위안이라면 위안이지.",M1Q4A00COM1,,,,,0,0
21263,Dialog,COM1,"You've got questions? Well, so do I. What good are you, guard, when everyone around me is dying of plague? Answer me that.","질문이 있다고? 나도 그래. 내 주변 사람들이 역병으로 죽어 가는데, 경비대인 네가 무슨 소용이야? 그거나 대답해 봐.",M1Q4A00COM1,,,,,0,0
21264,Dialog,COM1,How wide does it look? I've already said how it affected me and my home. What more do you want? Should we go count corpses?,얼마나 퍼졌냐고? 나랑 집이 어떻게 됐는지는 이미 말했어. 더 뭘 원해? 시체라도 세러 갈까?,M1Q4A00COM1,,,,,0,0
21265,Dialog,COM1,"The Helmites claim their blessings are a cure. Bunch of crap. Everyone I know is dying, or will be.","헬름 신도들은 자기 축복이 치료라던데, 헛소리야. 내가 아는 사람들은 다 죽었거나 곧 죽을 거야.",M1Q4A00COM1,,,,,0,0
21266,Dialog,COM1,Farewell. Please leave my home as you found it.,그럼 잘 가. 제발 내 집은 건드리지 말고 나가.,M1Q4A00COM1,,,,,0,0
21267,Dialog,COM1,What is it you want to know? Couldn't you just stumble around on your own?,뭘 알고 싶은데? 혼자 더듬거리면서 다니면 안 되나?,M1Q4A00COM1,,,,,0,0
21268,Dialog,COM1,"Well, if plague is your interest, it's pretty much everywhere. Really, I'm not sure what you are looking for. A tavern? A shop?","역병이 궁금하다면, 여기저기 안 퍼진 데가 없어. 도대체 뭘 찾는 건데? 선술집? 가게?",M1Q4A00COM1,,,,,0,0
21269,Dialog,COM1,"Maybe... look, I don't want to talk out of turn. I really shouldn't... and what does it matter... we're all going to die, anyway.","글쎄... 봐, 함부로 입 놀리고 싶지 않아. 나서봤자 뭐가 달라... 어차피 다 죽을 텐데.",M1Q4A00COM1,,,,,0,0
21270,Dialog,COM1,"I guess there's Jim Seedy's place, the Seedy Tavern. It's in the north end of the district. Good luck getting past the bouncer.","짐 시디의 가게, '시디 선술집'이 있긴 해. 지구 북쪽 끝에 있어. 문지기 통과는... 행운을 빌지.",M1Q4A00COM1,,,,,0,0
