StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
94317,Dialog,CRAKSHASA1,"""Yes, my <lord/lady>? Is there something you need?""","""병 ""예, 모험가님? 필요하신 것이 있습니까?""",Q2CRAKSHASA1,,,,,0,0
94318,Dialog,CRAKSHASA1,"""Please hurry, my <lord/lady>. We are only safe in this chamber until the other denizens of Undermountain realize you have slain the Rakshasa that were keeping us prisoner.""","""서둘러 주십시오, 모험가님. 우리를 가두던 락샤사를 당신이 처치했다는 사실을 언더마운틴의 다른 거주자들이 눈치채기 전까지는 이 방에서만 안전합니다.""",Q2CRAKSHASA1,,,,,0,0
94319,Dialog,CRAKSHASA1,"""Of course, my <lord/lady>. What do you wish to know?""","""물론입니다, 모험가님. 무엇을 알고 싶으십니까?""",Q2CRAKSHASA1,,,,,0,0
94320,Dialog,CRAKSHASA1,"""In our time here as Halaster's slaves, we have learned something of his secrets. Undermountain is filled with traps and devices to help the mad wizard maintain control. The chains you speak of were one such method.""","""우리가 할라스터의 노예로 지내는 동안 그의 비밀을 조금은 알게 되었지요. 언더마운틴은 그 미치광이 마법사가 지배를 유지하도록 돕는 함정과 장치들로 가득합니다. 당신이 말한 사슬도 그 방법 중 하나였습니다.""",Q2CRAKSHASA1,,,,,0,0
94321,Dialog,CRAKSHASA1,"""The central chamber leads down to the lowest level of Undermountain. The doors to the chamber were held open by four powerful chains - without them, the doors would slam shut and remain forever sealed.""","""중앙의 방은 언더마운틴의 최하층으로 내려가는 길입니다. 그 방의 문은 네 개의 강력한 사슬로 열린 채 고정되어 있었고, 사슬이 없으면 문은 쾅 하고 닫혀 영원히 봉인됩니다.""",Q2CRAKSHASA1,,,,,0,0
94322,Dialog,CRAKSHASA1,"""This would restrict movement between this level and the one beneath it - a way for Halaster to seal the level in an emergency. Just one more way he could maintain control over everyone and everything in Undermountain.""","""이 장치는 이 층과 그 아래 층 사이의 이동을 제한합니다-비상시 할라스터가 한 층 전체를 봉쇄하는 방식이었지요. 언더마운틴의 모든 존재와 사물을 그의 통제 아래 두기 위한 또 하나의 수단이었습니다.""",Q2CRAKSHASA1,,,,,0,0
94323,Dialog,CRAKSHASA1,"""So the chains are gone, which means the doors are now sealed. I suspected as much. Halaster - or maybe one of his apprentices - must have triggered the doors to the central chamber in an effort to try and stop the drow.""","""그러니 사슬이 사라졌다면 지금 문은 봉인되었겠군요. 그럴 것이라 짐작했습니다. 드로우를 막으려 할라스터-아니면 그의 제자들 중 누군가-가 중앙의 방의 문을 작동시킨 것이 틀림없습니다.""",Q2CRAKSHASA1,,,,,0,0
94324,Dialog,CRAKSHASA1,"""I suspected as much. Halaster - or maybe one of his apprentices - must have triggered the doors to the central chamber in an effort to try and stop the drow.""","""그럴 거라 생각했습니다. 드로우를 막으려 할라스터-혹은 그의 제자들-가 중앙의 방의 문을 작동시킨 모양입니다.""",Q2CRAKSHASA1,,,,,0,0
94325,Dialog,CRAKSHASA1,"""The doors were designed so that once closed, the chains would be scattered throughout this level of Undermountain. That way, Halaster could collect the chains at his leisure and re-open the central chamber once the trouble had passed."" ","""문은 한 번 닫히면 사슬들이 언더마운틴 이 층 전역으로 흩어지도록 설계되어 있었습니다. 그렇게 하면 사태가 진정된 뒤 할라스터가 여유롭게 사슬을 회수해 중앙의 방을 다시 열 수 있었지요.""",Q2CRAKSHASA1,,,,,0,0
94326,Dialog,CRAKSHASA1,"""Each of the four chains would teleport itself to a random section of the dungeon; I doubt even Halaster himself knew for certain where they would appear.""","""네 개의 사슬은 각각 던전의 임의의 구역으로 스스로 순간이동합니다; 심지어 할라스터조차 정확한 위치를 알지는 못했을 겁니다.""",Q2CRAKSHASA1,,,,,0,0
94327,Dialog,CRAKSHASA1,"""But I know where one of these chains has reappeared. Of course, I will only tell you its location after you bring me the activation stone for the portal that will lead us safely to the surface."" ","""하지만 그 사슬 중 하나가 다시 나타난 곳은 제가 압니다. 물론 우리를 지상으로 안전히 이끌 차원문의 활성화석을 저에게 가져다주신 뒤에야 위치를 알려 드리겠습니다.""",Q2CRAKSHASA1,,,,,0,0
94328,Dialog,CRAKSHASA1,"<StartCheck>[Failure]</Start> The old man shakes his head defiantly, seeming to find a long forgotten inner strength.","<StartCheck>[실패]</Start> 노인은 거부하듯 고개를 저으며, 오래전에 잃어버렸던 내적인 힘을 되찾은 듯 보입니다.",Q2CRAKSHASA1,,,,,0,0
94329,Dialog,CRAKSHASA1,"""Forgive me, my <lord/lady>, but I will not help you until after you have given us the activation stone for the portal. This is our once chance for freedom - our one hope to escape this place.""","""용서하십시오, 모험가님. 차원문의 활성화석을 우리에게 주시기 전에는 도와드릴 수 없습니다. 이것이 우리가 자유를 얻을 유일한 기회이자, 이곳에서 벗어날 단 하나의 희망입니다.""",Q2CRAKSHASA1,,,,,0,0
94330,Dialog,CRAKSHASA1,"""The location of the chain is all we have to bargain with. I will not give up my secret until after we have the activation stone."" ","""사슬의 위치만이 우리가 거래할 수 있는 전부입니다. 활성화석을 손에 넣기 전에는 이 비밀을 넘기지 않겠습니다.""",Q2CRAKSHASA1,,,,,0,0
94331,Dialog,CRAKSHASA1,"<StartCheck>[Failure]</Start> ""Forgive me, my lady. Maybe I've been trapped in this dark place too long, but I fear I have lost my ability to trust anyone.""","<StartCheck>[실패]</Start> ""용서하십시오. 이 어두운 곳에 너무 오래 갇혀 있었는지, 누구도 믿지 못하게 되어 버린 듯합니다.""",Q2CRAKSHASA1,,,,,0,0
94332,Dialog,CRAKSHASA1,"""Perhaps they hope to use it as a base for an attack on the surface. Aren't the drow always trying to conquer or destroy the surface world?"" ","""아마 지상을 공격하기 위한 거점으로 삼으려는 것일지도 모릅니다. 드로우는 늘 지상의 세계를 정복하거나 파괴하려 하잖습니까?""",Q2CRAKSHASA1,,,,,0,0
94333,Dialog,CRAKSHASA1,"""The real question is: how come the drow are still here? In the past, Halaster had absolute control over Undermountain and all the beings who dwell here - he would never have allowed the drow to set up their camps in his domain.""","""정작 중요한 의문은 왜 드로우가 아직도 이곳에 있느냐는 겁니다. 예전의 할라스터는 언더마운틴과 그 거주자 전부를 절대적으로 통제했습니다-그의 영역에 드로우가 진을 치도록 결코 두지 않았을 겁니다.""",Q2CRAKSHASA1,,,,,0,0
94334,Dialog,CRAKSHASA1,"""But the drow are here now, and Halaster is missing. I suspect the two are related, but in what way I couldn't say.""","""하지만 지금 드로우는 이곳에 있고 할라스터는 사라졌습니다. 두 사건이 관련되어 있다고 의심되지만, 어떻게 연결되는지는 알 수 없습니다.""",Q2CRAKSHASA1,act_underinfo1,,,,0,0
94335,Dialog,CRAKSHASA1,"""I can only tell you what we have learned in our years serving him. First, he is quite mad. But despite his insanity, you cannot underestimate his power: all of Undermountain stands as a testament to his abilities.""","""우리가 그를 섬기며 수년간 알게 된 것만 말씀드리겠습니다. 첫째, 그는 몹시 광기어립니다. 그러나 광기로 인해 그의 힘을 과소평가해서는 안 됩니다. 언더마운틴 전체가 그의 능력을 증언하고 있으니까요.""",Q2CRAKSHASA1,,,,,0,0
94336,Dialog,CRAKSHASA1,"""And I know that he has recently vanished; I heard the Rakshasa speaking of his disappearance. I don't know what happened to him, but I suspect the drow who have recently come to Undermountain are involved."" ","""그리고 그가 최근 사라졌다는 사실도 압니다. 락샤사들이 그의 실종을 이야기하는 것을 들었습니다. 무슨 일이 있었는지는 모르지만, 최근 언더마운틴에 온 드로우가 관련되어 있다고 의심합니다.""",Q2CRAKSHASA1,act_underinfo1,,,,0,0
94337,Dialog,CRAKSHASA1,"""Halaster hid the activation stone inside a djinni bottle that he kept with him at all times. But now Halaster has disappeared... and so has the bottle.""","""할라스터는 항상 지니의 병을 소지하며 그 안에 활성화석을 숨겨 두었습니다. 하지만 지금 할라스터가 사라졌고... 그 병도 함께 사라졌습니다.""",Q2CRAKSHASA1,,,,,0,0
94338,Dialog,CRAKSHASA1,"""I don't know what happened to the mad mage, but I heard the Rakshasa say that drow had overrun the southern chambers. It wouldn't surprise me to learn that they had something to do with Halaster's disappearance.""","""그 미치광이 마법사에게 무슨 일이 있었는지는 모르지만, 락샤사들이 남쪽 방들이 드로우에게 점거되었다고 말하는 것을 들었습니다. 그들이 할라스터의 실종과 관련되어 있어도 놀랍지 않겠지요.""",Q2CRAKSHASA1,,,,,0,0
94339,Dialog,CRAKSHASA1,"""If you want to find the djinni bottle, you should probably investigate their camp. Just be careful... the drow prefer killing strangers to answering their questions.""","""지니의 병을 찾고 싶다면 그들의 야영지를 조사해야 할 겁니다. 다만 조심하십시오... 드로우는 질문에 답하는 것보다 낯선 이를 죽이는 쪽을 선호합니다.""",Q2CRAKSHASA1,,,,,0,0
94340,Dialog,CRAKSHASA1,"Is there anything else I can help you with, my <lord/lady>?","더 도와드릴 일이 있습니까, 모험가님?",Q2CRAKSHASA1,,,,,0,0
94341,Dialog,CRAKSHASA1,"""Then I have no further use for you!""","""그렇다면 더는 당신이 필요 없겠군요!""",Q2CRAKSHASA1,act_q2rakchanged,,,,0,0
94342,Dialog,CRAKSHASA1,"""You have the stone? Quickly - give it to me so we can escape this place once and for all!""","""돌을 가지고 있습니까? 어서-이곳을 영영 떠날 수 있게 그걸 제게 주십시오!""",Q2CRAKSHASA1,act_q2crak_4,,,,0,0
94345,Dialog,CRAKSHASA1,"""This is none of your concern, you semi-sentient puff of wind! Get back in your bottle where you belong!""","""너와 상관없는 일이다, 반쪽짜리 지성체의 바람 한 줌 같으니! 네가 있어야 할 병 속으로 썩 돌아가라!""",Q2CRAKSHASA1,,,,,0,0
94347,Dialog,CRAKSHASA1,"""You will pay for this, Volkarion! After I feast on this <race> fool's flesh, I will bind you to my service for a thousand years!""","""볼카리온, 대가를 치르게 해 주지! 이 <race> 얼간이의 살을 포식한 뒤에는 너를 천 년 동안 내 노예로 묶어 두겠다!""",Q2CRAKSHASA1,,,,,0,0
94349,Dialog,CRAKSHASA1,"""Wh... what do you mean, my <lord/lady>? I have been nothing but honest with you.""","""무... 무슨 말씀이십니까, 모험가님? 저는 줄곧 진실만을 말씀드렸습니다.""",Q2CRAKSHASA1,,,,,0,0
94350,Dialog,CRAKSHASA1,"""Tomi? You mean Tomi Undergallows? The halfling adventurer? He is nothing but a thief and a liar! Even his own friends don't trust him!""","""토미? 토미 언더갤로우 말입니까? 그 하플링 모험가? 그는 도둑이자 거짓말쟁이일 뿐입니다! 그의 친구들조차 그를 믿지 않습니다!""",Q2CRAKSHASA1,,,,,0,0
94351,Dialog,CRAKSHASA1,"""If you don't believe me, go speak to Tomi's own companion - the cleric, Linu. She stayed here to watch over us while Tomi went to try and steal the djinni bottle from the drow.""","""제 말을 못 믿겠다면 토미의 동료-성직자 리누-에게 물어보십시오. 토미가 드로우에게서 지니의 병을 훔치려 간 동안, 그녀는 우리를 보살피러 여기 남아 있었으니까요.""",Q2CRAKSHASA1,,,,,0,0
94352,Dialog,CRAKSHASA1,"""You would be foolish to put your faith in the halfling. Linu told us he is nothing but a liar, full of spite and hate.""","""그 하플링을 믿는다면 어리석은 일입니다. 리누도 우리에게 그가 악의와 증오로 가득 찬 거짓말쟁이에 불과하다고 말했습니다.""",Q2CRAKSHASA1,,,,,0,0
94353,Dialog,CRAKSHASA1,"""Uh... you have to realize that... I mean... you see... uh... Damn your endless interrogations!""","""어... 그러니까... 내 말은... 그러니까... 으윽... 끝없는 신문은 이제 그만하시지!""",Q2CRAKSHASA1,act_q2rakchanged,,,,0,0
94354,Dialog,CRAKSHASA1,"The old man steps back and rises up to his full height, all trace of his former subservience gone.",노인은 한 걸음 물러서더니 몸을 곧추세워 우러러볼 만큼 키를 드러냅니다. 이전의 비굴함은 흔적도 없습니다.,Q2CRAKSHASA1,,,,,0,0
94355,Dialog,CRAKSHASA1,"""I tire of your questions, <Race>! The time has come to end this charade!""","""네 질문은 지겹다, <Race>! 이 희극은 여기서 끝내자!""",Q2CRAKSHASA1,,,,,0,0
94356,Dialog,CRAKSHASA1,"""Yes, of course. Go speak with the cleric. She is in the room at the back.""","""그래요, 물론입니다. 성직자와 이야기해 보세요. 뒤쪽 방에 있습니다.""",Q2CRAKSHASA1,,,,,0,0
94357,Dialog,CRAKSHASA1,"""So, halfling... it seems you still haven't gotten over your distrust of us. But I assure you, we have no secrets. Go and speak to Linu if you do not believe me. She is in the room at the back.""","""그래, 하플링... 아직도 우리를 못 믿는군요. 그러나 맹세컨대 우리는 비밀이 없습니다. 믿기지 않으면 리누에게 가서 물어보시죠. 그녀는 뒤쪽 방에 있으니.""",Q2CRAKSHASA1,,,,,0,0
94359,Dialog,CRAKSHASA1,"""Yes, my <lord/lady>?""","""예, 모험가님?""",Q2CRAKSHASA1,,,,,0,0
94360,Dialog,CRAKSHASA1,"""I will gladly help you... if you help us escape this place. For even though the Rakshasa are dead, there are still many terrible creatures roaming the halls of Undermountain.""","""기꺼이 도와드리겠습니다... 우리가 이곳을 탈출할 수 있게 도와주신다면요. 락샤사가 죽었다 해도, 언더마운틴의 복도에는 아직도 무시무시한 것들이 들끓고 있습니다.""",Q2CRAKSHASA1,,,,,0,0
94361,Dialog,CRAKSHASA1,"This old man approaches you timidly, with his head bowed and his eyes cast down in a subservient manner.",이 노인은 고개를 숙이고 눈을 내리깔며 비굴한 태도로 조심스레 다가옵니다.,Q2CRAKSHASA1,,,,,0,0
94362,Dialog,CRAKSHASA1,"""The... the Rakshasa in the other room are dead. Did... did you kill them? Are you... are you here to save us?""","""저... 저 옆방의 락샤사들이 죽었습니다. 그... 그들을 당신이 죽였습니까? 우... 우릴 구하러 오신 겁니까?""",Q2CRAKSHASA1,,,,,0,0
94363,Dialog,CRAKSHASA1,"The old man recoils from you in abject terror; a pathetic, fawning creature.",노인은 극도의 공포에 질려 흠칫 물러섭니다. 처참히 비굴한 모습입니다.,Q2CRAKSHASA1,,,,,0,0
94364,Dialog,CRAKSHASA1,"""Please, we wish you no harm! We are only humble slaves - we are powerless to stand against one such as you!""","""제발, 해칠 생각은 없습니다! 우리는 그저 비천한 노예들-당신 같은 분에게 맞설 힘이 없습니다!""",Q2CRAKSHASA1,,,,,0,0
94365,Dialog,CRAKSHASA1,"""But if you spare us, we can help you. We know things about Undermountain... valuable information. I will tell you all I know, if you help us.""","""하지만 우리를 살려 주신다면, 도와드릴 수 있습니다. 언더마운틴에 대해 아는 것이 있어요... 가치 있는 정보입니다. 우리를 도와주신다면 제가 아는 건 모두 말씀드리겠습니다.""",Q2CRAKSHASA1,,,,,0,0
94366,Dialog,CRAKSHASA1,"The old man steps back suddenly and rises up to his full height, all trace of his former subservience gone.",노인은 갑자기 한 걸음 물러서며 몸을 꼿꼿이 세웁니다. 방금 전의 비굴함은 흔적도 없습니다.,Q2CRAKSHASA1,act_q2rakchanged,,,,0,0
