StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
79104,Dialog,CUTSCENE_TEMP,"[ASHTARA - 40177] So, my precious work of art, we are alone...","[ASHTARA - 40177] 자, 나의 소중한 예술작품이여, 우리 둘뿐이군...",CUTSCENE_TEMP,,,,,0,0
79105,Dialog,CUTSCENE_TEMP,"[40178] There's more to you than meets the eye, isn't there...","[40178] 겉보기보다 숨긴 게 많지, 그렇지...",CUTSCENE_TEMP,,,,,0,0
79106,Dialog,CUTSCENE_TEMP,"[40179] Oh yes, so lifelike, so unlike the stylized form that was popular in ancient Netheril...","[40179] 오, 그래, 실물처럼 살아 있구나. 고대 네더릴에서 유행하던 양식화된 조형과는 딴판이야...",CUTSCENE_TEMP,,,,,0,0
79107,Dialog,CUTSCENE_TEMP,"[40180] Here, let me place this collar around your neck... Can you feel that?","[40180] 자, 네 목에 이 칼라를 채워 보지... 느껴지나?",CUTSCENE_TEMP,,,,,0,0
79108,Dialog,CUTSCENE_TEMP,"[40181] Soon you will... It's a slaver's collar. An enterprising merchant makes his money in any way he can, you see...","[40181] 곧 느끼게 될 거다... 노예상인의 칼라지. 알겠나, 수완 좋은 상인은 돈 되는 일이라면 무엇이든 한다...",CUTSCENE_TEMP,,,,,0,0
79109,Dialog,CUTSCENE_TEMP,"[40182] We used to transport slaves like this, as stone across the desert...","[40182] 예전에 우린 이런 식으로 노예를 실어 나르곤 했지, 사막을 가로지르는 돌덩이처럼...",CUTSCENE_TEMP,,,,,0,0
79110,Dialog,CUTSCENE_TEMP,"[40183] No need to feed you, nor waste our precious water on your parched throat...","[40183] 먹이를 줄 필요도, 마른 목에 귀한 물을 낭비할 필요도 없고...",CUTSCENE_TEMP,,,,,0,0
79111,Dialog,CUTSCENE_TEMP,"[Minor Tremor] [40184] Within the hour, you will be able to feel your flesh again...",[약한 진동] [40184] 한 시간이면 살갗의 감각이 다시 돌아올 거다...,CUTSCENE_TEMP,,,,,0,0
79112,Dialog,CUTSCENE_TEMP,"[40185] When that happens, my slave, come speak with me in the adjoining room, for I have need of you...","[40185] 그때가 되면, 내 노예여, 옆방으로 와서 나와 얘기해라. 네가 필요하다...",CUTSCENE_TEMP,,,,,0,0
79113,Dialog,CUTSCENE_TEMP,[ASHTARA - 40170] So is it you I have to thank for the collapse of our escape shaft?,[ASHTARA - 40170] 우리의 탈출 갱도가 무너진 게 네 덕분이란 말이냐?,CUTSCENE_TEMP,,,,,0,0
79114,Dialog,CUTSCENE_TEMP,[THRALL 2 - 40171] No! The ground - we didn't mean for it to shake!,[THRALL 2 - 40171] 안 돼요! 땅이-우리는 이렇게 흔들릴 줄 몰랐어요!,CUTSCENE_TEMP,,,,,0,0
79115,Dialog,CUTSCENE_TEMP,"[THRALL 3 - 40172] We brought you a statue, Master...","[THRALL 3 - 40172] 조각상을 가져왔어요, 주인님...",CUTSCENE_TEMP,,,,,0,0
79116,Dialog,CUTSCENE_TEMP,[ASHTARA - 40173] I see what you brought me! Why do you think I haven't killed you yet?,[ASHTARA - 40173] 무엇을 가져왔는지 안다! 그런데도 내가 아직 너희를 안 죽인 이유가 뭔지 알겠느냐?,CUTSCENE_TEMP,,,,,0,0
79117,Dialog,CUTSCENE_TEMP,[THRALL 3 - 40174] You wouldn't!,[THRALL 3 - 40174] 그럴 리 없어요!,CUTSCENE_TEMP,,,,,0,0
79118,Dialog,CUTSCENE_TEMP,[ASHTARA - 40175] Don't tempt me... I want that passage cleared at once!,[ASHTARA - 40175] 성내게 하지 마라... 그 통로를 당장 치워라!,CUTSCENE_TEMP,,,,,0,0
79119,Dialog,CUTSCENE_TEMP,"[THRALL 1 - 40176] Yes, Master Ashtara. [They move to their bashing stations and begin].","[THRALL 1 - 40176] 예, 아슈타라 주인님. [그들은 파괴 지점으로 이동해 작업을 시작한다].",CUTSCENE_TEMP,,,,,0,0
79120,Dialog,CUTSCENE_TEMP,"[THRALL 1 - 40160] Hey, what's this?","[THRALL 1 - 40160] 어, 이건 뭐지?",CUTSCENE_TEMP,,,,,0,0
79121,Dialog,CUTSCENE_TEMP,"[THRALL 2 - 40161] Ooh, pretty statue...","[THRALL 2 - 40161] 오, 예쁜 조각상이네...",CUTSCENE_TEMP,,,,,0,0
79122,Dialog,CUTSCENE_TEMP,"[THRALL 3 - 40162] Go on, take it! Master Ashtara will be pleased with us.","[THRALL 3 - 40162] 자, 집어! 아슈타라 주인님이 분명 흡족해하실 거야.",CUTSCENE_TEMP,,,,,0,0
79123,Dialog,CUTSCENE_TEMP,[Minor tremor] [THRALL 1 - 40163] I don't like the feel of this...,[약한 진동] [THRALL 1 - 40163] 느낌이 안 좋아...,CUTSCENE_TEMP,,,,,0,0
79124,Dialog,CUTSCENE_TEMP,"[THRALL 3 - 40164] Fine, I'll take it. Here, help me with this, will you?","[THRALL 3 - 40164] 좋아, 내가 들지. 자, 이것 좀 같이 해 줄래?",CUTSCENE_TEMP,,,,,0,0
79125,Dialog,CUTSCENE_TEMP,[THRALL 1 - 40165] Are you sure this is the kind of stuff Ashtara wanted?,[THRALL 1 - 40165] 이게 정말 아슈타라가 원하던 물건이 맞아?,CUTSCENE_TEMP,,,,,0,0
79126,Dialog,CUTSCENE_TEMP,[THRALL 3 - 40166] Is there anything the Master doesn't want? Come on.,[THRALL 3 - 40166] 주인님이 안 원하는 게 어디 있냐? 가자.,CUTSCENE_TEMP,,,,,0,0
79127,Dialog,CUTSCENE_TEMP,[Major Tremor] [THRALL 2 - 40167] Watch out!,[강한 진동] [THRALL 2 - 40167] 조심해!,CUTSCENE_TEMP,,,,,0,0
79128,Dialog,CUTSCENE_TEMP,[Major Tremor Continues] [THRALL 1 - 40168] Let's get out of here!,[강한 진동 계속] [THRALL 1 - 40168] 여기서 나가자!,CUTSCENE_TEMP,,,,,0,0
79129,Dialog,CUTSCENE_TEMP,[Major Tremor Continues] [THRALL 3 - 40169] Not without the statue!,[강한 진동 계속] [THRALL 3 - 40169] 조각상 없이는 못 가!,CUTSCENE_TEMP,,,,,0,0
79130,Dialog,CUTSCENE_TEMP,[Fade to Black],[암전],CUTSCENE_TEMP,,,,,0,0
