StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
85907,Creature,Cavallas,"""I am Cavallas of the Dark River. I alone can navigate its treacherous currents; all others will be swept away, or dragged down beneath its murky depths.""","""나는 검은 강의 카발라스다. 나만이 그 배신스러운 급류를 헤쳐 나갈 수 있다. 다른 자들은 모조리 휩쓸리거나, 탁한 심연 아래로 끌려가리라.""",Q2ACAVALLAS,,,,vs_nx2boatm_50,0,0
85908,Creature,Cavallas,"""I've been waiting for you.""","""기다리고 있었다.""",Q2ACAVALLAS,,,,vs_nx2boatm_51,0,0
85909,Creature,Cavallas,"""I hear the Dark River's voice. It whispers secrets, like the dying gurgles of a drowning man. I know why you have come.""","""나는 검은 강의 목소리를 듣는다. 익사자의 목에서 새어 나오는 마지막 거품 같은 속삭임으로 비밀을 전한다. 네가 왜 왔는지 나는 안다.""",Q2ACAVALLAS,,,,vs_nx2boatm_52,0,0
85910,Creature,Cavallas,"""You seek to destroy the Valsharess; her death is your release. I can help you with this. I know the secrets of the islands; the Dark River whispers them to me when I glide across her waters.""","""너는 발샤레스를 멸하려 한다. 그녀의 죽음이 곧 네 해방이다. 내가 도와줄 수 있다. 나는 섬들의 비밀을 안다. 내가 물 위를 미끄러질 때 검은 강이 그 비밀을 내게 속삭이니까.""",Q2ACAVALLAS,act_cavtalk,,,,0,0
85911,Creature,Cavallas,"""Do you seek passage across the Dark River? There is no other who can guide you safely. Those who try have all drowned, and their bones have since been swept away.""","""검은 강을 건널 방법을 찾느냐? 안전히 인도할 자는 오직 나뿐이다. 시도한 자들은 모두 익사했고, 그 뼈는 이미 쓸려갔다.""",Q2ACAVALLAS,,,,,0,0
85912,Creature,Cavallas,"""I know much about the river's black waters, I know something of the islands these waters surround. But about your world - the world of earth and dry land - I know little."" ","""나는 검은 강의 검은 물을 잘 안다. 그 물이 둘러싼 섬들에 대해서도 조금은 안다. 하지만 너희 세계-땅과 마른 대지의 세계-에 대해서는 아는 바가 적다.""",Q2ACAVALLAS,,,,vs_nx2boatm_55,0,0
85913,Creature,Cavallas,"""The islands of the Dark River are places of secrets; places of power and danger. In these places you might find something to aid you against the Valsharess and her great army.""","""검은 강의 섬들은 비밀의 장소요, 힘과 위험의 장소다. 그곳에서 너는 발샤레스와 그녀의 대군에 맞설 무언가를 찾을지도 모른다.""",Q2ACAVALLAS,,,,vs_nx2boatm_56,0,0
85914,Creature,Cavallas,"""But though there are many tiny islands, there are two of particular note: the Isle of the Maker, and an island that is now home to a strange town that appeared from nowhere.""","""작디작은 섬이 많지만, 특히 기억할 만한 두 곳이 있다: 제작자의 섬, 그리고 공허에서 갑자기 나타난 기이한 마을이 자리 잡은 섬.""",Q2ACAVALLAS,,,,vs_nx2boatm_57,0,0
85915,Creature,Cavallas,"""I am Cavallas of the Dark River. I am navigator, guide and keeper of its secrets. And I alone can take you to the islands you must visit.""","""나는 검은 강의 카발라스. 그 비밀의 항해사이자 안내자이며 수호자다. 그리고 오직 나만이 네가 가야 할 섬들로 너를 데려갈 수 있다.""",Q2ACAVALLAS,,,,vs_nx2boatm_58,0,0
104403,Creature,Cavallas,"The cowled figure says nothing. As you walk away, you can feel its hidden eyes watching you from beneath the shadows of its hood.","두건 쓴 형상은 아무 말도 하지 않습니다. 당신이 발걸음을 떼자, 두건의 그늘 아래 숨은 눈길이 당신을 따라오는 것이 느껴집니다.",Q2ACAVALLAS,,,,,0,0
104404,Creature,Cavallas,"""I am bound to the Dark River, the flowing waters wash away all wound and harm. You cannot hurt me here while the river's currents lap against my vessel's hull.""","""나는 검은 강에 속박되어 있다. 흐르는 물결이 모든 상처와 해를 씻어 낸다. 강의 물결이 내 배의 선체를 어루만지는 동안은 네가 여기서 나를 해칠 수 없다.""",Q2ACAVALLAS,,,,,0,0
