StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
15684,Creature,Commoner,I would hate to think that the times have turned a person of your stature to banditry. Why are you in my home?,세상이 이렇게 됐다고 너 같은 사람이 도둑질까지 하게 됐다고는 믿고 싶지 않아. 내 집에 왜 들어왔지?,M1Q1A00COM1,,,,,0,0
15685,Creature,Commoner,Who are you? Why are you in my home? I don't want to think my fellow Neverwintans would stoop to banditry.,넌 누구야? 왜 내 집에 들어왔지? 같은 네버윈터 사람들이 도둑질까지 한다고는 생각하고 싶지 않아.,M1Q1A00COM1,,,,,0,0
15686,Creature,Commoner,Must I worry about bandits as well as the plague? Give me a reason you are in my home or get out!,역병도 모자라 도둑까지 걱정해야 하나? 내 집에 들어온 이유를 대거나 당장 나가!,M1Q1A00COM1,,,,,0,0
15687,Creature,Commoner,"Obviously they have lowered their expectations for new guards. If you can form questions, please ask them and leave.",새로 뽑는 경비대 수준을 확 낮췄나 보군. 물을 게 있으면 묻고 나가.,M1Q1A00COM1,,,,,0,0
15688,Creature,Commoner,"I see. I had heard they were recruiting from outside the city. Very well, I will speak with you. I trust this will be brief?","그래. 도시 밖에서까지 사람을 끌어온다더니. 좋아, 얘기해 주지. 오래 걸리진 않겠지?",M1Q1A00COM1,,,,,0,0
15689,Creature,Commoner,Not much. There's very little that I need to know except that it kills my friends and family.,별로. 내 친구랑 가족을 죽인다는 것 말고 알아야 할 게 뭐가 있겠어.,M1Q1A00COM1,,,,,0,0
15690,Creature,Commoner,Lord Nasher assures us that all efforts are being made to find a cure. Beyond that... I haven't heard anything.,나셰르 영주님이 치료법을 찾기 위해 모든 노력을 다하고 있다고는 하더군. 그 말고는... 들은 게 없어.,M1Q1A00COM1,,,,,0,0
15691,Creature,Commoner,Farewell. Please leave my home as you found it.,그럼 잘 가. 들어왔을 때 그대로 두고 나가.,M1Q1A00COM1,,,,,0,0
15692,Creature,Commoner,What is it you want to know? I am sure you would get better answers from your fellow guards. I am a simple citizen.,뭘 알고 싶은데? 같은 경비들에게 묻는 게 더 낫겠지. 난 그냥 평범한 시민이야.,M1Q1A00COM1,,,,,0,0
15693,Creature,Commoner,"I can't say much. I live and work in the City Core. The Blacklake district is beyond my means, and I certainly have no business in the others.","아는 게 많지 않아. 난 도시 중심부에서 살며 일하거든. 검은호수 지구는 감히 넘볼 형편이 아니고, 다른 지구엔 볼일도 없지.",M1Q1A00COM1,,,,,0,0
15694,Creature,Commoner,"I don't bother with the Beggar's Nest, the Docks, or the Peninsula. They were rough enough before the Wailing took hold.",거지 소굴이니 항만이니 반도 지구니... 거긴 관심도 없어. '울부짖는 죽음 역병'이 퍼지기 전부터 험악했거든.,M1Q1A00COM1,,,,,0,0
15695,Creature,Commoner,"Sorry, I really don't get out of the City Core much. Especially now with the plague everywhere. It's just not safe.",미안하지만 난 도시 중심부 밖으로 잘 안 나가. 특히 지금처럼 역병이 창궐할 땐 더더욱. 안전하지가 않아.,M1Q1A00COM1,,,,,0,0
15696,Creature,Commoner,"That is where you are now. It is the business center of the city. Really, this should all be evident to you after just walking around.",지금 네가 있는 곳이 거기야. 도시의 상업 중심이지. 솔직히 좀만 돌아다녀도 알 만한 거잖아.,M1Q1A00COM1,,,,,0,0
15697,Creature,Commoner,Home to the slums. The Beggar's Nest was poor enough before the Wailing. I don't want to think about what it would be like now.,빈민가가 모여 있는 곳. 거지 소굴은 '울부짖는 죽음 역병' 전에도 충분히 비참했어. 지금은 상상도 하기 싫다.,M1Q1A00COM1,,,,,0,0
15698,Creature,Commoner,Good. I don't need strange people invading my home.,좋지. 낯선 사람들이 내 집을 침범하는 꼴은 더 보고 싶지 않거든.,M1Q1A00COM1,,,,,0,0
