StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
35853,Creature,Constance O'Deel,"Hello, handsome... What brings you to a lady's bedroom?","안녕하세요, 잘생긴 분... 무슨 일로 아가씨의 침실까지 오셨어요?",M2Q3E_CONSTANCE,m2q3e_constanca1,,,,0,0
35854,Creature,Constance O'Deel,"Fare you well, then. Perhaps we'll speak again.",그럼 잘 가요. 아마 또 얘기할 기회가 있겠죠.,M2Q3E_CONSTANCE,,,,,0,0
35855,Creature,Constance O'Deel,"Yes, yes. On your way.","그래요, 그래요. 이제 가 보세요.",M2Q3E_CONSTANCE,,,,,0,0
35856,Creature,Constance O'Deel,At long last and good riddance.,"아, 드디어 가는군요. 속이 다 시원하네.",M2Q3E_CONSTANCE,,,,,0,0
35857,Creature,Constance O'Deel,"I see. A little on the slow side, are we?",그렇군요. 머리가 좀 굼뜨신가 봐요?,M2Q3E_CONSTANCE,,,,,0,0
35858,Creature,Constance O'Deel,I'd be happy to answer a question or two. What do you want to know?,질문 몇 개쯤은 기꺼이 답해 드릴게요. 무엇이 궁금하죠?,M2Q3E_CONSTANCE,,,,,0,0
35859,Creature,Constance O'Deel,I suppose I can answer a question for you. What might it be?,질문 하나쯤은 답해 드릴 수 있겠네요. 어떤 거죠?,M2Q3E_CONSTANCE,,,,,0,0
35860,Creature,Constance O'Deel,I'll answer your questions if you don't take too long... ,너무 오래 걸지만 않는다면 질문에 답해 드릴게요...,M2Q3E_CONSTANCE,,,,,0,0
35861,Creature,Constance O'Deel,"On our last trip to Port Llast, I heard a woman telling how awful the plague had been. Don't know much about the cult but they sound horrible.","마지막으로 라스트 항구에 갔을 때, 어떤 여자가 울부짖는 죽음 역병이 얼마나 끔찍했는지 이야기하더라고요. 그 종교 집단에 대해서는 잘 모르지만, 정말 끔찍하게 들렸어요.",M2Q3E_CONSTANCE,,,,,0,0
35862,Creature,Constance O'Deel,"Me? No, what's the point? They're pretty self-sufficient it seems and so are we.","저요? 아니요, 뭐 하러요? 그쪽도 꽤 자급자족하는 것 같고 우리도 마찬가지예요.",M2Q3E_CONSTANCE,,,,,0,0
35863,Creature,Constance O'Deel,"Oh, that's the den of those wretched wolves!","아, 거긴 그 지독한 늑대들 소굴이죠!",M2Q3E_CONSTANCE,,,,,0,0
35864,Creature,Constance O'Deel,Well there's always some sort of adventure to be had when you're this far from the rest of the world.,"뭐, 이렇게 세상과 멀리 떨어져 있으면 늘 무슨 모험거리가 있긴 하죠.",M2Q3E_CONSTANCE,,,,,0,0
35865,Creature,Constance O'Deel,They've killed two cows already this season. You can ask me pa about it if you're really interested. He's been watching them like a hawk!,올해만 벌써 소 두 마리를 잡아먹었어요. 정말 궁금하면 우리 아버지께 물어보세요. 매의 눈으로 지켜보고 계시거든요!,M2Q3E_CONSTANCE,,,,,0,0
35866,Creature,Constance O'Deel,Is there something else you wanted to know?,다른 게 더 궁금한가요?,M2Q3E_CONSTANCE,,,,,0,0
35867,Creature,Constance O'Deel,"Well... there is that fool Erik... But that's his problem, not mine... ",글쎄요... 그 바보 에릭 얘기가 있긴 한데... 그건 제 문제가 아니라 그 사람 문제죠...,M2Q3E_CONSTANCE,,,,,0,0
