StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
80366,Dialog,DASCHNAYA,"Back again, are we? What can Daschnaya do for you now, dear <boy/girl>?","또 왔나요? 지금은 다슈냐가 무엇을 해 주면 될까요, 사랑스런 <boy/girl>?",Q1_DASCHNAYA,,,,,0,0
80367,Dialog,DASCHNAYA,"Greetings, dear <boy/girl>. How has your voyage into the great Anauroch been so far?","반가워요, 사랑스런 <boy/girl>. 광대한 아나우록으로의 여정은 지금까지 어땠나요?",Q1_DASCHNAYA,,,,,0,0
80368,Dialog,DASCHNAYA,"Impatient, are you? You remind me of Katriana... no time for sentimentality, as she calls such things as legend and history.","성급하군요? 카트리아나를 떠올리게 하네요... 전설과 역사를 그 아이 말로는 '감상'이라 부르며, 거기에 시간을 쓰지 않으니까요.",Q1_DASCHNAYA,,,,,0,0
80369,Dialog,DASCHNAYA,"Battle is no longer my place, dear <boy/girl>. I travel with Katriana to heal and to advise, and sometimes to remind my fellow halflings that there is more to existence than commerce. Nothing more.","전장은 이제 제 자리가 아니에요, 사랑스런 <boy/girl>. 전 카트리아나와 함께 다니며 치유하고 조언하고, 가끔은 우리 하플링들에게 삶이 상업만으로 이뤄지지 않음을 일깨워 줄 뿐이죠. 그 이상은 아니에요.",Q1_DASCHNAYA,,,,,0,0
80370,Dialog,DASCHNAYA,"How many times we have crossed this desolate wasteland and never stopped to consider what it once was, a place great for more than its size.","우리는 이 황량한 벌판을 몇 번이나 건넜으면서도, 이곳이 한때 단지 넓기만 한 곳이 아니었다는 걸 생각해 보려 들지 않았죠.",Q1_DASCHNAYA,,,,,0,0
80371,Dialog,DASCHNAYA,"But, then, I am sure you have more on your mind than old tales that have mostly been forgotten. What can Daschnaya do for you?",하지만 당신 머릿속엔 대개 잊혀 가는 옛이야기보다 더 급한 일이 있겠죠. 다슈냐가 무엇을 해 드릴까요?,Q1_DASCHNAYA,,,,,0,0
80372,Dialog,DASCHNAYA,"Then I wish you well, dear <boy/girl>.","그렇다면 행운을 빌어요, 사랑스런 <boy/girl>.",Q1_DASCHNAYA,,,,,0,0
80373,Dialog,DASCHNAYA,"It will take me but a moment to find the proper scroll, my dear, and then I will gladly aid you.","알맞은 두루마리를 찾는 데 잠깐이면 돼요, 내 사랑. 그러면 기꺼이 도와 드릴게요.",Q1_DASCHNAYA,,,,,0,0
80374,Dialog,DASCHNAYA,"I do not have much to show you, dear, but you're welcome to see it.","많이 보여 줄 건 없지만, 원한다면 얼마든지 보세요.",Q1_DASCHNAYA,,,,,0,0
80375,Dialog,DASCHNAYA,"Your crystal... it radiates with great power. But it is a form of magic that I have never seen before, such raw energy!","당신의 수정... 대단한 힘이 뿜어져 나와요. 하지만 제가 본 적 없는 형식의 마법이네요, 이렇게 날것의 에너지라니!",Q1_DASCHNAYA,q1_showcrystal2,,,,0,0
80376,Dialog,DASCHNAYA,"I cannot, however, tell you more of its origin... not without guessing, and I do not wish to do that. I am sorry.","하지만 그 기원의 더 자세한 건 말할 수 없어요... 추측 없이야 모르겠고, 전 그렇게 하고 싶지 않아요. 미안하군요.",Q1_DASCHNAYA,,,,,0,0
80377,Dialog,DASCHNAYA,Is there something else I may do?,다른 도와드릴 일이 있나요?,Q1_DASCHNAYA,,,,,0,0
80378,Dialog,DASCHNAYA,"What it is today is plain to see, dear <boy/girl>. All I can tell you is what it once was. Do you know about the Netheril Empire, and how it fell?","오늘 이곳이 어떤지는 눈으로 보이죠, 사랑스런 <boy/girl>. 제가 말해 줄 수 있는 건 한때 이곳이 무엇이었는가예요. 네더릴 제국과 그 몰락을 아나요?",Q1_DASCHNAYA,,,,,0,0
80379,Dialog,DASCHNAYA,As you wish. Is there something else you desire?,좋을 대로 하세요. 다른 원하는 게 있나요?,Q1_DASCHNAYA,,,,,0,0
